r,l,t,m,y,RateOfActivity
REGION,S1D1,EGWA00000X,1,2015, 1.7101980575490808e+04
REGION,S1D2,EGWA00000X,1,2015, 9207.70106497956
REGION,S2D1,EGWA00000X,1,2015, 1.9481252974121915e+04
REGION,S2D2,EGWA00000X,1,2015, 1.2395489057136030e+04
REGION,S3D1,EGWA00000X,1,2015, 1.8295492317072138e+04
REGION,S3D2,EGWA00000X,1,2015, 1.4417746428363518e+04
REGION,S4D1,EGWA00000X,1,2015, 1.6223196034778972e+04
REGION,S4D2,EGWA00000X,1,2015, 1.1475871321088945e+04
REGION,S1D1,EGWA00000X,1,2016, 1.7146946301440425e+04
REGION,S1D2,EGWA00000X,1,2016, 9.8128141192237490e+03
REGION,S2D1,EGWA00000X,1,2016, 1.9603436297490818e+04
REGION,S2D2,EGWA00000X,1,2016, 1.2529987125581427e+04
REGION,S3D1,EGWA00000X,1,2016, 1.8367146889613021e+04
REGION,S3D2,EGWA00000X,1,2016, 1.2702769582941290e+04
REGION,S4D1,EGWA00000X,1,2016, 1.9408633077850322e+04
REGION,S4D2,EGWA00000X,1,2016, 1.1915635186935662e+04
REGION,S1D1,EGWA00000X,1,2017, 1.5328707377007873e+04
REGION,S1D2,EGWA00000X,1,2017, 9.6843704025978132e+03
REGION,S2D1,EGWA00000X,1,2017, 2.2754145355319313e+04
REGION,S2D2,EGWA00000X,1,2017, 1.2865589024940809e+04
REGION,S3D1,EGWA00000X,1,2017, 1.6656178734869813e+04
REGION,S3D2,EGWA00000X,1,2017, 1.2584099597770190e+04
REGION,S4D1,EGWA00000X,1,2017, 2.1329546959994284e+04
REGION,S4D2,EGWA00000X,1,2017, 1.2021345581132568e+04
REGION,S1D1,EGWA00000X,1,2018, 1.2561497475560604e+04
REGION,S1D2,EGWA00000X,1,2018, 9490.90065491981
REGION,S2D1,EGWA00000X,1,2018, 2.1616364578930781e+04
REGION,S2D2,EGWA00000X,1,2018, 1.3997038802259794e+04
REGION,S3D1,EGWA00000X,1,2018, 2.1097937004899002e+04
REGION,S3D2,EGWA00000X,1,2018, 1.1151022559180417e+04
REGION,S4D1,EGWA00000X,1,2018, 1.9032502504853492e+04
REGION,S4D2,EGWA00000X,1,2018, 1.2050679011535018e+04
REGION,S1D1,EGWA00000X,1,2019, 1.9641302102506033e+04
REGION,S1D2,EGWA00000X,1,2019, 9.3297752000195542e+03
REGION,S2D1,EGWA00000X,1,2019, 1.3084288516238192e+04
REGION,S2D2,EGWA00000X,1,2019, 1.4768168136508475e+04
REGION,S3D1,EGWA00000X,1,2019, 1.3460263289340934e+04
REGION,S3D2,EGWA00000X,1,2019, 1.2465265894884986e+04
REGION,S4D1,EGWA00000X,1,2019, 2.4152393042783442e+04
REGION,S4D2,EGWA00000X,1,2019, 1.2569897944723009e+04
REGION,S1D1,EGWA00000X,1,2020, 1.5104551721962975e+04
REGION,S1D2,EGWA00000X,1,2020, 9.9103938939114760e+03
REGION,S2D1,EGWA00000X,1,2020, 1.7873637748601341e+04
REGION,S2D2,EGWA00000X,1,2020, 2.0211194728447343e+04
REGION,S3D1,EGWA00000X,1,2020, 1.8513587104823357e+04
REGION,S3D2,EGWA00000X,1,2020, 1.3164074761915743e+04
REGION,S4D1,EGWA00000X,1,2020, 1.4169827624185486e+04
REGION,S4D2,EGWA00000X,1,2020, 1.2355675557055369e+04
REGION,S1D1,EGWA00000X,1,2021, 1.4320586803149748e+04
REGION,S1D2,EGWA00000X,1,2021, 9.2077927075645348e+03
REGION,S2D1,EGWA00000X,1,2021, 1.4579516147650291e+04
REGION,S2D2,EGWA00000X,1,2021, 1.9332412801193623e+04
REGION,S3D1,EGWA00000X,1,2021, 1.9552546888995152e+04
REGION,S3D2,EGWA00000X,1,2021, 1.3501075500617550e+04
REGION,S4D1,EGWA00000X,1,2021, 1.8241445655542680e+04
REGION,S4D2,EGWA00000X,1,2021, 1.2627153840340881e+04
REGION,S1D1,EGWA00000X,1,2022, 1.4395975634612196e+04
REGION,S1D2,EGWA00000X,1,2022, 1.9282526265221954e+04
REGION,S2D1,EGWA00000X,1,2022, 1.4468028918243839e+04
REGION,S2D2,EGWA00000X,1,2022, 1.4814932309328504e+04
REGION,S3D1,EGWA00000X,1,2022, 1.6944874150711257e+04
REGION,S3D2,EGWA00000X,1,2022, 1.3229275718921657e+04
REGION,S4D1,EGWA00000X,1,2022, 1.4834341739188632e+04
REGION,S4D2,EGWA00000X,1,2022, 1.2376208676066608e+04
REGION,S1D1,EGWA00000X,1,2023, 1.6186088095019411e+04
REGION,S1D2,EGWA00000X,1,2023, 1.3811580035804891e+04
REGION,S2D1,EGWA00000X,1,2023, 1.5500271970546322e+04
REGION,S2D2,EGWA00000X,1,2023, 1.8453875529522473e+04
REGION,S3D1,EGWA00000X,1,2023, 1.7673537839394954e+04
REGION,S3D2,EGWA00000X,1,2023, 1.3691697031578929e+04
REGION,S4D1,EGWA00000X,1,2023, 1.4451967045652878e+04
REGION,S4D2,EGWA00000X,1,2023, 1.2739128248511393e+04
REGION,S1D1,EGWA00000X,1,2024, 1.4844773209242610e+04
REGION,S1D2,EGWA00000X,1,2024, 1.4133435835363689e+04
REGION,S2D1,EGWA00000X,1,2024, 1.6646888693637116e+04
REGION,S2D2,EGWA00000X,1,2024, 1.3828246918899271e+04
REGION,S3D1,EGWA00000X,1,2024, 2.3289959338339442e+04
REGION,S3D2,EGWA00000X,1,2024, 1.3532986103644773e+04
REGION,S4D1,EGWA00000X,1,2024, 1.6539335664107388e+04
REGION,S4D2,EGWA00000X,1,2024, 1.3037964862478882e+04
REGION,S1D1,EGWA00000X,1,2025, 1.5890870923484876e+04
