r,t,y,DiscountedSalvageValue
REGION,EGNG00ILGX,2049, 1.4818702378360551e+00
REGION,EGNG00ILGX,2050, 2.7481633634635366e-01
REGION,EGNG00ILGX,2057, 1.2776760101685519e-01
REGION,EGNG00ILGX,2058, 1.9364296191985850e-01
REGION,EGNG00ILGX,2059, 2.1035764928472478e-01
REGION,EGNG00ILGX,2060, 2.3050897784994248e-01
REGION,EGNG00ILGX,2061, 2.3540227726806090e-01
REGION,EGNG00ILGX,2062, 2.5476179971009022e-01
REGION,EGNG00ILGX,2063, 2.8459820281523424e-01
REGION,EGNG00ILGX,2064, 3.0451524043365619e-01
REGION,EGNG00ILGX,2065, 3.2477074087381730e-01
REGION,EGNG00ILGX,2066, 4.5889389676430076e-01
REGION,EGNG00ILGX,2069, 2.3984542497293624e-02
REGION,EGBMCHC04N,2041, 2.2457557179436232e+00
REGION,EGBMCHC04N,2042, 2.3699920766512026e+00
REGION,EGBMCHC04N,2043, 1.2411018789470440e+00
REGION,EGBMCHC04N,2051, 3.0609382373329113e+00
REGION,EGBMCHC04N,2052, 3.1043768790673210e+00
REGION,EGBMCHC04N,2053, 1.5716262886554861e+00
REGION,EGBMCHC04N,2061, 3.3332335807060223e+00
REGION,EGBMCHC04N,2062, 3.3460152233527491e+00
REGION,EGBMCHC04N,2063, 3.3570658331978458e+00
REGION,EGBMCHC04N,2064, 3.3665453386270170e+00
REGION,EGBMCHC04N,2065, 3.3745988961938918e+00
REGION,EGBMCHC04N,2066, 3.3813582546854364e+00
REGION,EGBMCHC04N,2067, 3.3869429932568096e+00
REGION,EGBMCHC04N,2068, 3.3914616452587096e+00
REGION,EGBMCHC04N,2069, 3.3950127183079961e+00
REGION,EGBMCHC04N,2070, 3.3976856201785330e+00
REGION,EGBMCHP04N,2054, 2.3043854950245639e+00
REGION,EGBMCHP04N,2055, 2.3253764409053304e+00
REGION,EGBMCHP04N,2056, 2.3438633193726579e+00
REGION,EGBMCHP04N,2057, 2.3600787650785877e+00
REGION,EGBMCHP04N,2058, 2.3742338102377225e+00
REGION,EGBMCHP04N,2059, 2.3865198897426687e+00
REGION,EGBMCHP04N,2060, 2.39711066024563
REGION,EGBMCHP04N,2061, 2.4061636504591748e+00
REGION,EGBMCHP04N,2062, 2.4138217583299766e+00
REGION,EGBMCHP04N,2063, 2.4202146092878576e+00
REGION,EGBMCHP04N,2064, 2.4254597884559326e+00
REGION,EGBMCHP04N,2065, 2.4296639585127173e+00
REGION,EGBMCHP04N,2066, 2.4329238738132766e+00
REGION,EGBMCHP04N,2067, 2.4353273003928377e+00
REGION,EGBMCHP04N,2068, 2.4369538505840032e+00
REGION,EGNGCCP01N,2047, 1.7675429315690412e+00
REGION,EGNGCCP01N,2048, 3.4705263926649734e+00
REGION,EGNGCCP02N,2047, 3.10471382402202
REGION,EGNGCCP02N,2048, 3.4705263926649734e+00
REGION,EGNGCCP04N,2047, 3.10471382402202
REGION,EGNGCCP04N,2048, 3.4705263926649734e+00
REGION,EGNGCCC01N,2048, 1.0014947590261768e+01
REGION,EGNGCCC01N,2049, 6.6239382971688814e+00
REGION,EGNGCCC01N,2060, 6.9055645358332338e+00
REGION,EGNGCCC01N,2065, 1.2859959989123670e+01
REGION,EGNGCCC01N,2066, 2.8347854943874840e+01
REGION,EGNGCCC01N,2067, 6.24703912318284
REGION,EGNGCCC01N,2070, 2.8625426004386760e+01
REGION,EGNGCCC02N,2042, 8.8179694031188527e-02
REGION,EGNGCCC02N,2043, 3.4443366348100342e+00
REGION,EGNGCCC02N,2044, 4.9887173679771264e+00
REGION,EGNGCCC02N,2045, 6.6176541720520170e+00
REGION,EGNGCCC02N,2046, 7.8753325671002035e+00
REGION,EGNGCCC02N,2047, 4.93367766920422
REGION,EGNGCCC02N,2048, 1.0014947590261768e+01
REGION,EGNGCCC02N,2049, 1.0920281970330679e+01
REGION,EGNGCCC02N,2050, 8.8193247374356023e+00
REGION,EGNGCCC02N,2051, 6.1577504988244247e-01
REGION,EGNGCCC02N,2052, 7.9919535770186345e-02
REGION,EGNGCCC02N,2053, 5.9166493494379395e+00
REGION,EGNGCCC02N,2055, 7.2273016583073018e+00
REGION,EGNGCCC02N,2056, 4.33106460001574
REGION,EGNGCCC02N,2057, 1.3170892272953244e+01
REGION,EGNGCCC02N,2058, 1.3418613787298135e+01
REGION,EGNGCCC02N,2059, 1.5952596520153925e+01
REGION,EGNGCCC02N,2060, 1.6185449929494897e+01
REGION,EGNGCCC02N,2061, 2.0638903663185118e+01
REGION,EGNGCCC02N,2062, 2.1121029733290808e+01
REGION,EGNGCCC02N,2063, 2.7283133143659065e+01
REGION,EGNGCCC02N,2064, 2.8044093966814227e+01
REGION,EGNGCCC02N,2065, 2.8212109799179572e+01
REGION,EGNGCCC02N,2066, 2.8347854943874840e+01
REGION,EGNGCCC02N,2067, 2.8454405512345723e+01
REGION,EGNGCCC02N,2069, 1.5964793992520414e+00
REGION,EGNGCCC04N,2045, 1.4437188221910298e+00
