r,t,y,SalvageValue
REGION,EGNG00ILGX,2049, 3.0817722806089415e+02
REGION,EGNG00ILGX,2050, 5.7152194975414204e+01
REGION,EGNG00ILGX,2057, 2.6571196392245060e+01
REGION,EGNG00ILGX,2058, 4.0270969558783662e+01
REGION,EGNG00ILGX,2059, 4.3747040464648514e+01
REGION,EGNG00ILGX,2060, 4.7937812652665265e+01
REGION,EGNG00ILGX,2061, 4.8955447943694409e+01
REGION,EGNG00ILGX,2062, 5.2981552126392309e+01
REGION,EGNG00ILGX,2063, 5.9186481390426827e+01
REGION,EGNG00ILGX,2064, 6.3328529248404593e+01
REGION,EGNG00ILGX,2065, 6.7540965546302417e+01
REGION,EGNG00ILGX,2066, 9.5433895268318523e+01
REGION,EGNG00ILGX,2069, 4.9879467408147065e+00
REGION,EGBMCHC04N,2041, 467.038715257832
REGION,EGBMCHC04N,2042, 4.9287553664294205e+02
REGION,EGBMCHC04N,2043, 2.5810582264854327e+02
REGION,EGBMCHC04N,2051, 636.568194138479
REGION,EGBMCHC04N,2052, 6.4560191373054613e+02
REGION,EGBMCHC04N,2053, 3.2684335026037735e+02
REGION,EGBMCHC04N,2061, 6.9319611066722609e+02
REGION,EGBMCHC04N,2062, 6.9585424570520706e+02
REGION,EGBMCHC04N,2063, 6.9815238640841562e+02
REGION,EGBMCHC04N,2064, 7.0012379229265559e+02
REGION,EGBMCHC04N,2065, 7.0179865084883568e+02
REGION,EGBMCHC04N,2066, 7.0320436122090985e+02
REGION,EGBMCHC04N,2067, 7.0436579169466290e+02
REGION,EGBMCHC04N,2068, 7.0530551341452883e+02
REGION,EGBMCHC04N,2069, 7.0604401252263483e+02
REGION,EGBMCHC04N,2070, 7.0659988271174382e+02
REGION,EGBMCHP04N,2054, 4.7923166017385739e+02
REGION,EGBMCHP04N,2055, 483.597043424524
REGION,EGBMCHP04N,2056, 4.8744166815352804e+02
REGION,EGBMCHP04N,2057, 490.813914239476
REGION,EGBMCHP04N,2058, 493.757669008847
REGION,EGBMCHP04N,2059, 4.9631274422994005e+02
REGION,EGBMCHP04N,2060, 498.51525441828
REGION,EGBMCHP04N,2061, 5.0039796004151106e+02
REGION,EGBMCHP04N,2062, 501.990578879218
REGION,EGBMCHP04N,2063, 5.0332006849126606e+02
REGION,EGBMCHP04N,2064, 504.410882474453
REGION,EGBMCHP04N,2065, 505.285202938766
REGION,EGBMCHP04N,2066, 5.0596315140914407e+02
REGION,EGBMCHP04N,2067, 5.0646298015408104e+02
REGION,EGBMCHP04N,2068, 5.0680124575684204e+02
REGION,EGNGCCP01N,2047, 3.6758716601597467e+02
REGION,EGNGCCP01N,2048, 721.748218093299
REGION,EGNGCCP02N,2047, 645.671986507161
REGION,EGNGCCP02N,2048, 721.748218093299
REGION,EGNGCCP04N,2047, 645.671986507161
REGION,EGNGCCP04N,2048, 721.748218093299
REGION,EGNGCCC01N,2048, 2082.75914364066
REGION,EGNGCCC01N,2049, 1.3775477036699533e+03
REGION,EGNGCCC01N,2060, 1.4361161203671770e+03
REGION,EGNGCCC01N,2065, 2.6744223085345461e+03
REGION,EGNGCCC01N,2066, 5895.3632612481
REGION,EGNGCCC01N,2067, 1.2991658455748257e+03
REGION,EGNGCCC01N,2070, 5953.08834259085
REGION,EGNGCCC02N,2042, 1.8338295070607881e+01
REGION,EGNGCCC02N,2043, 7.1630166361555519e+02
REGION,EGNGCCC02N,2044, 1.0374788903834642e+03
REGION,EGNGCCC02N,2045, 1.3762408252335990e+03
REGION,EGNGCCC02N,2046, 1.6377939839933101e+03
REGION,EGNGCCC02N,2047, 1.0260325563063927e+03
REGION,EGNGCCC02N,2048, 2082.75914364066
REGION,EGNGCCC02N,2049, 2.2710370593408147e+03
REGION,EGNGCCC02N,2050, 1.8341113692388433e+03
REGION,EGNGCCC02N,2051, 1.2805969317458192e+02
REGION,EGNGCCC02N,2052, 1.6620470789355544e+01
REGION,EGNGCCC02N,2053, 1.2304563175387857e+03
REGION,EGNGCCC02N,2055, 1.5030261992909136e+03
REGION,EGNGCCC02N,2056, 9.0071009519335712e+02
REGION,EGNGCCC02N,2057, 2.7390853585767472e+03
REGION,EGNGCCC02N,2058, 2.7906027773578521e+03
REGION,EGNGCCC02N,2059, 3317.58264011967
REGION,EGNGCCC02N,2060, 3.3660080126003395e+03
REGION,EGNGCCC02N,2061, 4.2921707709200273e+03
REGION,EGNGCCC02N,2062, 4.3924361464349795e+03
REGION,EGNGCCC02N,2063, 5.6739383316769017e+03
REGION,EGNGCCC02N,2064, 5.8321915924248506e+03
REGION,EGNGCCC02N,2065, 5867.1330145323
REGION,EGNGCCC02N,2066, 5895.3632612481
REGION,EGNGCCC02N,2067, 5.9175220562635250e+03
REGION,EGNGCCC02N,2069, 3.3201192881521882e+02
REGION,EGNGCCC04N,2045, 300.243066742389
REGION,EGNGCCC04N,2046, 9.8109709964547767e+02
REGION,EGNGCCC04N,2048, 2082.75914364066
REGION,EGNGCCC04N,2059, 1.2801449029830419e+03
REGION,EGNGCCC04N,2064, 2.3064768085794926e+03
REGION,EGNGCCC04N,2066, 5.9255036106130467e+02
REGION,EGNGCCC04N,2069, 5.9458857167710257e+03
REGION,EGNGCCC04N,2070, 5.7165250600405841e+02
REGION,EGNGGCP04N,2048, 3.1026124372317259e+01
REGION,EGNGGCP04N,2056, 260.268166391071
REGION,EGWINDP00X,2047, 1.4662692085250399e+02
REGION,EGWINDP00X,2048, 279.262362474723
REGION,EGWINDP00X,2049, 399.206925106329
REGION,EGWINDP00X,2050, 5.0764036827589575e+02
REGION,EGWINDP00X,2051, 6.0563283307697475e+02
REGION,EGWINDP00X,2052, 6.9415502271591413e+02
REGION,EGWINDP00X,2053, 7.7408743797670490e+02
REGION,EGWINDP00X,2054, 846.228755339833
REGION,EGWINDP00X,2055, 9.1130342724332240e+02
REGION,EGWINDP00X,2056, 9.6996857674218256e+02
REGION,EGWINDP00X,2057, 1.0228202519984850e+03
REGION,EGWINDP00X,2058, 1.0703991000433725e+03
REGION,EGWINDP00X,2059, 1.1131955136878851e+03
REGION,EGWINDP00X,2060, 1.1516543004985424e+03
REGION,EGWINDP00X,2061, 1581.57189092016
REGION,EGWINDP00X,2062, 1622.84708891318
REGION,EGWINDP00X,2063, 1659.80723113332
REGION,EGWINDP00X,2064, 1692.85373938272
REGION,EGWINDP00X,2065, 1722.35071129926
REGION,EGWINDP00X,2066, 1748.62838903271
REGION,EGWINDP00X,2067, 1771.98630571663
REGION,EGWINDP00X,2068, 1792.69613965188
REGION,EGWINDP00X,2069, 1811.00430334124
REGION,EGWINDP00X,2070, 1827.13429199563
REGION,EGWINDP01X,2047, 2.6893954362847421e+02
REGION,EGWINDP01X,2048, 5.0770405228410226e+02
REGION,EGWINDP01X,2049, 7.1928458912684175e+02
REGION,EGWINDP01X,2050, 9.0637776810552759e+02
REGION,EGWINDP01X,2051, 1071.41457064782
REGION,EGWINDP01X,2052, 1.2165863564165625e+03
REGION,EGWINDP01X,2053, 1.3438683401477474e+03
REGION,EGWINDP01X,2054, 1.4550407803177350e+03
REGION,EGWINDP01X,2055, 1.5517081016471475e+03
REGION,EGWINDP01X,2056, 1.6353161519946975e+03
REGION,EGWINDP01X,2057, 1.7071677748054424e+03
REGION,EGWINDP01X,2058, 1.7684368607574224e+03
REGION,EGWINDP01X,2059, 1.8201810264181049e+03
REGION,EGWINDP01X,2060, 1.8633530534159027e+03
REGION,EGWINDP01X,2061, 2531.74827827384
REGION,EGWINDP01X,2062, 2569.77140643348
REGION,EGWINDP01X,2063, 2599.46846465907
REGION,EGWINDP01X,2064, 2621.67548848091
REGION,EGWINDP01X,2065, 2637.14531746454
REGION,EGWINDP01X,2066, 2646.55581236528
REGION,EGWINDP01X,2067, 2650.51726582457
REGION,EGWINDP01X,2068, 2649.57908532658
REGION,EGWINDP01X,2069, 2644.235819486
REGION,EGWINDP01X,2070, 2634.93259183017
REGION,EGNULWP04N,2039, 3.6391249279894851e+03
REGION,EGNULWP04N,2040, 3663.77508046744
REGION,EGNULWP04N,2041, 3686.18430999285
REGION,EGNULWP04N,2042, 3706.55633683413
REGION,EGNULWP04N,2043, 3.7250763612352948e+03
REGION,EGNULWP04N,2046, 2.0096633268400463e-10
REGION,EGNULWP04N,2051, 3823.87932459887
REGION,EGNULWP04N,2052, 3.8317336228397921e+03
REGION,EGEL00T00X,2028, 4.7197316635161117e+00
REGION,EGEL00T00X,2029, 6.5796237978902042e+01
REGION,EGEL00T00X,2030, 13.1642129149125
REGION,EGEL00T00X,2031, 4.5039479750676821e+02
REGION,EGEL00T00X,2032, 4.7643014817975313e+02
REGION,EGEL00T00X,2033, 4.7773829483781361e+02
REGION,EGEL00T00X,2034, 4.7882395259040288e+02
REGION,EGEL00T00X,2035, 4.7970814507520055e+02
REGION,EGEL00T00X,2036, 4.8040993897714935e+02
REGION,EGEL00T00X,2037, 4.8094662610549119e+02
REGION,EGEL00T00X,2038, 4.8133388852638569e+02
REGION,EGEL00T00X,2039, 4.8158594832868886e+02
REGION,EGEL00T00X,2040, 481.715703452219
REGION,EGEL00T00X,2041, 5.7101521576933771e+02
REGION,EGEL00T00X,2042, 5.7091937877461589e+02
REGION,EGEL00T00X,2043, 5.7071641145016565e+02
REGION,EGEL00T00X,2044, 5.7041665444198122e+02
REGION,EGEL00T00X,2045, 5.7002948513792694e+02
REGION,EGEL00T00X,2046, 5.6956340727462066e+02
REGION,EGEL00T00X,2047, 5.6902613220685043e+02
REGION,EGEL00T00X,2048, 5.6842465261523046e+02
REGION,EGEL00T00X,2049, 5.6776530935856215e+02
REGION,EGEL00T00X,2050, 5.6705385210410134e+02
REGION,EGEL00T00X,2051, 6.2473098413382843e+02
REGION,EGEL00T00X,2052, 6.4501660831866968e+02
REGION,EGEL00T00X,2053, 6.6589800572640843e+02
REGION,EGEL00T00X,2054, 687.395540079846
REGION,EGEL00T00X,2055, 7.0953009107733817e+02
REGION,EGEL00T00X,2056, 7.3232307731529727e+02
REGION,EGEL00T00X,2057, 7.5579647952072332e+02
REGION,EGEL00T00X,2058, 7.7997286413234224e+02
REGION,EGEL00T00X,2059, 8.0487540725198664e+02
REGION,EGEL00T00X,2060, 8.3052791900795989e+02
REGION,EGEL00T00X,2061, 8.5695486835286749e+02
REGION,EGEL00T00X,2062, 884.181408335293
REGION,EGEL00T00X,2063, 9.1223340187007352e+02
REGION,EGEL00T00X,2064, 9.4113744804401779e+02
REGION,EGEL00T00X,2065, 9.7092090898691163e+02
REGION,EGEL00T00X,2066, 1.0016119373376250e+03
REGION,EGEL00T00X,2067, 1.0332395043424267e+03
REGION,EGEL00T00X,2068, 1.0658334286139418e+03
REGION,EGEL00T00X,2069, 1.0994244055847985e+03
REGION,EGEL00T00X,2070, 1.1340440376893303e+03
REGION,EGEL00TDTX,2028, 3.1319530215333383e+01
REGION,EGEL00TDTX,2029, 4.3478298267391938e+02
REGION,EGEL00TDTX,2030, 8.6989407472435488e+01
REGION,EGEL00TDTX,2031, 2.9762186935915038e+03
REGION,EGEL00TDTX,2032, 3.1482608614764408e+03
REGION,EGEL00TDTX,2033, 3.1569051232645998e+03
REGION,EGEL00TDTX,2034, 3.1640791734889481e+03
REGION,EGEL00TDTX,2035, 3.1699219368080476e+03
REGION,EGEL00TDTX,2036, 3.1745594062939049e+03
REGION,EGEL00TDTX,2037, 3.1781058466010068e+03
REGION,EGEL00TDTX,2038, 3.1806648851662303e+03
REGION,EGEL00TDTX,2039, 3.1823305018644255e+03
REGION,EGEL00TDTX,2040, 3.1831879265646439e+03
REGION,EGEL00TDTX,2041, 3.7732810612057992e+03
REGION,EGEL00TDTX,2042, 3.7726477682441046e+03
REGION,EGEL00TDTX,2043, 3.7713065557155387e+03
REGION,EGEL00TDTX,2044, 3.7693257548354654e+03
REGION,EGEL00TDTX,2045, 3.7667673315883508e+03
REGION,EGEL00TDTX,2046, 3.7636874788522341e+03
REGION,EGEL00TDTX,2047, 3.7601371534284785e+03
REGION,EGEL00TDTX,2048, 3.7561625631039678e+03
REGION,EGEL00TDTX,2049, 3.7518056084125633e+03
REGION,EGEL00TDTX,2050, 3.7471042832814496e+03
REGION,EGEL00TDTX,2051, 4.1282360358902661e+03
REGION,EGEL00TDTX,2052, 4.2622838851200950e+03
REGION,EGEL00TDTX,2053, 4400.26861686488
REGION,EGEL00TDTX,2054, 4.5423247950512541e+03
REGION,EGEL00TDTX,2055, 4.6885903931835137e+03
REGION,EGEL00TDTX,2056, 4.8392069458162841e+03
REGION,EGEL00TDTX,2057, 4.9943197020752295e+03
REGION,EGEL00TDTX,2058, 5.1540777814821267e+03
REGION,EGEL00TDTX,2059, 5.3186343322259763e+03
REGION,EGEL00TDTX,2060, 5.4881466921562551e+03
REGION,EGEL00TDTX,2061, 5.6627765526481780e+03
REGION,EGEL00TDTX,2062, 5.8426901255981657e+03
REGION,EGEL00TDTX,2063, 6.0280583137141757e+03
REGION,EGEL00TDTX,2064, 6219.05688434497
REGION,EGEL00TDTX,2065, 6.4158666470438429e+03
REGION,EGEL00TDTX,2066, 6618.67363506531
REGION,EGEL00TDTX,2067, 6.8276692910399779e+03
REGION,EGEL00TDTX,2068, 7.0430506570137131e+03
REGION,EGEL00TDTX,2069, 7.2650205690775165e+03
REGION,EGEL00TDTX,2070, 7.4937878568108545e+03
REGION,EGSOU1P03X,2047, 9.3202189072757989e+01
REGION,EGSOU1P03X,2048, 1.7540760148509298e+02
REGION,EGSOU1P03X,2049, 2.4772520179839074e+02
REGION,EGSOU1P03X,2050, 3.1115320710552078e+02
REGION,EGSOU1P03X,2051, 366.590057937834
REGION,EGSOU1P03X,2052, 414.844309730121
REGION,EGSOU1P03X,2053, 456.643550437086
REGION,EGSOU1P03X,2054, 4.9264243961704051e+02
REGION,EGSOU1P03X,2055, 5.2342995501674625e+02
REGION,EGSOU1P03X,2056, 549.535924309398
REGION,EGSOU1P03X,2057, 5.7143691206876622e+02
REGION,EGSOU1P03X,2058, 589.561525227996
REGION,EGSOU1P03X,2059, 6.0429519410043156e+02
REGION,EGSOU1P03X,2060, 615.984480468066
REGION,EGSOU1P03X,2061, 833.254612283667
REGION,EGSOU1P03X,2062, 841.926287231747
REGION,EGSOU1P03X,2063, 847.663326421118
REGION,EGSOU1P03X,2064, 850.767388785981
REGION,EGSOU1P03X,2065, 851.509539369677
REGION,EGSOU1P03X,2066, 850.133318801259
REGION,EGSOU1P03X,2067, 846.857507527482
REGION,EGSOU1P03X,2068, 841.878614931658
REGION,EGSOU1P03X,2069, 835.373120515056
REGION,EGSOU1P03X,2070, 827.499491649143
REGION,EGSOV1F01X,2052, 1.4095154972705764e+01
