r,e,y,AnnualEmissions
REGION,EGCO2,2015.0,212.5071
REGION,EGCO2,2016.0,209.9166
REGION,EGCO2,2017.0,208.8481
REGION,EGCO2,2018.0,205.648
REGION,EGCO2,2019.0,205.9337
REGION,EGCO2,2020.0,206.1694
REGION,EGCO2,2021.0,196.0062
REGION,EGCO2,2022.0,203.8478
REGION,EGCO2,2023.0,214.8861
REGION,EGCO2,2024.0,219.0128
REGION,EGCO2,2025.0,233.7659
REGION,EGCO2,2026.0,249.5529
REGION,EGCO2,2027.0,253.5456
REGION,EGCO2,2028.0,257.5311
REGION,EGCO2,2029.0,261.5095
REGION,EGCO2,2030.0,265.3129
REGION,EGCO2,2031.0,271.608
REGION,EGCO2,2032.0,276.8244
REGION,EGCO2,2033.0,279.0734
REGION,EGCO2,2034.0,284.9291
REGION,EGCO2,2035.0,294.744
REGION,EGCO2,2036.0,304.1431
REGION,EGCO2,2037.0,313.4421
REGION,EGCO2,2038.0,322.7569
REGION,EGCO2,2039.0,331.6187
REGION,EGCO2,2040.0,326.6455
REGION,EGCO2,2041.0,304.0699
REGION,EGCO2,2042.0,309.7528
REGION,EGCO2,2043.0,317.3451
REGION,EGCO2,2044.0,323.9786
REGION,EGCO2,2045.0,330.4723
REGION,EGCO2,2046.0,336.8363
REGION,EGCO2,2047.0,342.532
REGION,EGCO2,2048.0,348.1651
REGION,EGCO2,2049.0,355.6385
REGION,EGCO2,2050.0,362.5503
REGION,EGCO2,2051.0,370.1147
REGION,EGCO2,2052.0,377.7141
REGION,EGCO2,2053.0,385.4549
REGION,EGCO2,2054.0,393.46
REGION,EGCO2,2055.0,391.5566
REGION,EGCO2,2056.0,391.4957
REGION,EGCO2,2057.0,403.2313
REGION,EGCO2,2058.0,415.1902
REGION,EGCO2,2059.0,427.8538
REGION,EGCO2,2060.0,440.9097
REGION,EGCO2,2061.0,449.5493
REGION,EGCO2,2062.0,458.648
REGION,EGCO2,2063.0,467.8625
REGION,EGCO2,2064.0,476.8015
REGION,EGCO2,2065.0,484.8173
REGION,EGCO2,2066.0,492.4068
REGION,EGCO2,2067.0,500.2167
REGION,EGCO2,2068.0,509.5916
REGION,EGCO2,2069.0,520.3567
REGION,EGCO2,2070.0,530.311
REGION,EGREN,2015.0,0.0
REGION,EGREN,2016.0,0.0
REGION,EGREN,2017.0,0.0
REGION,EGREN,2018.0,0.0
REGION,EGREN,2019.0,0.0
REGION,EGREN,2020.0,0.0
REGION,EGREN,2021.0,-0.0
REGION,EGREN,2022.0,-0.0
REGION,EGREN,2023.0,-0.0
REGION,EGREN,2024.0,-0.0
REGION,EGREN,2025.0,-0.0
REGION,EGREN,2026.0,-0.0
REGION,EGREN,2027.0,-0.0
REGION,EGREN,2028.0,-0.0
REGION,EGREN,2029.0,-0.0
REGION,EGREN,2030.0,-0.0
REGION,EGREN,2031.0,-0.0
REGION,EGREN,2032.0,-0.0
REGION,EGREN,2033.0,-77.1175
REGION,EGREN,2034.0,-77.005
REGION,EGREN,2035.0,-76.4644
REGION,EGREN,2036.0,-79.6695
REGION,EGREN,2037.0,-82.7058
REGION,EGREN,2038.0,-86.2176
REGION,EGREN,2039.0,-90.1617
REGION,EGREN,2040.0,-96.8688
REGION,EGREN,2041.0,-159.3856
REGION,EGREN,2042.0,-203.0063
REGION,EGREN,2043.0,-201.8788
REGION,EGREN,2044.0,-219.2982
REGION,EGREN,2045.0,-234.9264
REGION,EGREN,2046.0,-164.2932
REGION,EGREN,2047.0,-111.9566
REGION,EGREN,2048.0,-152.7626
REGION,EGREN,2049.0,-135.0336
REGION,EGREN,2050.0,-128.6414
REGION,EGREN,2051.0,-114.9105
REGION,EGREN,2052.0,-102.194
REGION,EGREN,2053.0,-88.1148
REGION,EGREN,2054.0,-71.5221
REGION,EGREN,2055.0,-78.2804
REGION,EGREN,2056.0,-29.0988
REGION,EGREN,2057.0,-0.0
REGION,EGREN,2058.0,-0.0
REGION,EGREN,2059.0,-0.0
REGION,EGREN,2060.0,-0.0
REGION,EGREN,2061.0,-0.0
REGION,EGREN,2062.0,-0.0
REGION,EGREN,2063.0,-0.0
REGION,EGREN,2064.0,-0.0
REGION,EGREN,2065.0,-88.0987
REGION,EGREN,2066.0,-214.4068
REGION,EGREN,2067.0,-338.8412
REGION,EGREN,2068.0,-396.9871
REGION,EGREN,2069.0,-392.3362
REGION,EGREN,2070.0,-529.4839
REGION,ETCO2,2015.0,10.436
REGION,ETCO2,2016.0,11.1507
REGION,ETCO2,2017.0,12.5343
REGION,ETCO2,2018.0,13.918
REGION,ETCO2,2019.0,15.3016
REGION,ETCO2,2020.0,16.6852
REGION,ETCO2,2021.0,17.4887
REGION,ETCO2,2022.0,18.3805
REGION,ETCO2,2023.0,19.3808
REGION,ETCO2,2024.0,20.5155
REGION,ETCO2,2025.0,22.3438
REGION,ETCO2,2026.0,23.8591
REGION,ETCO2,2027.0,25.6383
REGION,ETCO2,2028.0,27.7508
REGION,ETCO2,2029.0,30.2856
REGION,ETCO2,2030.0,33.3539
REGION,ETCO2,2031.0,34.4346
REGION,ETCO2,2032.0,35.5557
REGION,ETCO2,2033.0,36.7175
REGION,ETCO2,2034.0,37.923
REGION,ETCO2,2035.0,39.6272
REGION,ETCO2,2036.0,40.9827
REGION,ETCO2,2037.0,42.3832
REGION,ETCO2,2038.0,44.4084
REGION,ETCO2,2039.0,46.6176
REGION,ETCO2,2040.0,49.0227
REGION,ETCO2,2041.0,50.2748
REGION,ETCO2,2042.0,50.9384
REGION,ETCO2,2043.0,51.5615
REGION,ETCO2,2044.0,52.2151
REGION,ETCO2,2045.0,52.9593
REGION,ETCO2,2046.0,53.4918
REGION,ETCO2,2047.0,54.0215
REGION,ETCO2,2048.0,54.8207
REGION,ETCO2,2049.0,55.6546
REGION,ETCO2,2050.0,56.8402
REGION,ETCO2,2051.0,57.4176
REGION,ETCO2,2052.0,58.0047
REGION,ETCO2,2053.0,58.6012
REGION,ETCO2,2054.0,59.2068
REGION,ETCO2,2055.0,59.823
REGION,ETCO2,2056.0,60.5132
REGION,ETCO2,2057.0,61.2242
REGION,ETCO2,2058.0,61.8912
REGION,ETCO2,2059.0,62.5433
REGION,ETCO2,2060.0,63.1206
REGION,ETCO2,2061.0,63.5296
REGION,ETCO2,2062.0,64.4259
REGION,ETCO2,2063.0,65.4768
REGION,ETCO2,2064.0,67.2582
REGION,ETCO2,2065.0,68.6144
REGION,ETCO2,2066.0,70.3642
REGION,ETCO2,2067.0,72.2139
REGION,ETCO2,2068.0,72.1966
REGION,ETCO2,2069.0,72.7339
REGION,ETCO2,2070.0,74.4838
REGION,SDCO2,2015.0,15.4886
REGION,SDCO2,2016.0,18.0873
REGION,SDCO2,2017.0,16.4326
REGION,SDCO2,2018.0,15.4749
REGION,SDCO2,2019.0,15.0752
REGION,SDCO2,2020.0,14.6754
REGION,SDCO2,2021.0,25.5154
REGION,SDCO2,2022.0,26.4086
REGION,SDCO2,2023.0,20.7935
REGION,SDCO2,2024.0,19.4883
REGION,SDCO2,2025.0,55.3409
REGION,SDCO2,2026.0,54.197
REGION,SDCO2,2027.0,54.0456
REGION,SDCO2,2028.0,54.1762
REGION,SDCO2,2029.0,20.4918
REGION,SDCO2,2030.0,20.4998
REGION,SDCO2,2031.0,19.4067
REGION,SDCO2,2032.0,20.2169
REGION,SDCO2,2033.0,22.3605
REGION,SDCO2,2034.0,23.1879
REGION,SDCO2,2035.0,22.2469
REGION,SDCO2,2036.0,22.7872
REGION,SDCO2,2037.0,23.4268
REGION,SDCO2,2038.0,24.0845
REGION,SDCO2,2039.0,24.795
REGION,SDCO2,2040.0,31.4352
REGION,SDCO2,2041.0,31.8987
REGION,SDCO2,2042.0,38.2024
REGION,SDCO2,2043.0,39.1295
REGION,SDCO2,2044.0,39.8388
REGION,SDCO2,2045.0,40.3853
REGION,SDCO2,2046.0,41.0384
REGION,SDCO2,2047.0,41.8245
REGION,SDCO2,2048.0,59.1438
REGION,SDCO2,2049.0,60.004
REGION,SDCO2,2050.0,60.7123
REGION,SDCO2,2051.0,60.9743
REGION,SDCO2,2052.0,61.5259
REGION,SDCO2,2053.0,62.1187
REGION,SDCO2,2054.0,62.7227
REGION,SDCO2,2055.0,63.338
REGION,SDCO2,2056.0,63.9648
REGION,SDCO2,2057.0,64.6033
REGION,SDCO2,2058.0,64.4177
REGION,SDCO2,2059.0,65.2654
REGION,SDCO2,2060.0,66.2444
REGION,SDCO2,2061.0,66.5667
REGION,SDCO2,2062.0,67.0779
REGION,SDCO2,2063.0,67.4348
REGION,SDCO2,2064.0,66.8408
REGION,SDCO2,2065.0,67.0119
REGION,SDCO2,2066.0,66.503
REGION,SDCO2,2067.0,65.644
REGION,SDCO2,2068.0,65.8475
REGION,SDCO2,2069.0,66.3531
REGION,SDCO2,2070.0,62.6475
REGION,SDREN,2015.0,0.0
REGION,SDREN,2016.0,0.0
REGION,SDREN,2017.0,0.0
REGION,SDREN,2018.0,0.0
REGION,SDREN,2019.0,0.0
REGION,SDREN,2020.0,0.0
REGION,SDREN,2021.0,-949.4957
REGION,SDREN,2022.0,-411.9569
REGION,SDREN,2023.0,-600.3799
REGION,SDREN,2024.0,-447.1141
REGION,SDREN,2025.0,-346.2408
REGION,SDREN,2026.0,-287.1419
REGION,SDREN,2027.0,-246.129
REGION,SDREN,2028.0,-205.0935
REGION,SDREN,2029.0,-173.8182
REGION,SDREN,2030.0,-157.0424
REGION,SDREN,2031.0,-192.7934
REGION,SDREN,2032.0,-217.4093
REGION,SDREN,2033.0,-249.1381
REGION,SDREN,2034.0,-277.4098
REGION,SDREN,2035.0,-278.417
REGION,SDREN,2036.0,-304.7548
REGION,SDREN,2037.0,-332.1588
REGION,SDREN,2038.0,-362.6303
REGION,SDREN,2039.0,-393.2239
REGION,SDREN,2040.0,-404.2113
REGION,SDREN,2041.0,-436.0267
REGION,SDREN,2042.0,-444.7637
REGION,SDREN,2043.0,-475.0866
REGION,SDREN,2044.0,-495.9049
REGION,SDREN,2045.0,-529.0403
REGION,SDREN,2046.0,-543.8556
REGION,SDREN,2047.0,-567.6654
REGION,SDREN,2048.0,-543.9152
REGION,SDREN,2049.0,-569.9339
REGION,SDREN,2050.0,-607.4525
REGION,SDREN,2051.0,-634.8244
REGION,SDREN,2052.0,-660.2288
REGION,SDREN,2053.0,-686.9729
REGION,SDREN,2054.0,-714.2742
REGION,SDREN,2055.0,-802.1429
REGION,SDREN,2056.0,-869.3014
REGION,SDREN,2057.0,-934.9621
REGION,SDREN,2058.0,-992.7279
REGION,SDREN,2059.0,-1019.3081
REGION,SDREN,2060.0,-1040.1645
REGION,SDREN,2061.0,-1079.502
REGION,SDREN,2062.0,-1108.5876
REGION,SDREN,2063.0,-1143.9308
REGION,SDREN,2064.0,-1213.3783
REGION,SDREN,2065.0,-1255.9713
REGION,SDREN,2066.0,-1315.0072
REGION,SDREN,2067.0,-1380.4812
REGION,SDREN,2068.0,-1424.1256
REGION,SDREN,2069.0,-1462.3405
REGION,SDREN,2070.0,-1521.1477
REGION,SSCO2,2015.0,1.8822
REGION,SSCO2,2016.0,1.5839
REGION,SSCO2,2017.0,2.134
REGION,SSCO2,2018.0,2.6842
REGION,SSCO2,2019.0,3.2344
REGION,SSCO2,2020.0,2.0336
REGION,SSCO2,2021.0,2.122
REGION,SSCO2,2022.0,2.2141
REGION,SSCO2,2023.0,2.3356
REGION,SSCO2,2024.0,2.296
REGION,SSCO2,2025.0,2.3385
REGION,SSCO2,2026.0,2.3819
REGION,SSCO2,2027.0,2.4262
REGION,SSCO2,2028.0,2.4714
REGION,SSCO2,2029.0,2.5167
REGION,SSCO2,2030.0,2.5627
REGION,SSCO2,2031.0,2.601
REGION,SSCO2,2032.0,2.6402
REGION,SSCO2,2033.0,2.6797
REGION,SSCO2,2034.0,2.7909
REGION,SSCO2,2035.0,2.9576
REGION,SSCO2,2036.0,3.1331
REGION,SSCO2,2037.0,3.318
REGION,SSCO2,2038.0,3.5153
REGION,SSCO2,2039.0,3.7203
REGION,SSCO2,2040.0,3.9364
REGION,SSCO2,2041.0,4.1153
REGION,SSCO2,2042.0,4.1711
REGION,SSCO2,2043.0,4.2207
REGION,SSCO2,2044.0,4.2718
REGION,SSCO2,2045.0,4.3238
REGION,SSCO2,2046.0,4.3752
REGION,SSCO2,2047.0,4.4208
REGION,SSCO2,2048.0,4.4668
REGION,SSCO2,2049.0,4.5132
REGION,SSCO2,2050.0,4.576
REGION,SSCO2,2051.0,4.6174
REGION,SSCO2,2052.0,4.6621
REGION,SSCO2,2053.0,4.7015
REGION,SSCO2,2054.0,4.7422
REGION,SSCO2,2055.0,4.7828
REGION,SSCO2,2056.0,4.8243
REGION,SSCO2,2057.0,4.8661
REGION,SSCO2,2058.0,4.9083
REGION,SSCO2,2059.0,4.9521
REGION,SSCO2,2060.0,5.0043
REGION,SSCO2,2061.0,5.0467
REGION,SSCO2,2062.0,5.0918
REGION,SSCO2,2063.0,5.1385
REGION,SSCO2,2064.0,5.2064
REGION,SSCO2,2065.0,5.2755
REGION,SSCO2,2066.0,5.346
REGION,SSCO2,2067.0,5.42
REGION,SSCO2,2068.0,5.4978
REGION,SSCO2,2069.0,5.5772
REGION,SSCO2,2070.0,5.6576
