r,t,y,AnnualFixedOperatingCost
REGION,EGBMCHP04O,2015, 149.76
REGION,EGBMCHP04O,2016, 149.76
REGION,EGBMCHP04O,2017, 149.76
REGION,EGBMCHP04O,2018, 149.76
REGION,EGBMCHP04O,2019, 149.76
REGION,EGBMCHP04O,2020, 149.76
REGION,EGBMCHP04O,2021, 142.272
REGION,EGBMCHP04O,2022, 134.784
REGION,EGBMCHP04O,2023, 127.296
REGION,EGBMCHP04O,2024, 119.808
REGION,EGBMCHP04O,2025, 74.88
REGION,EGBMCHP04O,2026, 67.392
REGION,EGBMCHP04O,2027, 59.904
REGION,EGBMCHP04O,2028, 52.416
REGION,EGBMCHP04O,2029, 44.928
REGION,EGBMCHP04O,2030, 37.44
REGION,EGBMCHP04O,2031, 29.952
REGION,EGBMCHP04O,2032, 22.464
REGION,EGBMCHP04O,2033, 14.976
REGION,EGBMCHP04O,2034, 7.48800000000001
REGION,EGBMCHP04N,2016, 45
REGION,EGBMCHP04N,2017, 45
REGION,EGBMCHP04N,2018, 45
REGION,EGBMCHP04N,2019, 45
REGION,EGBMCHP04N,2020, 45
REGION,EGBMCHP04N,2021, 6.2650000000000006e+01
REGION,EGBMCHP04N,2022, 80.1
REGION,EGBMCHP04N,2023, 97.35
REGION,EGBMCHP04N,2024, 9.6800000000000011e+01
REGION,EGBMCHP04N,2025, 96.25
REGION,EGBMCHP04N,2026, 95.7
REGION,EGBMCHP04N,2027, 95.15
REGION,EGBMCHP04N,2028, 94.6
REGION,EGBMCHP04N,2029, 9.4050000000000011e+01
REGION,EGBMCHP04N,2030, 93.5
REGION,EGBMCHP04N,2031, 93.5
REGION,EGBMCHP04N,2032, 93.5
REGION,EGBMCHP04N,2033, 93.5
REGION,EGBMCHP04N,2034, 93.5
REGION,EGBMCHP04N,2035, 93.5
REGION,EGBMCHP04N,2036, 93.5
REGION,EGBMCHP04N,2037, 93.5
REGION,EGBMCHP04N,2038, 93.5
REGION,EGBMCHP04N,2039, 93.5
REGION,EGBMCHP04N,2040, 93.5
REGION,EGBMCHP04N,2041, 93.5
REGION,EGBMCHP04N,2042, 93.5
REGION,EGBMCHP04N,2043, 93.5
REGION,EGBMCHP04N,2044, 93.5
REGION,EGBMCHP04N,2045, 93.5
REGION,EGBMCHP04N,2046, 93.5
REGION,EGBMCHP04N,2047, 93.5
REGION,EGBMCHP04N,2048, 93.5
REGION,EGBMCHP04N,2049, 93.5
REGION,EGBMCHP04N,2050, 93.5
REGION,EGBMCHP04N,2051, 93.5
REGION,EGBMCHP04N,2052, 93.5
REGION,EGBMCHP04N,2053, 93.5
