r,t,y,DiscountedSalvageValue
REGION,EGNG00ILGX,2047, 4.5706576695136086e-02
REGION,EGNG00ILGX,2049, 1.1216323679490837e-02
REGION,EGNG00ILGX,2050, 1.0535201287460516e-01
REGION,EGNG00ILGX,2051, 1.4421838100942302e-01
REGION,EGNG00ILGX,2052, 1.6679461637819332e-01
REGION,EGNG00ILGX,2053, 1.9232657988759833e-01
REGION,EGNG00ILGX,2054, 2.2309315141324365e-01
REGION,EGNG00ILGX,2055, 3.7160747857567888e-01
REGION,EGNG00ILGX,2056, 4.9386109457145377e-01
REGION,EGNG00ILGX,2057, 1.2674913535666391e-01
REGION,EGNG00ILGX,2058, 1.4609914308585925e-01
REGION,EGNG00ILGX,2059, 1.9676706686479797e-01
REGION,EGNG00ILGX,2060, 2.2941110857186817e-01
REGION,EGNG00ILGX,2061, 3.5707798887703951e-01
REGION,EGNG00ILGX,2062, 3.9885120617608583e-01
REGION,EGNG00ILGX,2063, 4.1645432898735529e-01
REGION,EGNG00ILGX,2064, 0.404537772651973
REGION,EGNG00ILGX,2065, 0.342092219945546
REGION,EGNG00ILGX,2066, 3.1445356783936707e-01
REGION,EGNG00ILGX,2067, 4.6096700492941558e+00
REGION,EGNG00ILGX,2068, 4.1919344177365074e+00
REGION,EGNG00ILGX,2069, 8.5413736804396445e-01
REGION,EGNG00ILGX,2070, 7.8527413865422591e-01
REGION,EGCOSCP04N,2042, 0.543135396502441
REGION,EGCOSCP04N,2043, 1.0368948478682984e+00
REGION,EGCOSCP04N,2044, 1.4857670763827113e+00
REGION,EGCOSCP04N,2045, 1.8938327386685443e+00
REGION,EGCOSCP04N,2048, 8.7258949301290443e+00
REGION,EGCOSCP04N,2049, 3.1873459813900369e+00
REGION,EGCOSCP04N,2050, 3.4407226523115808e+00
REGION,EGCOSCP04N,2051, 3.6710650804220535e+00
REGION,EGCOSCP04N,2052, 3.8804672877952191e+00
REGION,EGCOSCP04N,2053, 4.07083293086174
REGION,EGCOSCP04N,2054, 4.2438926063767353e+00
REGION,EGCOSCP04N,2055, 1.3203658752352952e+01
REGION,EGCOSCP04N,2056, 1.3632732328010059e+01
REGION,EGCOSCP04N,2057, 1.4022799214971027e+01
REGION,EGCOSCP04N,2058, 14.3774054758446
REGION,EGCOSCP04N,2059, 1.4699774803911513e+01
REGION,EGCOSCP04N,2060, 1.4992837829426874e+01
REGION,EGCOSCP04N,2061, 5.0864195872378515e+00
REGION,EGCOSCP04N,2062, 5.16715320308231
REGION,EGCOSCP04N,2063, 5.24054739930455
REGION,EGCOSCP04N,2064, 5.3072693958701960e+00
REGION,EGCOSCP04N,2065, 1.6103777269153365e+01
REGION,EGCOSCP04N,2066, 1.6269203706919463e+01
REGION,EGCOSCP04N,2067, 1.6419591377615905e+01
REGION,EGCOSCP04N,2068, 1.6556307441885462e+01
REGION,EGCOSCP04N,2069, 1.6680594773039527e+01
REGION,EGCOSCP04N,2070, 16.7935832559069
REGION,EGNGCCP01N,2042, 3.3036409865361777e-01
REGION,EGNGCCP01N,2043, 3.6526594548616026e-01
REGION,EGNGCCP01N,2044, 1.1597454098275874e+00
REGION,EGNGCCP01N,2046, 2.7023199985147643e+00
REGION,EGNGCCP01N,2047, 3.10471382402202
REGION,EGNGCCP01N,2048, 3.4705263926649734e+00
REGION,EGNGCCP01N,2049, 3.8030832732494786e+00
REGION,EGNGCCP01N,2050, 4.10540771014449
REGION,EGNGCCP01N,2051, 1.0869114824188095e-01
REGION,EGNGCCP01N,2052, 1.5819603682435401e+00
REGION,EGNGCCP01N,2053, 1.4599573108811350e+00
REGION,EGNGCCP01N,2054, 1.1426351340663174e+00
REGION,EGNGCCP01N,2055, 4.7445917708930878e+00
REGION,EGNGCCP01N,2056, 2.1436027916932168e+00
REGION,EGNGCCP01N,2060, 4.8278252321794044e+00
REGION,EGNGCCP01N,2063, 1.0421543123616992e+01
REGION,EGNGCCP01N,2064, 7.0343215726480945e+00
REGION,EGNGCCP01N,2065, 3.4631521318283083e+00
REGION,EGNGCCP01N,2067, 1.0884198829859042e+01
REGION,EGNGCCP01N,2068, 5.8911543125231347e+00
REGION,EGNGCCP01N,2070, 1.1132110112817072e+01
REGION,EGNGCCP02N,2045, 1.3135262516512887e+00
REGION,EGNGCCP02N,2046, 2.7023199985147643e+00
REGION,EGNGCCP02N,2047, 3.10471382402202
REGION,EGNGCCP02N,2048, 3.4705263926649734e+00
REGION,EGNGCCP02N,2049, 3.8030832732494786e+00
REGION,EGNGCCP02N,2050, 3.6007851866604051e-01
REGION,EGNGCCP02N,2051, 4.3802481073217630e+00
REGION,EGNGCCP02N,2053, 4.8572438379600156e+00
REGION,EGNGCCP02N,2054, 5.0637354962449743e+00
REGION,EGNGCCP02N,2056, 5.4221094486403549e+00
REGION,EGNGCCP02N,2057, 2.2767822017183144e+00
REGION,EGNGCCP02N,2058, 3.9426077508452106e+00
REGION,EGNGCCP02N,2061, 9.1773662050032669e+00
REGION,EGNGCCP02N,2063, 1.2645637087817339e+00
REGION,EGNGCCP02N,2065, 1.0674852356446346e+01
REGION,EGNGCCP02N,2066, 1.1368437149127759e+00
REGION,EGNGCCP02N,2069, 9.5909459018535070e+00
REGION,EGNGCCP04N,2043, 1.2372040798428543e+00
REGION,EGNGCCP04N,2045, 2.2596867904567852e+00
REGION,EGNGCCP04N,2046, 2.7023199985147643e+00
REGION,EGNGCCP04N,2047, 3.10471382402202
REGION,EGNGCCP04N,2048, 3.4705263926649734e+00
REGION,EGNGCCP04N,2049, 3.8030832732494786e+00
REGION,EGNGCCP04N,2051, 4.3802481073217630e+00
REGION,EGNGCCP04N,2052, 4.6301030138465613e+00
REGION,EGNGCCP04N,2055, 5.2514551855949350e+00
REGION,EGNGCCP04N,2056, 5.4221094486403549e+00
REGION,EGNGCCP04N,2059, 4.49526882814699
REGION,EGNGCCP04N,2062, 9.5697669523909958e+00
REGION,EGNGCCP04N,2064, 1.0554228912241886e+01
REGION,EGNGCCP04N,2066, 1.0784510032995854e+01
REGION,EGNGCCP04N,2067, 1.4677374760080236e-01
REGION,EGNGCCP04N,2068, 1.0974825008825576e+01
REGION,EGNGCCP04N,2069, 1.1057212444249689e+01
REGION,EGNGCCP04N,2070, 1.0451298049503126e+01
REGION,EGNGGCP04N,2047, 3.4963050424316006e-01
REGION,EGNGGCP04N,2048, 6.6747641719148620e-01
REGION,EGNGGCP04N,2054, 3.1475551820644221e-01
REGION,EGNGGCP04N,2055, 3.3204909421432793e-01
REGION,EGNGGCP04N,2056, 0.609434921880147
REGION,EGNGGCP04N,2057, 0.595326123904013
REGION,EGNGGCP04N,2059, 7.1165992426992752e-01
REGION,EGNGGCP04N,2060, 9.6916916441895606e-01
REGION,EGNGGCP04N,2062, 4.3457067992867809e-01
REGION,EGNGGCP04N,2063, 2.6318062919194346e-01
REGION,EGNGGCP04N,2068, 2.8414931840269504e+00
REGION,EGNGGCP04N,2069, 1.6374566929502137e+00
REGION,EGNGGCP04N,2070, 2.8231878681215021e+00
REGION,EGHYDMS03X,2023, 7.0454613906395540e+00
REGION,EGHYDMS03X,2031, 5.8129479801704054e-01
REGION,EGHYDMS03X,2032, 7.9033133229380881e-02
REGION,EGHYDMS03X,2033, 6.5979388855212511e+00
REGION,EGHYDMS03X,2041, 7.3327407665480067e+00
REGION,EGHYDMS02X,2018, 4.3722314975771126e-01
REGION,EGHYDMS02X,2023, 3.5227306953197766e+00
REGION,EGHYDMS02X,2031, 3.6161666944985997e+00
REGION,EGHYDMS02X,2033, 3.6303467607994766e+00
REGION,EGHYDMS02X,2041, 3.6663703832740033e+00
REGION,EGWINDP00X,2047, 7.0505556638316813e-01
REGION,EGWINDP00X,2048, 1.3428331032210650e+00
REGION,EGWINDP00X,2049, 1.9195865469210605e+00
REGION,EGWINDP00X,2050, 2.4409887713168161e+00
REGION,EGWINDP00X,2051, 2.9121855499841320e+00
REGION,EGWINDP00X,2052, 3.3378445093966245e+00
REGION,EGWINDP00X,2053, 3.7221995377081591e+00
REGION,EGWINDP00X,2054, 4.0690910708401047e+00
REGION,EGWINDP00X,2055, 4.3820026384397091e+00
REGION,EGWINDP00X,2056, 4.6640940167900764e+00
REGION,EGWINDP00X,2057, 4.9182313035570466e+00
REGION,EGWINDP00X,2058, 5.1470142000477352e+00
REGION,EGWINDP00X,2059, 5.3528007601546124e+00
REGION,EGWINDP00X,2060, 5.5377298411142668e+00
REGION,EGWINDP00X,2061, 7.6049886258616661e+00
REGION,EGWINDP00X,2062, 7.8034604203271583e+00
REGION,EGWINDP00X,2063, 7.9811832685948154e+00
REGION,EGWINDP00X,2064, 8.1400874074480374e+00
REGION,EGWINDP00X,2065, 8.2819236004219370e+00
REGION,EGWINDP00X,2066, 8.4082798169330157e+00
REGION,EGWINDP00X,2067, 8.5205963620896767e+00
REGION,EGWINDP00X,2068, 8.6201796010339571e+00
REGION,EGWINDP00X,2069, 8.7082144083148254e+00
REGION,EGWINDP00X,2070, 8.7857754606806111e+00
REGION,EGWINDP01X,2057, 7.6805395662043341e-01
REGION,EGWINDP01X,2058, 7.8409593115764205e+00
REGION,EGWINDP01X,2059, 8.7523406823229184e+00
REGION,EGWINDP01X,2060, 8.9599333792838038e+00
REGION,EGWINDP01X,2066, 1.2725963938974733e+01
REGION,EGWINDP01X,2067, 1.2745012588405556e+01
REGION,EGWINDP01X,2068, 1.2740501347369229e+01
REGION,EGWINDP01X,2069, 1.2714808252938393e+01
REGION,EGWINDP01X,2070, 1.2670073681647281e+01
REGION,EGEL00T00X,2024, 4.3689097232593205e-01
REGION,EGEL00T00X,2025, 7.9771435783439526e-01
REGION,EGEL00T00X,2026, 8.0408969024065668e-01
REGION,EGEL00T00X,2027, 8.0969264183137568e-01
REGION,EGEL00T00X,2028, 8.1459564922621819e-01
REGION,EGEL00T00X,2029, 8.1886440756809742e-01
REGION,EGEL00T00X,2030, 8.2255849786249868e-01
REGION,EGEL00T00X,2031, 3.1784138802361506e+00
REGION,EGEL00T00X,2032, 3.1888137947470230e+00
REGION,EGEL00T00X,2033, 3.1975694037795668e+00
REGION,EGEL00T00X,2034, 3.2048358633665441e+00
REGION,EGEL00T00X,2035, 3.2107538876638371e+00
REGION,EGEL00T00X,2036, 3.2154510926668123e+00
REGION,EGEL00T00X,2037, 3.2190432148793944e+00
REGION,EGEL00T00X,2038, 3.2216352165716611e+00
REGION,EGEL00T00X,2039, 3.2233222881758543e+00
REGION,EGEL00T00X,2040, 3.2241907574143185e+00
REGION,EGEL00T00X,2041, 3.7713331151514788e+00
REGION,EGEL00T00X,2042, 3.7707001491240377e+00
REGION,EGEL00T00X,2043, 3.7693596289942888e+00
REGION,EGEL00T00X,2044, 3.7673798506966110e+00
REGION,EGEL00T00X,2045, 3.7648227482291996e+00
REGION,EGEL00T00X,2046, 3.7617444854586131e+00
REGION,EGEL00T00X,2047, 3.7581959928791835e+00
REGION,EGEL00T00X,2048, 3.7542234544275561e+00
REGION,EGEL00T00X,2049, 3.7498687490015881e+00
REGION,EGEL00T00X,2050, 3.7451698509173572e+00
REGION,EGEL00T00X,2051, 4.15059967107809
REGION,EGEL00T00X,2052, 4.2971447816253692e+00
REGION,EGEL00T00X,2053, 4.4484596894680291e+00
REGION,EGEL00T00X,2054, 4.6047181186462520e+00
REGION,EGEL00T00X,2055, 4.7660990190110812e+00
REGION,EGEL00T00X,2056, 4.9327867830553611e+00
REGION,EGEL00T00X,2057, 5.1049714679794027e+00
REGION,EGEL00T00X,2058, 5.28284902325449
REGION,EGEL00T00X,2059, 5.46662152400671
REGION,EGEL00T00X,2060, 5.6564974105025785e+00
REGION,EGEL00T00X,2061, 5.85269173405351
REGION,EGEL00T00X,2062, 6.05542640964759
REGION,EGEL00T00X,2063, 6.2649304756195177e+00
REGION,EGEL00T00X,2064, 6.4814403607057054e+00
REGION,EGEL00T00X,2065, 6.7052001587854226e+00
REGION,EGEL00T00X,2066, 6.9364619116699986e+00
REGION,EGEL00T00X,2067, 7.1754859002765610e+00
REGION,EGEL00T00X,2068, 7.4225409445439219e+00
REGION,EGEL00T00X,2069, 7.67790471245311
REGION,EGEL00T00X,2070, 7.94186403851834
REGION,EGEL00TDTX,2024, 2.8875929280741564e+00
REGION,EGEL00TDTX,2025, 5.2713139607199979e+00
REGION,EGEL00TDTX,2026, 5.3134422969939168e+00
REGION,EGEL00TDTX,2027, 5.3504667239097268e+00
REGION,EGEL00TDTX,2028, 5.3828659042380727e+00
REGION,EGEL00TDTX,2029, 5.4110739529230480e+00
REGION,EGEL00TDTX,2030, 5.4354845825548166e+00
REGION,EGEL00TDTX,2031, 2.1003028584466342e+01
REGION,EGEL00TDTX,2032, 2.1071751447497579e+01
REGION,EGEL00TDTX,2033, 2.1129608703888255e+01
REGION,EGEL00TDTX,2034, 2.1177625628104103e+01
REGION,EGEL00TDTX,2035, 2.1216732062370511e+01
REGION,EGEL00TDTX,2036, 2.1247771295982584e+01
REGION,EGEL00TDTX,2037, 2.1271508118294953e+01
REGION,EGEL00TDTX,2038, 2.1288636122288530e+01
REGION,EGEL00TDTX,2039, 2.1299784328425556e+01
REGION,EGEL00TDTX,2040, 2.1305523192188637e+01
REGION,EGEL00TDTX,2041, 2.4921051884276782e+01
REGION,EGEL00TDTX,2042, 2.4916869230894495e+01
REGION,EGEL00TDTX,2043, 2.4908011044495652e+01
REGION,EGEL00TDTX,2044, 2.4894928626112321e+01
REGION,EGEL00TDTX,2045, 2.4878031236961544e+01
