r,t,y,NewCapacity
REGION,EGCRUDPROX,2020, 100.5
REGION,EGNG00ILGX,2042, 1.0911126768296210e+03
REGION,EGNG00ILGX,2043, 9.3867069899817648e+02
REGION,EGNG00ILGX,2044, 6.8498664286659235e+01
REGION,EGNG00ILGX,2045, 6.5623909036270263e+01
REGION,EGNG00ILGX,2046, 1.2439629870152525e+02
REGION,EGNG00ILGX,2047, 1.1100432093746845e+02
REGION,EGNG00ILGX,2049, 9.9579307005121223e+00
REGION,EGNG00ILGX,2050, 7.3378784619727824e+01
REGION,EGNG00ILGX,2051, 8.3996224176530944e+01
REGION,EGNG00ILGX,2052, 8.4554432051569137e+01
REGION,EGNG00ILGX,2053, 8.7220762801571183e+01
REGION,EGNG00ILGX,2054, 9.2326490335658846e+01
REGION,EGNG00ILGX,2055, 1.4246365270869902e+02
REGION,EGNG00ILGX,2056, 1.7745246123467768e+02
REGION,EGNG00ILGX,2057, 4.3085414470501050e+01
REGION,EGNG00ILGX,2058, 4.7340592161707207e+01
REGION,EGNG00ILGX,2059, 6.1158570085160775e+01
REGION,EGNG00ILGX,2060, 6.8756015872355150e+01
REGION,EGNG00ILGX,2061, 1.0365033822226043e+02
REGION,EGNG00ILGX,2062, 1.1255550613489712e+02
REGION,EGNG00ILGX,2063, 1.1462448858061013e+02
REGION,EGNG00ILGX,2064, 1.0890277554912653e+02
REGION,EGNG00ILGX,2065, 9.0292131415173316e+01
REGION,EGNG00ILGX,2066, 8.1548061182284954e+01
REGION,EGNG00ILGX,2067, 1176.75973202278
REGION,EGNG00ILGX,2068, 1.0551327969952893e+03
REGION,EGNG00ILGX,2069, 2.1228821529689446e+02
REGION,EGNG00ILGX,2070, 1.9296746475490545e+02
REGION,EGNG00ELGX,2015, 218.557993836
REGION,EGNG00ELGX,2017, 296.614420206
REGION,EGNG00ELGX,2030, 3.2132228629539918e+02
REGION,EGBMCHP04N,2016, 0.25
REGION,EGBMCHP04N,2021, 0.1
REGION,EGBMCHP04N,2022, 0.1
REGION,EGBMCHP04N,2023, 0.1
REGION,EGCOSCP04N,2025, 3
REGION,EGCOSCP04N,2026, 3
REGION,EGCOSCP04N,2035, 1
REGION,EGCOSCP04N,2036, 1
REGION,EGCOSCP04N,2037, 1
REGION,EGCOSCP04N,2038, 1
REGION,EGCOSCP04N,2039, 1
REGION,EGCOSCP04N,2040, 1
REGION,EGCOSCP04N,2041, 1.5
REGION,EGCOSCP04N,2042, 0.5
REGION,EGCOSCP04N,2043, 0.5
REGION,EGCOSCP04N,2044, 0.5
REGION,EGCOSCP04N,2045, 0.5
REGION,EGCOSCP04N,2048, 1.5
REGION,EGCOSCP04N,2049, 0.5
REGION,EGCOSCP04N,2050, 0.5
REGION,EGCOSCP04N,2051, 0.5
REGION,EGCOSCP04N,2052, 0.5
REGION,EGCOSCP04N,2053, 0.5
REGION,EGCOSCP04N,2054, 0.5
REGION,EGCOSCP04N,2055, 1.5
REGION,EGCOSCP04N,2056, 1.5
REGION,EGCOSCP04N,2057, 1.5
REGION,EGCOSCP04N,2058, 1.5
REGION,EGCOSCP04N,2059, 1.5
REGION,EGCOSCP04N,2060, 1.5
REGION,EGCOSCP04N,2061, 0.5
