r,t,f,y,ProductionByTechnologyAnnual
REGION,EGBM00E00X,EGFWEX,2015.0,2.111
REGION,EGBM00E00X,EGFWEX,2016.0,2.134
REGION,EGBM00E00X,EGFWEX,2017.0,2.1561
REGION,EGBM00E00X,EGFWEX,2018.0,2.0764
REGION,EGBM00E00X,EGFWEX,2019.0,2.0764
REGION,EGBM00E00X,EGFWEX,2020.0,2.0764
REGION,EGBM00E00X,EGFWEX,2021.0,2.0764
REGION,EGBM00E00X,EGFWEX,2022.0,2.0764
REGION,EGBM00E00X,EGFWEX,2023.0,2.0764
REGION,EGBM00E00X,EGFWEX,2024.0,2.0764
REGION,EGBM00E00X,EGFWEX,2025.0,2.0764
REGION,EGBM00E00X,EGFWEX,2026.0,2.0764
REGION,EGBM00E00X,EGFWEX,2027.0,2.0764
REGION,EGBM00E00X,EGFWEX,2028.0,2.0764
REGION,EGBM00E00X,EGFWEX,2029.0,2.0764
REGION,EGBM00E00X,EGFWEX,2030.0,2.0764
REGION,EGBM00E00X,EGFWEX,2031.0,2.0764
REGION,EGBM00E00X,EGFWEX,2032.0,2.0764
REGION,EGBM00E00X,EGFWEX,2033.0,2.0764
REGION,EGBM00E00X,EGFWEX,2034.0,2.0764
REGION,EGBM00E00X,EGFWEX,2035.0,2.0764
REGION,EGBM00E00X,EGFWEX,2036.0,2.0764
REGION,EGBM00E00X,EGFWEX,2037.0,2.0764
REGION,EGBM00E00X,EGFWEX,2038.0,2.0764
REGION,EGBM00E00X,EGFWEX,2039.0,2.0764
REGION,EGBM00E00X,EGFWEX,2040.0,2.0764
REGION,EGBM00E00X,EGFWEX,2041.0,2.0764
REGION,EGBM00E00X,EGFWEX,2042.0,2.0764
REGION,EGBM00E00X,EGFWEX,2043.0,2.0764
REGION,EGBM00E00X,EGFWEX,2044.0,2.0764
REGION,EGBM00E00X,EGFWEX,2045.0,2.0764
REGION,EGBM00E00X,EGFWEX,2046.0,2.0764
REGION,EGBM00E00X,EGFWEX,2047.0,2.0764
REGION,EGBM00E00X,EGFWEX,2048.0,2.0764
REGION,EGBM00E00X,EGFWEX,2049.0,2.0764
REGION,EGBM00E00X,EGFWEX,2050.0,2.0764
REGION,EGBM00E00X,EGFWEX,2051.0,2.0764
REGION,EGBM00E00X,EGFWEX,2052.0,2.0764
REGION,EGBM00E00X,EGFWEX,2053.0,2.0764
REGION,EGBM00E00X,EGFWEX,2054.0,2.0764
REGION,EGBM00E00X,EGFWEX,2055.0,2.0764
REGION,EGBM00E00X,EGFWEX,2056.0,2.0764
REGION,EGBM00E00X,EGFWEX,2057.0,2.0764
REGION,EGBM00E00X,EGFWEX,2058.0,2.0764
REGION,EGBM00E00X,EGFWEX,2059.0,2.0764
REGION,EGBM00E00X,EGFWEX,2060.0,2.0764
REGION,EGBM00E00X,EGFWEX,2061.0,2.0764
REGION,EGBM00E00X,EGFWEX,2062.0,2.0764
REGION,EGBM00E00X,EGFWEX,2063.0,2.0764
REGION,EGBM00E00X,EGFWEX,2064.0,2.0764
REGION,EGBM00E00X,EGFWEX,2065.0,2.0764
REGION,EGBM00E00X,EGFWEX,2066.0,2.0764
REGION,EGBM00E00X,EGFWEX,2067.0,2.0764
REGION,EGBM00E00X,EGFWEX,2068.0,2.0764
REGION,EGBM00E00X,EGFWEX,2069.0,2.0764
REGION,EGBM00E00X,EGFWEX,2070.0,2.0764
REGION,EGBM00X00X,EGBIOM,2015.0,86.6077
REGION,EGBM00X00X,EGBIOM,2016.0,88.313
REGION,EGBM00X00X,EGBIOM,2017.0,83.9279
REGION,EGBM00X00X,EGBIOM,2018.0,79.4411
REGION,EGBM00X00X,EGBIOM,2019.0,75.0339
REGION,EGBM00X00X,EGBIOM,2020.0,70.6267
REGION,EGBM00X00X,EGBIOM,2021.0,72.1431
REGION,EGBM00X00X,EGBIOM,2022.0,73.6594
REGION,EGBM00X00X,EGBIOM,2023.0,75.1757
REGION,EGBM00X00X,EGBIOM,2024.0,74.2562
REGION,EGBM00X00X,EGBIOM,2025.0,68.7395
REGION,EGBM00X00X,EGBIOM,2026.0,67.82
REGION,EGBM00X00X,EGBIOM,2027.0,66.9005
REGION,EGBM00X00X,EGBIOM,2028.0,65.9811
REGION,EGBM00X00X,EGBIOM,2029.0,65.0616
REGION,EGBM00X00X,EGBIOM,2030.0,64.1421
REGION,EGBM00X00X,EGBIOM,2031.0,67.6298
REGION,EGBM00X00X,EGBIOM,2032.0,71.1175
REGION,EGBM00X00X,EGBIOM,2033.0,74.6052
REGION,EGBM00X00X,EGBIOM,2034.0,78.0929
REGION,EGBM00X00X,EGBIOM,2035.0,81.5806
REGION,EGBM00X00X,EGBIOM,2036.0,85.9878
REGION,EGBM00X00X,EGBIOM,2037.0,90.3949
REGION,EGBM00X00X,EGBIOM,2038.0,94.8021
REGION,EGBM00X00X,EGBIOM,2039.0,99.2092
REGION,EGBM00X00X,EGBIOM,2040.0,103.6164
REGION,EGBM00X00X,EGBIOM,2041.0,103.6164
REGION,EGBM00X00X,EGBIOM,2042.0,103.6164
REGION,EGBM00X00X,EGBIOM,2043.0,103.6164
REGION,EGBM00X00X,EGBIOM,2044.0,103.6164
REGION,EGBM00X00X,EGBIOM,2045.0,103.6164
REGION,EGBM00X00X,EGBIOM,2046.0,103.6164
REGION,EGBM00X00X,EGBIOM,2047.0,103.6164
REGION,EGBM00X00X,EGBIOM,2048.0,103.6164
REGION,EGBM00X00X,EGBIOM,2049.0,103.6164
REGION,EGBM00X00X,EGBIOM,2050.0,103.6164
REGION,EGBM00X00X,EGBIOM,2051.0,106.2607
REGION,EGBM00X00X,EGBIOM,2052.0,108.9843
REGION,EGBM00X00X,EGBIOM,2053.0,111.7896
REGION,EGBM00X00X,EGBIOM,2054.0,114.6791
REGION,EGBM00X00X,EGBIOM,2055.0,117.6553
REGION,EGBM00X00X,EGBIOM,2056.0,114.6313
REGION,EGBM00X00X,EGBIOM,2057.0,117.7887
REGION,EGBM00X00X,EGBIOM,2058.0,121.0409
REGION,EGBM00X00X,EGBIOM,2059.0,124.3906
REGION,EGBM00X00X,EGBIOM,2060.0,127.8408
REGION,EGBM00X00X,EGBIOM,2061.0,128.9587
REGION,EGBM00X00X,EGBIOM,2062.0,130.1832
REGION,EGBM00X00X,EGBIOM,2063.0,131.5176
REGION,EGBM00X00X,EGBIOM,2064.0,135.4008
REGION,EGBM00X00X,EGBIOM,2065.0,139.4006
REGION,EGBM00X00X,EGBIOM,2066.0,143.5203
REGION,EGBM00X00X,EGBIOM,2067.0,147.7636
REGION,EGBM00X00X,EGBIOM,2068.0,152.1342
REGION,EGBM00X00X,EGBIOM,2069.0,156.6359
REGION,EGBM00X00X,EGBIOM,2070.0,161.2727
REGION,EGBMCHP04N,EGEL01,2016.0,3.9593
REGION,EGBMCHP04N,EGEL01,2017.0,3.9593
REGION,EGBMCHP04N,EGEL01,2018.0,3.9593
REGION,EGBMCHP04N,EGEL01,2019.0,3.9593
REGION,EGBMCHP04N,EGEL01,2020.0,3.9593
REGION,EGBMCHP04N,EGEL01,2021.0,5.5431
REGION,EGBMCHP04N,EGEL01,2022.0,7.1268
REGION,EGBMCHP04N,EGEL01,2023.0,8.7106
REGION,EGBMCHP04N,EGEL01,2024.0,8.7106
REGION,EGBMCHP04N,EGEL01,2025.0,8.7106
REGION,EGBMCHP04N,EGEL01,2026.0,8.7106
REGION,EGBMCHP04N,EGEL01,2027.0,8.7106
REGION,EGBMCHP04N,EGEL01,2028.0,8.7106
REGION,EGBMCHP04N,EGEL01,2029.0,8.7106
REGION,EGBMCHP04N,EGEL01,2030.0,8.7106
REGION,EGBMCHP04N,EGEL01,2031.0,8.7106
REGION,EGBMCHP04N,EGEL01,2032.0,8.7106
REGION,EGBMCHP04N,EGEL01,2033.0,8.7106
REGION,EGBMCHP04N,EGEL01,2034.0,8.7106
REGION,EGBMCHP04N,EGEL01,2035.0,8.7106
REGION,EGBMCHP04N,EGEL01,2036.0,8.7106
REGION,EGBMCHP04N,EGEL01,2037.0,8.7106
REGION,EGBMCHP04N,EGEL01,2038.0,8.7106
REGION,EGBMCHP04N,EGEL01,2039.0,8.7106
REGION,EGBMCHP04N,EGEL01,2040.0,8.7106
REGION,EGBMCHP04N,EGEL01,2041.0,8.7106
REGION,EGBMCHP04N,EGEL01,2042.0,8.7106
REGION,EGBMCHP04N,EGEL01,2043.0,8.7106
REGION,EGBMCHP04N,EGEL01,2044.0,8.7106
REGION,EGBMCHP04N,EGEL01,2045.0,8.7106
REGION,EGBMCHP04N,EGEL01,2046.0,8.7106
REGION,EGBMCHP04N,EGEL01,2047.0,8.7106
REGION,EGBMCHP04N,EGEL01,2048.0,8.7106
REGION,EGBMCHP04N,EGEL01,2049.0,8.7106
REGION,EGBMCHP04N,EGEL01,2050.0,8.7106
REGION,EGBMCHP04N,EGEL01,2051.0,8.7106
REGION,EGBMCHP04N,EGEL01,2052.0,8.7106
REGION,EGBMCHP04N,EGEL01,2053.0,8.7106
REGION,EGBMCHP04N,EGEL01,2054.0,8.7106
REGION,EGBMCHP04N,EGEL01,2055.0,8.7106
REGION,EGBMCHP04N,EGEL01,2056.0,4.7512
REGION,EGBMCHP04N,EGEL01,2057.0,4.7512
REGION,EGBMCHP04N,EGEL01,2058.0,4.7512
REGION,EGBMCHP04N,EGEL01,2059.0,4.7512
REGION,EGBMCHP04N,EGEL01,2060.0,4.7512
REGION,EGBMCHP04N,EGEL01,2061.0,3.1675
REGION,EGBMCHP04N,EGEL01,2062.0,1.5837
REGION,EGBMCHP04N,EGHE2X,2016.0,7.404
REGION,EGBMCHP04N,EGHE2X,2017.0,7.404
REGION,EGBMCHP04N,EGHE2X,2018.0,7.404
REGION,EGBMCHP04N,EGHE2X,2019.0,7.404
REGION,EGBMCHP04N,EGHE2X,2020.0,7.404
REGION,EGBMCHP04N,EGHE2X,2021.0,10.3656
REGION,EGBMCHP04N,EGHE2X,2022.0,13.3272
REGION,EGBMCHP04N,EGHE2X,2023.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2024.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2025.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2026.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2027.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2028.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2029.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2030.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2031.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2032.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2033.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2034.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2035.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2036.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2037.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2038.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2039.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2040.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2041.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2042.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2043.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2044.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2045.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2046.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2047.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2048.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2049.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2050.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2051.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2052.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2053.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2054.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2055.0,16.2887
REGION,EGBMCHP04N,EGHE2X,2056.0,8.8848
REGION,EGBMCHP04N,EGHE2X,2057.0,8.8848
REGION,EGBMCHP04N,EGHE2X,2058.0,8.8848
REGION,EGBMCHP04N,EGHE2X,2059.0,8.8848
REGION,EGBMCHP04N,EGHE2X,2060.0,8.8848
REGION,EGBMCHP04N,EGHE2X,2061.0,5.9232
REGION,EGBMCHP04N,EGHE2X,2062.0,2.9616
REGION,EGBMCHP04N,EGWAT2,2016.0,144.5601
REGION,EGBMCHP04N,EGWAT2,2017.0,144.5601
REGION,EGBMCHP04N,EGWAT2,2018.0,144.5601
REGION,EGBMCHP04N,EGWAT2,2019.0,144.5601
REGION,EGBMCHP04N,EGWAT2,2020.0,144.5601
REGION,EGBMCHP04N,EGWAT2,2021.0,202.3841
REGION,EGBMCHP04N,EGWAT2,2022.0,260.2081
REGION,EGBMCHP04N,EGWAT2,2023.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2024.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2025.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2026.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2027.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2028.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2029.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2030.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2031.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2032.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2033.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2034.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2035.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2036.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2037.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2038.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2039.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2040.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2041.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2042.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2043.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2044.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2045.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2046.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2047.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2048.0,318.0322
REGION,EGBMCHP04N,EGWAT2,2049.0,318.0322
