r,l,t,m,y,RateOfActivity
REGION,S1D1,EGWA00000X,1,2015, 1.4941029002387686e+04
REGION,S1D2,EGWA00000X,1,2015, 9.4756909397120671e+03
REGION,S2D1,EGWA00000X,1,2015, 1.4941029002387686e+04
REGION,S2D2,EGWA00000X,1,2015, 1.0153890339866015e+04
REGION,S3D1,EGWA00000X,1,2015, 1.4941029002387686e+04
REGION,S3D2,EGWA00000X,1,2015, 1.0200437938614205e+04
REGION,S4D1,EGWA00000X,1,2015, 1.4941029002387686e+04
REGION,S4D2,EGWA00000X,1,2015, 9706.16814040058
REGION,S1D1,EGWA00000X,1,2016, 1.3856474770888604e+04
REGION,S1D2,EGWA00000X,1,2016, 6.9931575872617550e+03
REGION,S2D1,EGWA00000X,1,2016, 1.6683939311915423e+04
REGION,S2D2,EGWA00000X,1,2016, 1.0005338846390572e+04
REGION,S3D1,EGWA00000X,1,2016, 1.9500076283241448e+04
REGION,S3D2,EGWA00000X,1,2016, 9.4368236290263576e+03
REGION,S4D1,EGWA00000X,1,2016, 1.2676401186688385e+04
REGION,S4D2,EGWA00000X,1,2016, 8.8048419669385330e+03
REGION,S1D1,EGWA00000X,1,2017, 1.2242456595995152e+04
REGION,S1D2,EGWA00000X,1,2017, 7.6964041505511168e+03
REGION,S2D1,EGWA00000X,1,2017, 1.6975018900483508e+04
REGION,S2D2,EGWA00000X,1,2017, 9.8556535588587431e+03
REGION,S3D1,EGWA00000X,1,2017, 1.6361013494321160e+04
REGION,S3D2,EGWA00000X,1,2017, 9.6636119985448186e+03
REGION,S4D1,EGWA00000X,1,2017, 1.6980828864223688e+04
REGION,S4D2,EGWA00000X,1,2017, 9.2592507671052626e+03
REGION,S1D1,EGWA00000X,1,2018, 1.8497259921242628e+04
REGION,S1D2,EGWA00000X,1,2018, 1.2002850508117212e+04
REGION,S2D1,EGWA00000X,1,2018, 2.2109168247923968e+04
REGION,S2D2,EGWA00000X,1,2018, 9.2346629390496055e+03
REGION,S3D1,EGWA00000X,1,2018, 9.2196058559517714e+03
REGION,S3D2,EGWA00000X,1,2018, 7.6107110131732825e+03
REGION,S4D1,EGWA00000X,1,2018, 9222.38126182181
REGION,S4D2,EGWA00000X,1,2018, 7.6345513683063991e+03
REGION,S1D1,EGWA00000X,1,2019, 9234.44885995759
REGION,S1D2,EGWA00000X,1,2019, 1.0270131793952341e+04
REGION,S2D1,EGWA00000X,1,2019, 1.8385323826485263e+04
REGION,S2D2,EGWA00000X,1,2019, 9.3383230925104090e+03
REGION,S3D1,EGWA00000X,1,2019, 1.0002989734599751e+04
REGION,S3D2,EGWA00000X,1,2019, 1.3299937983722375e+04
REGION,S4D1,EGWA00000X,1,2019, 1.1684969200278947e+04
REGION,S4D2,EGWA00000X,1,2019, 9.5650756321274457e+03
REGION,S1D1,EGWA00000X,1,2020, 1.1269106092258740e+04
REGION,S1D2,EGWA00000X,1,2020, 8.1462791808136390e+03
REGION,S2D1,EGWA00000X,1,2020, 1.2498990696731618e+04
REGION,S2D2,EGWA00000X,1,2020, 9.7296673826334772e+03
REGION,S3D1,EGWA00000X,1,2020, 1.7864679813621555e+04
REGION,S3D2,EGWA00000X,1,2020, 1.0160421960813763e+04
REGION,S4D1,EGWA00000X,1,2020, 2.0904614422875631e+04
REGION,S4D2,EGWA00000X,1,2020, 1.1552446085510426e+04
REGION,S1D1,EGWA00000X,1,2021, 1.0380772178130810e+04
REGION,S1D2,EGWA00000X,1,2021, 1.2879613748889611e+04
REGION,S2D1,EGWA00000X,1,2021, 1.1023566489021701e+04
REGION,S2D2,EGWA00000X,1,2021, 1.0293543237945314e+04
REGION,S3D1,EGWA00000X,1,2021, 1.7161450349118211e+04
REGION,S3D2,EGWA00000X,1,2021, 9048.25457414326
REGION,S4D1,EGWA00000X,1,2021, 9998.03573311197
REGION,S4D2,EGWA00000X,1,2021, 8.2480758754263952e+03
REGION,S1D1,EGWA00000X,1,2022, 1.2836076943798555e+04
