,y,CO2
0,2015,211.7772
1,2016,209.0406
2,2017,207.8262
3,2018,205.124
4,2019,205.3444
5,2020,173.8216
6,2021,174.1751
7,2022,174.5287
8,2023,174.8822
9,2024,175.2357
10,2025,175.5892
11,2026,175.9427
12,2027,176.2962
13,2028,176.6498
14,2029,177.0033
15,2030,177.3568
16,2031,167.1596
17,2032,156.9625
18,2033,146.7653
19,2034,136.5682
20,2035,126.371
21,2036,116.1739
22,2037,105.9767
23,2038,95.7796
24,2039,85.5824
25,2040,75.3853
26,2041,70.7443
27,2042,66.1034
28,2043,61.4624
29,2044,56.8215
30,2045,52.1805
31,2046,47.5396
32,2047,42.8986
33,2048,38.2577
34,2049,33.6167
35,2050,28.9758
36,2051,24.9755
37,2052,21.5275
38,2053,18.5556
39,2054,15.9939
40,2055,13.7858
41,2056,11.8826
42,2057,10.2422
43,2058,8.8282
44,2059,7.6094
45,2060,6.5589
46,2061,5.6534
47,2062,4.8729
48,2063,4.2002
49,2064,3.6203
50,2065,3.1205
51,2066,2.6897
52,2067,2.3184
53,2068,1.9983
54,2069,1.7225
55,2070,1.4847
