,y,Biomass extraction/production/refining
0,2015.0,6.808
1,2016.0,6.8722
2,2017.0,6.937
3,2018.0,7.0025
4,2019.0,7.0685
5,2020.0,7.1352
6,2021.0,7.2045
7,2022.0,7.2724
8,2023.0,7.339
9,2024.0,7.4045
10,2025.0,7.4693
11,2026.0,7.5333
12,2027.0,7.5967
13,2028.0,7.6597
14,2029.0,7.722
15,2030.0,7.7838
16,2031.0,7.7635
17,2032.0,7.7424
18,2033.0,7.7208
19,2034.0,7.6988
20,2035.0,7.6765
21,2036.0,7.6541
22,2037.0,7.6315
23,2038.0,7.6088
24,2039.0,7.586
25,2040.0,7.5632
26,2041.0,7.4784
27,2042.0,7.3944
28,2043.0,7.3113
29,2044.0,7.2292
30,2045.0,7.1481
31,2046.0,7.0679
32,2047.0,6.9887
33,2048.0,6.9103
34,2049.0,6.8328
35,2050.0,6.7561
36,2051.0,6.676
37,2052.0,6.5967
38,2053.0,6.5182
39,2054.0,6.4405
40,2055.0,6.3636
41,2056.0,6.2873
42,2057.0,6.2118
43,2058.0,6.137
44,2059.0,6.0628
45,2060.0,5.9893
46,2061.0,5.9121
47,2062.0,5.8357
48,2063.0,5.7601
49,2064.0,5.6853
50,2065.0,5.6113
51,2066.0,5.5381
52,2067.0,5.4657
53,2068.0,5.3942
54,2069.0,5.3234
55,2070.0,5.2535
