,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass,Geothermal,Backstop,power_trade
0,2015.0,0.0,68.03,437.88,98.36,0.0,0.0,0.21000000000000002,13.25,16.43,0.21,0.0,10.48
1,2016.0,0.0,61.980000000000004,451.22,99.47999999999999,0.0,0.0,0.42000000000000004,15.76,20.48,0.21,0.0,10.48
2,2017.0,0.0,45.910000000000004,471.23,114.91,0.0,0.0,0.44,15.76,19.34,0.21,0.0,10.48
3,2018.0,0.0,22.750000000000004,499.09,123.91,0.0,0.0,0.77,20.020000000000003,19.34,0.21,0.0,10.48
4,2019.0,0.0,23.800000000000004,507.66,76.77000000000001,0.0,0.0,0.74,17.98,19.34,0.21,0.0,68.14999999999999
5,2020.0,0.0,19.19,521.7800000000001,79.42,0.0,0.0,1.4100000000000001,18.43,19.34,3.43,0.0,70.25
6,2021.0,0.0,53.22,428.52,79.87,0.0,11.72,4.71,21.02,23.08,7.98,0.0,108.85999999999999
7,2022.0,0.0,55.61,502.24,81.32,0.0,17.54,7.21,27.43,26.840000000000003,10.66,0.0,70.37
8,2023.0,0.0,37.129999999999995,568.3399999999999,92.86,0.0,17.54,7.21,29.89,29.0,16.03,0.0,70.22
9,2024.0,0.0,15.39,588.61,92.85,0.0,17.54,7.2,32.339999999999996,31.17,26.64,0.0,69.35000000000001
10,2025.0,66.53,14.419999999999998,527.2700000000001,93.57,0.0,17.54,7.19,35.07,29.48,35.300000000000004,0.0,69.17
11,2026.0,0.0,13.45,594.9,97.18,0.0,17.54,7.2,39.12,31.65,38.629999999999995,0.0,70.4
12,2027.0,0.0,12.48,596.9499999999999,103.43,0.0,17.54,7.21,42.14,33.809999999999995,42.0,0.0,70.4
13,2028.0,0.0,11.52,599.89,110.77,0.0,17.54,8.86,44.839999999999996,35.970000000000006,42.72,0.0,70.4
14,2029.0,0.0,10.56,595.57,126.08000000000001,0.0,17.54,10.52,47.54,38.15,43.5,0.0,70.4
15,2030.0,0.0,9.61,568.49,162.35999999999999,0.0,17.54,14.46,50.239999999999995,40.31,44.32,0.0,70.4
16,2031.0,0.0,8.649999999999999,560.0600000000001,183.25,0.0,17.54,29.400000000000002,56.089999999999996,39.53,45.22,0.0,70.4
17,2032.0,0.0,7.67,559.93,196.44,0.0,17.54,44.68,61.92,38.76,46.14,0.0,70.4
18,2033.0,0.0,6.709999999999999,566.75,206.22999999999996,0.0,17.54,57.650000000000006,67.76,38.0,47.11000000000001,0.0,70.4
19,2034.0,1.84,5.77,572.2900000000001,216.01999999999998,0.0,17.54,71.14,73.59,37.230000000000004,48.129999999999995,0.0,70.4
20,2035.0,7.45,4.81,570.13,232.69,0.0,17.54,75.27000000000001,79.43,36.46,49.22,0.0,70.4
21,2036.0,37.9,3.8600000000000003,550.23,244.08999999999997,0.0,17.54,86.39,85.27,36.46,49.42,0.0,70.4
22,2037.0,84.36,2.8699999999999997,513.86,256.18,0.0,17.54,99.18,91.11,36.46,49.41,0.0,70.4
23,2038.0,124.26,1.9300000000000002,475.61999999999995,268.98,8.1,17.54,112.51,96.94999999999999,36.46,49.4,0.0,70.4
24,2039.0,162.7,0.9500000000000001,433.39,282.57,21.5,17.54,126.41,102.78,36.46,49.38,0.0,70.39999999999998
25,2040.0,158.94,0.12,438.67,294.2,34.9,17.54,140.9,104.05,36.46,49.37,0.0,70.39999999999998
26,2041.0,162.47,0.22,432.02,315.16999999999996,48.25,17.54,159.54000000000002,110.95,39.39,49.36,0.0,70.4
27,2042.0,158.94,0.32,441.62,325.58000000000004,61.65,17.54,179.38,120.35,42.32,49.35,0.0,70.40000000000002
28,2043.0,161.81,0.3,447.1700000000001,335.13,67.01,17.54,203.87,135.11,43.79,49.339999999999996,0.0,70.4
29,2044.0,163.76,0.29,447.40999999999997,335.1,67.01,17.54,246.51000000000002,154.15,43.79,49.33,0.0,70.4
30,2045.0,175.32999999999998,0.28,447.55,338.0,67.01,17.54,283.53000000000003,173.19,43.79,46.1,0.0,70.39999999999998
31,2046.0,186.24,0.26,461.46000000000004,335.78,67.01,5.82,324.87,189.08,43.79,47.839999999999996,0.0,70.39999999999999
32,2047.0,185.77,0.25,484.38,333.0,67.01,0.0,367.42,201.77,43.79,51.86,0.0,70.4
33,2048.0,231.22,0.24,423.34,333.03999999999996,67.01,19.47,422.27,217.66,43.79,53.2,0.0,70.4
34,2049.0,231.94,0.24000000000000002,425.48,334.63,67.01,32.08,469.99000000000007,233.56,43.79,53.2,0.0,70.39999999999999
35,2050.0,238.11,0.24,418.40000000000003,335.69,67.01,51.55,518.18,249.46,43.79,54.54,0.0,70.39999999999999
36,2051.0,261.74,0.24000000000000002,400.65999999999997,332.8,80.22,51.55,546.82,265.35,46.72,54.54,0.0,70.40000000000003
37,2052.0,263.57,0.23,398.23999999999995,328.66999999999996,89.27,51.55,588.8,281.25,49.66,54.54,0.0,70.4
38,2053.0,264.02000000000004,0.22,400.13,326.40999999999997,93.82,56.7,629.57,297.14,51.12,54.54,0.0,70.4
39,2054.0,263.61,0.21000000000000002,402.68,318.48,93.82,69.41,674.8000000000001,313.05,51.12,56.28,0.0,70.4
40,2055.0,250.99,0.17,427.02,310.6,93.82,69.41,720.7900000000001,328.95,51.12,62.98,0.0,70.4
41,2056.0,237.15,0.16,467.57000000000005,314.26,93.82,69.41,764.0300000000001,341.7,47.16,59.14,0.0,70.4
42,2057.0,232.39,0.15,484.94,302.55,93.82,73.97,814.4399999999999,354.47,47.16,65.25,0.0,70.4
43,2058.0,227.86,0.14,497.43,302.28,93.82,84.97,863.11,367.22,47.16,66.8,0.0,70.4
44,2059.0,223.57,0.13,509.82000000000005,291.59000000000003,93.82,96.37,918.53,379.99,47.16,73.55,0.0,70.39999999999998
45,2060.0,220.38,0.07,509.16999999999996,300.48,93.82,123.47,969.47,392.74,47.16,72.62,0.0,70.39999999999999
46,2061.0,217.97,0.13,509.44000000000005,305.01,93.82,143.12,1010.86,411.86,45.57,65.72,0.0,62.890000000000015
47,2062.0,215.55,0.13,507.8,290.37,93.82,163.99,1053.47,430.96,43.99,76.48,0.0,66.01000000000002
48,2063.0,212.83,0.13,506.69,284.73,93.82,185.5,1094.65,450.07,43.99,86.85,0.0,63.579999999999984
49,2064.0,209.87,0.15,509.3399999999999,276.45,93.82,208.43,1131.8999999999999,469.17,43.99,95.61999999999999,0.0,64.41000000000003
50,2065.0,216.85,0.1,505.4,296.89,93.82,232.74,1159.46,488.28,43.99,80.16,0.0,70.39999999999999
