,y,CSP (with storage),CSP (without storage),Solar FPV,Solar PV (roof top),Solar PV (utility),Solar PV with storage
0,2015.0,0.0,0.0,0.0,0.0121,0.019334999999999998,0.0
1,2016.0,0.0,0.0,0.0,0.015099999999999999,0.049335000000000004,0.0
2,2017.0,0.0,0.0,0.0,0.0171,0.049335000000000004,0.0
3,2018.0,0.0,0.0,0.0,0.0171,0.099335,0.0
4,2019.0,0.0,0.0,0.0,0.0171,0.099335,0.0
5,2020.0,0.0,0.0,0.0,0.016695,0.19887699999999997,0.0
6,2021.0,0.4,0.4,0.0,0.11629,0.44841024999999995,0.10000000000000003
7,2022.0,0.4,0.4,0.0,0.16588500000000003,0.6979434999999999,0.15000000000000002
8,2023.0,0.4,0.4,0.0,0.16548000000000002,0.69747675,0.15000000000000002
9,2024.0,0.4,0.4,0.0,0.16507500000000003,0.69701,0.15000000000000002
10,2025.0,0.4,0.4,0.0,0.16467000000000004,0.69654325,0.15000000000000002
11,2026.0,0.4,0.4,0.0,0.16426500000000002,0.6960765,0.15000000000000002
12,2027.0,0.4,0.4,0.0,0.16386000000000003,0.6956097499999999,0.15000000000000002
13,2028.0,0.4,0.4,0.0,0.16345500000000002,0.945143,0.15000000000000002
14,2029.0,0.4,0.4,0.0,0.16305000000000003,1.19467625,0.15000000000000002
15,2030.0,0.4,0.4,0.0,0.162645,1.4442095,0.4
16,2031.0,0.4,0.4,0.0,0.7171886347327534,1.94374275,1.0709323700171116
17,2032.0,0.4,0.4,0.0,1.489041758991579,2.443276,1.900000000000004
18,2033.0,0.4,0.4,0.0,2.47888953801562,2.94280925,2.4500000000000046
19,2034.0,0.4,0.4,0.3,3.6294445157820787,3.4423425,3.0000000000000058
20,2035.0,0.4,0.4,0.6,4.326814063856452,3.94187575,3.050000000000007
21,2036.0,0.4,0.4,1.45,5.2730767454379865,4.441409,3.600000000000008
22,2037.0,0.4,0.4,1.75,7.119745431060254,4.94094225,4.150000000000009
23,2038.0,0.4,0.4,2.05,9.450696654729965,5.4404755,4.700000000000011
24,2039.0,0.4,0.4,2.3499999999999996,11.156887293344818,5.94000875,5.250000000000012
25,2040.0,0.4,0.4,2.6499999999999995,13.316658713629405,6.43000875,5.799999999999999
26,2041.0,0.4,0.4,2.6499999999999995,16.260103369871285,7.15000875,6.350000000000016
27,2042.0,0.4,0.4,2.6499999999999995,20.482330451381436,7.90000875,6.9000000000000155
28,2043.0,0.4,0.4,2.6499999999999995,25.304603932562653,8.60000875,7.4500000000000135
29,2044.0,0.4,0.4,2.6499999999999995,30.31647900080825,9.35000875,8.000000000000018
30,2045.0,0.4,0.4,2.6499999999999995,34.76333747405718,10.0,8.550000000000017
31,2046.0,0.0,0.0,2.6499999999999995,38.93021219376473,10.5,9.216840605361723
32,2047.0,0.0,0.0,2.6499999999999995,43.22015210654334,11.0,10.266840605361724
33,2048.0,0.0,1.5,2.658067352473049,48.98156558563208,11.75,11.316840605361726
34,2049.0,0.0,2.5551853823937174,2.658067352473049,54.088927455088296,12.5,12.36684060536173
35,2050.0,0.0,4.055185382393717,2.658067352473049,57.54913489582796,13.25,13.166840605361735
36,2051.0,0.0,4.055185382393717,4.581925185498762,61.815703727986616,14.0,13.541221097745808
37,2052.0,0.0,4.055185382393717,4.727233926790669,66.15904070985702,14.75,13.952893577582445
38,2053.0,0.0,4.055185382393717,4.985287625936083,70.20318101748518,15.25,14.119307462117348
39,2054.0,0.0,5.346227481675025,5.643283850481689,74.56219309929452,15.75,14.790214647873178
40,2055.0,0.0,5.429330295739665,5.643283850481689,80.07364134104353,16.25,15.983007180896697
41,2056.0,0.0,5.429330295739665,5.942000000000059,85.48448379597185,16.5,16.596506669572527
42,2057.0,0.0,5.679339448376886,6.798453419776863,90.00590075235536,16.75,17.21243891193791
43,2058.0,0.0,6.639163396111831,7.292261780206613,94.05538053271027,17.0,17.830892841970243
44,2059.0,0.0,7.748103331033378,8.217796016264895,98.8467944967695,19.024025722401717,18.380892841970244
45,2060.0,1.25017154943926,8.20000000000008,9.330962830908172,103.20021521718803,20.85877305242834,18.930892841970245
46,2061.0,2.32092547354542,8.400000000000084,9.986474286853399,106.62705274624507,22.518954753410462,19.48089284197025
47,2062.0,3.4118820886206036,8.600000000000001,11.348146030551392,108.76495567233557,24.34189743988601,20.030892841970246
48,2063.0,4.5620168155742995,8.8,12.348146030551398,110.3092176822267,26.309100961515504,20.580892841970247
49,2064.0,5.801302740119589,9.0,13.450686405556878,111.70454650625553,28.6967317180275,21.130892841970248
50,2065.0,7.130696162541059,9.2,14.52327053547058,113.67249420144316,30.54995747878506,21.680892841970245
51,2066.0,8.907490837839392,9.399999999999999,16.04400000000012,115.92821603009959,33.79995747878506,22.114052236608543
52,2067.0,9.600000000000117,9.600000000000074,16.33368396256563,118.06885641468455,40.04995747878506,22.16405223660854
53,2068.0,9.800000000000122,9.8,17.37500000000012,118.74622790158799,46.29995747878506,22.214052236608538
54,2069.0,10.00000000000012,10.0000000000001,18.27000000000012,120.08609062451256,52.54995747878506,22.264052236608542
55,2070.0,10.200000000000134,10.200000000000072,19.270000000001644,123.21712834040895,56.55952669414681,22.314052236608546
