,y,Egypt - Turkey Historic and Planned NG trade link,Israel - Egypt Planned NG trade link,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
0,2015.0,-390.1669,0.0,-725.4044,0.0,2624.7806
1,2016.0,-390.1669,0.0,-711.0205,0.0,2645.1194
2,2017.0,-390.1669,0.0,-711.0205,0.0,2692.6281
3,2018.0,-390.1669,0.0,-711.0205,0.0,2716.8675
4,2019.0,-780.3338,0.0,-711.0205,0.0,3155.8996
5,2020.0,-780.3338,0.0,-200.5807,0.0,2577.1657
6,2021.0,-780.3338,0.0,-244.7884,0.0,2596.082
7,2022.0,-780.3338,0.0,-220.6611,0.0,2614.9967
8,2023.0,-780.3338,0.0,-212.9685,0.0,2633.9097
9,2024.0,-780.3338,0.0,-224.2425,0.0,2652.8211
10,2025.0,-780.3338,0.0,-97.8447,0.0,2365.2449
11,2026.0,-780.3338,0.0,-239.6182,0.0,2690.639
12,2027.0,-780.3338,0.0,-262.1506,0.0,2710.1216
13,2028.0,-780.3338,0.0,-295.3185,0.0,2731.4131
14,2029.0,-780.3338,0.0,-318.0181,0.0,2752.703
15,2030.0,-780.3338,0.0,-379.7162,0.0,2773.9913
16,2031.0,-780.3338,0.0,-313.099,0.0,2683.518
17,2032.0,-780.3338,0.0,-242.9008,0.0,2581.7783
18,2033.0,-780.3338,0.0,-168.6251,0.0,2479.7331
19,2034.0,-780.3338,0.0,-99.8546,0.0,2368.9512
20,2035.0,-780.3338,0.0,-30.76,0.0,2238.1347
21,2036.0,-780.3338,0.0,-0.0,0.0,2124.2187
22,2037.0,-780.3338,0.0,-0.0,0.0,2031.1752
23,2038.0,-780.3338,0.0,-0.0,0.0,1936.85
24,2039.0,-780.3338,0.0,-0.0,0.0,1836.1614
25,2040.0,-780.3338,0.0,-0.0,0.0,1817.8131
26,2041.0,-780.3338,0.0,-0.0,0.0,1804.3385
27,2042.0,-780.3338,0.0,-0.0,0.0,1786.231
28,2043.0,-780.3338,0.0,-0.0,0.0,1780.9835
29,2044.0,-780.3338,0.0,-0.0,0.0,1780.5493
30,2045.0,-780.3338,0.0,-0.0,0.0,1778.1347
31,2046.0,-780.3338,0.0,-0.0,0.0,1806.3981
32,2047.0,-780.3338,0.0,-0.0,0.0,1811.2126
33,2048.0,-780.3338,0.0,-0.0,0.0,1728.2688
34,2049.0,0.0,0.0,-0.0,0.0,927.2983
35,2050.0,0.0,0.0,-0.0,0.0,899.7209
36,2051.0,0.0,227.2817,-0.0,0.0,652.9629
37,2052.0,0.0,227.2817,-0.0,0.0,630.1542
38,2053.0,0.0,227.2817,-0.0,0.0,606.215
39,2054.0,0.0,227.2817,-0.0,0.0,584.5531
40,2055.0,0.0,227.2817,-0.0,576.9519,31.6128
41,2056.0,0.0,227.2817,-0.0,638.8551,7.448
42,2057.0,0.0,227.2817,-0.0,654.5482,0.0
43,2058.0,0.0,227.2817,-0.0,654.4215,0.0
44,2059.0,0.0,227.2817,-0.0,653.1603,0.6218
45,2060.0,0.0,227.2817,-0.0,639.0385,0.0494
46,2061.0,0.0,227.2817,-0.0,622.9801,0.0
47,2062.0,0.0,227.2817,-0.0,609.2941,0.0
48,2063.0,0.0,227.2817,-0.0,597.6947,0.0
49,2064.0,0.0,227.2817,-0.0,587.8938,0.0
50,2065.0,0.0,227.2817,-0.0,579.3266,0.0
51,2066.0,0.0,227.2817,-0.0,572.6976,0.0
52,2067.0,0.0,227.2817,-0.0,562.6851,0.0
53,2068.0,0.0,227.2817,-0.0,548.4728,0.0
54,2069.0,0.0,227.2817,-0.0,534.7973,0.0
55,2070.0,0.0,227.2817,-0.0,565.072,0.0
