,y,Egypt - Sudan Historic and Planned EL trade link
0,2015.0,3.1846
1,2016.0,0.0
2,2017.0,9.2265
3,2018.0,6.6081
4,2019.0,-2.3356
5,2020.0,1.229
6,2021.0,59.7605
7,2022.0,57.5185
8,2023.0,35.9708
9,2024.0,27.3524
10,2025.0,39.6791
11,2026.0,8.2552
12,2027.0,7.0293
13,2028.0,10.3369
14,2029.0,6.4952
15,2030.0,29.2608
16,2031.0,23.3537
17,2032.0,22.7654
18,2033.0,22.6172
19,2034.0,27.3209
20,2035.0,39.0921
21,2036.0,66.4432
22,2037.0,111.0708
23,2038.0,144.1635
24,2039.0,179.2217
25,2040.0,179.7042
26,2041.0,179.7552
27,2042.0,179.5452
28,2043.0,179.7552
29,2044.0,179.591
30,2045.0,179.7535
31,2046.0,178.8479
32,2047.0,178.7598
33,2048.0,179.7552
34,2049.0,179.7552
35,2050.0,179.7552
36,2051.0,170.5152
37,2052.0,169.4691
38,2053.0,176.482
39,2054.0,176.0321
40,2055.0,176.5278
41,2056.0,175.2543
42,2057.0,174.655
43,2058.0,172.3248
44,2059.0,171.0502
45,2060.0,169.1555
46,2061.0,167.9729
47,2062.0,166.6532
48,2063.0,165.437
49,2064.0,164.0418
50,2065.0,162.6074
51,2066.0,157.9696
52,2067.0,157.3716
53,2068.0,156.2066
54,2069.0,155.1603
55,2070.0,157.1779
