,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Wind,Biomass,Geothermal,power_trade
0,2015.0,0.0,1.31,0.0,31.93,0.07,0.0,3.33,2.82,0.21,2.4
1,2016.0,0.0,2.09,0.0,31.93,0.08,0.0,3.33,2.82,0.21,3.51
2,2017.0,0.0,0.76,0.0,54.52,0.09,0.0,3.33,0.27,0.21,-5.99
3,2018.0,0.0,0.82,0.0,59.13,0.09,0.0,3.33,1.14,0.21,-3.15
4,2019.0,0.0,6.71,0.0,59.94,0.09,0.0,3.33,2.82,0.21,5.99
5,2020.0,0.0,0.81,68.24,59.94,0.09,0.0,3.33,2.82,3.43,2.67
6,2021.0,0.0,0.84,69.66,59.94,0.08,0.0,3.24,2.68,7.98,1.44
7,2022.0,0.0,1.49,71.91,59.94,0.08,0.0,3.15,2.54,10.66,0.99
8,2023.0,0.0,0.58,16.32,123.74,0.08,0.0,3.06,2.4,16.03,-5.99
9,2024.0,0.0,0.55,9.04,123.74,0.07,0.0,2.97,2.26,22.73,0.0
10,2025.0,0.0,0.51,4.76,134.2,0.07,0.0,2.89,0.57,28.09,-3.74
11,2026.0,0.0,0.48,7.67,135.12,0.07,0.0,2.8,1.27,28.08,-2.15
12,2027.0,0.0,0.44,5.35,146.51,0.07,0.0,2.71,0.45,28.07,-3.74
13,2028.0,0.0,0.41,8.08,148.81,0.06,0.0,2.62,0.99,29.45,-3.74
14,2029.0,0.0,0.38,9.09,148.81,0.06,0.0,2.53,0.85,35.94,-3.74
15,2030.0,0.0,0.34,10.21,148.81,0.06,0.0,2.44,0.7,42.63,-3.64
16,2031.0,0.0,0.31,8.9,148.81,0.72,0.0,2.36,0.56,49.32,-1.5
17,2032.0,0.0,0.27,9.91,148.81,1.67,0.0,2.27,0.42,56.02,-1.5
18,2033.0,0.0,0.24,10.92,148.81,3.07,0.0,2.18,0.28,62.71,-1.5
19,2034.0,0.0,0.2,11.92,148.81,4.95,0.0,2.09,0.14,69.4,-1.5
20,2035.0,0.0,0.17,14.02,148.81,9.15,0.0,2.0,0.0,76.09,-2.64
21,2036.0,0.0,0.14,17.32,148.81,12.29,0.0,1.91,0.0,82.78,-4.87
22,2037.0,0.0,0.1,16.8,148.81,19.44,0.0,1.83,0.0,86.03,-3.99
23,2038.0,0.0,0.08,15.31,148.81,29.11,0.0,1.74,0.0,87.39,-2.51
24,2039.0,0.0,0.1,15.78,148.81,34.13,0.0,1.65,0.0,94.07,-2.02
25,2040.0,0.0,0.12,17.36,148.81,41.4,0.0,0.0,0.0,100.76,-2.87
26,2041.0,0.0,0.22,17.76,148.81,50.83,0.0,0.0,0.0,107.05,-2.71
27,2042.0,0.0,0.32,17.16,148.81,67.45,0.0,0.0,0.0,107.04,-2.35
28,2043.0,0.0,0.3,16.01,147.87,86.82,0.0,0.0,0.0,107.22,-2.35
29,2044.0,0.0,0.29,13.96,145.32,106.18,0.0,0.0,0.0,111.36,-2.2
30,2045.0,0.0,0.28,14.13,143.67,125.55,0.0,0.0,0.0,114.83,-2.83
31,2046.0,0.0,0.26,12.84,144.62,146.03,0.0,0.0,0.0,116.98,-2.74
32,2047.0,0.0,0.25,12.12,140.47,170.21,0.0,0.0,0.0,121.0,-2.41
33,2048.0,0.0,0.24,13.06,138.91,194.37,0.0,0.0,0.0,122.34,-1.59
34,2049.0,5.8,0.23,12.47,138.46,218.55,0.0,0.0,0.0,122.34,-2.52
35,2050.0,12.44,0.22,0.12,150.78,242.71,0.0,0.0,0.0,123.68,-4.76
36,2051.0,12.04,0.2,0.12,146.13,264.52,0.0,0.0,0.0,123.68,-4.76
37,2052.0,11.91,0.19,0.12,142.87,285.2,0.0,0.0,0.0,123.68,-4.55
38,2053.0,11.57,0.18,0.0,150.48,298.88,0.0,0.0,0.0,122.28,-4.67
39,2054.0,11.83,0.17,0.0,150.25,321.17,0.0,0.0,0.0,118.14,-4.07
40,2055.0,12.28,0.2,0.0,149.52,341.13,0.0,0.0,0.0,118.14,-3.73
41,2056.0,13.14,0.2,0.12,148.33,362.14,0.0,0.0,0.0,118.14,-3.73
42,2057.0,13.8,0.19,0.12,147.54,379.16,5.4,0.0,0.0,118.14,-3.73
43,2058.0,14.16,0.24,0.0,156.92,393.64,5.4,0.0,0.0,118.14,-4.01
44,2059.0,14.62,0.17,0.03,155.69,412.8,10.8,0.0,0.0,118.14,-3.73
45,2060.0,15.42,0.1,0.0,157.11,429.69,17.27,0.0,0.0,118.14,-3.79
46,2061.0,15.74,0.14,0.0,155.45,444.44,21.06,0.0,0.0,118.14,-3.73
47,2062.0,15.83,0.15,0.0,155.3,451.98,28.81,0.17,0.0,121.58,-3.73
48,2063.0,16.07,0.16,0.0,155.61,456.78,34.86,4.18,0.0,125.89,-3.73
49,2064.0,16.87,0.17,0.0,155.76,461.59,40.85,11.88,0.0,126.66,-3.73
50,2065.0,17.33,0.18,0.0,160.38,466.39,46.09,17.24,0.0,126.92,-3.73
51,2066.0,17.98,0.1,0.0,168.45,470.07,48.48,22.94,0.0,127.33,-3.17
52,2067.0,17.26,0.11,0.0,179.13,480.67,41.21,24.77,0.0,134.03,-2.62
53,2068.0,17.69,0.11,0.0,187.57,496.95,47.77,16.58,0.0,134.03,-3.17
54,2069.0,18.95,0.1,0.0,188.79,515.82,50.18,20.23,0.0,134.03,-3.73
55,2070.0,18.81,0.1,0.0,197.78,520.85,61.22,16.12,0.0,134.03,-3.82
