,y,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Solar FPV
0,2015.0,0.0591,0.0065,0.0,0.0
1,2016.0,0.0591,0.0194,0.0,0.0
2,2017.0,0.0591,0.0258,0.0,0.0
3,2018.0,0.0591,0.0258,0.0,0.0
4,2019.0,0.0591,0.0258,0.0,0.0
5,2020.0,0.0562,0.0258,0.0,0.0
6,2021.0,0.0532,0.0258,0.0,0.0
7,2022.0,0.0503,0.0258,0.0,0.0
8,2023.0,0.0473,0.0258,0.0,0.0
9,2024.0,0.0443,0.0258,0.0,0.0
10,2025.0,0.0414,0.0258,0.0,0.0
11,2026.0,0.0384,0.0258,0.0,0.0
12,2027.0,0.0355,0.0258,0.0,0.0
13,2028.0,0.0325,0.0258,0.0,0.0
14,2029.0,0.0296,0.0258,0.0,0.0
15,2030.0,0.0266,0.0258,0.0,0.0
16,2031.0,0.0237,0.7032,0.0,0.0
17,2032.0,0.0207,1.6475,0.0,0.0
18,2033.0,0.0177,3.0508,0.0,0.0
19,2034.0,0.0148,4.9412,0.0,0.0
20,2035.0,0.0118,9.1418,0.0,0.0
21,2036.0,0.0089,12.2802,0.0,0.0
22,2037.0,0.0059,19.4323,0.0,0.0
23,2038.0,0.003,29.1146,0.0,0.0
24,2039.0,0.0,34.1296,0.0,0.0
25,2040.0,0.0,41.3968,0.0,0.0
26,2041.0,0.0,50.826,0.0,0.0
27,2042.0,0.0,67.4539,0.0,0.0
28,2043.0,0.0,86.8184,0.0,0.0
29,2044.0,0.0,106.1829,0.0,0.0
30,2045.0,0.0,125.5474,0.0,0.0
31,2046.0,0.0,144.9119,1.1227,0.0
32,2047.0,0.0,164.2764,5.9269,0.0
33,2048.0,0.0,183.6409,10.7311,0.0
34,2049.0,0.0,203.0054,15.5353,0.0
35,2050.0,0.0,222.3699,20.3395,0.0
36,2051.0,0.0,241.057,23.4563,0.0
37,2052.0,0.0,259.4772,25.7224,0.0
38,2053.0,0.0,273.1643,25.7224,0.0
39,2054.0,0.0,290.6385,30.5266,0.0
40,2055.0,0.0,305.7959,35.3308,0.0
41,2056.0,0.0,322.009,40.135,0.0
42,2057.0,0.0,334.215,44.9393,5.4042
43,2058.0,0.0,343.8972,49.7435,5.4042
44,2059.0,0.0,358.2467,54.5477,10.8002
45,2060.0,0.0,370.344,59.3519,17.2652
46,2061.0,0.0,380.2793,64.1561,21.056
47,2062.0,0.0,383.0159,68.9603,28.798000000000002
48,2063.0,0.0,383.0159,73.7646,34.8517
49,2064.0,0.0,383.0159,78.5688,40.857800000000005
50,2065.0,0.0,383.0159,83.373,46.090799999999994
51,2066.0,0.0,383.0159,87.0546,48.470000000000006
52,2067.0,10.5984,383.0159,87.0546,41.2199
53,2068.0,26.8771,383.0159,87.0546,47.7578
54,2069.0,45.7502,383.0159,87.0546,50.17280000000001
55,2070.0,50.7817,383.0159,87.0546,61.2002
