,y,CO2
0,2015,14.901
1,2016,16.8646
2,2017,15.8702
3,2018,15.4666
4,2019,15.0665
5,2020,14.6664
6,2021,25.0336
7,2022,25.6022
8,2023,20.5466
9,2024,18.339
10,2025,56.3764
11,2026,54.2192
12,2027,54.5644
13,2028,54.9217
14,2029,17.7565
15,2030,17.9566
16,2031,17.238
17,2032,16.8463
18,2033,16.427
19,2034,16.4291
20,2035,15.6953
21,2036,19.8807
22,2037,30.1692
23,2038,38.032
24,2039,46.1495
25,2040,45.5845
26,2041,44.6626
27,2042,43.8332
28,2043,43.0341
29,2044,42.2861
30,2045,42.704
31,2046,44.5915
32,2047,46.2908
33,2048,47.5506
34,2049,48.6308
35,2050,52.0333
36,2051,50.6201
37,2052,51.5439
38,2053,52.3631
39,2054,52.3314
40,2055,50.7784
41,2056,50.086
42,2057,50.3628
43,2058,50.107
44,2059,48.9079
45,2060,48.0988
46,2061,47.3703
47,2062,46.6706
48,2063,46.1185
49,2064,45.7411
50,2065,45.3679
51,2066,42.1421
52,2067,40.3124
53,2068,40.2029
54,2069,39.4469
55,2070,37.4849
