,y,Coal imports (inland transport-maritime freight)
0,2036.0,41.7661
1,2037.0,160.4268
2,2038.0,253.5918
3,2039.0,349.4154
4,2040.0,349.4154
5,2041.0,349.4154
6,2042.0,349.4154
7,2043.0,349.4154
8,2044.0,349.4154
9,2045.0,362.5009
10,2046.0,390.3024
11,2047.0,417.3834
12,2048.0,445.5049
13,2049.0,465.0642
14,2050.0,502.8963
15,2051.0,506.6043
16,2052.0,520.9078
17,2053.0,525.0265
18,2054.0,524.7504
19,2055.0,510.6052
20,2056.0,505.0158
21,2057.0,507.3996
22,2058.0,506.2504
23,2059.0,495.1721
24,2060.0,487.8934
25,2061.0,481.5912
26,2062.0,475.3885
27,2063.0,470.6253
28,2064.0,467.7001
29,2065.0,464.6926
30,2066.0,430.2461
31,2067.0,412.0029
32,2068.0,412.1045
33,2069.0,405.0831
34,2070.0,386.4738
