,y,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
0,2021.0,-0.0,0.0,49.6802
1,2022.0,-0.0,0.0,49.5949
2,2023.0,-0.0,0.0,49.5098
3,2024.0,-0.0,0.0,49.425
4,2025.0,-637.3762,0.0,799.1949
5,2026.0,-637.3762,0.0,749.8543
6,2027.0,-637.3762,0.0,749.8543
7,2028.0,-637.3762,0.0,749.8543
8,2029.0,-0.0,0.0,3.6387
9,2034.0,-0.0,8.575,0.0
10,2035.0,-0.0,26.5192,0.0
11,2036.0,-0.0,45.785,0.0
12,2037.0,-0.0,48.3487,0.0
13,2038.0,-0.0,48.2679,0.0
14,2039.0,-0.0,48.1873,0.0
15,2040.0,-0.0,47.3965,0.0
16,2041.0,-0.0,46.5547,0.0
17,2042.0,-0.0,46.2173,0.0
18,2043.0,-0.0,45.2744,0.0
19,2044.0,-0.0,44.2203,0.0
20,2045.0,-0.0,41.8211,0.0
21,2046.0,-0.0,41.2228,0.0
22,2047.0,-0.0,37.3574,0.0
23,2048.0,-0.0,22.3384,0.0
24,2049.0,-0.0,18.0866,0.0
25,2050.0,-0.0,26.1462,0.0
26,2053.0,-0.0,15.2687,0.0
27,2054.0,-0.0,21.2392,0.0
28,2055.0,-0.0,21.5527,0.0
29,2056.0,-0.0,23.1282,0.0
30,2057.0,-0.0,29.1268,0.0
31,2058.0,-0.0,30.6246,0.0
32,2059.0,-0.0,30.8907,0.0
33,2060.0,-0.0,31.749,0.0
34,2061.0,-0.0,32.1688,0.0
35,2062.0,-0.0,32.707,0.0
36,2063.0,-0.0,33.3351,0.0
37,2064.0,-0.0,33.9033,0.0
38,2065.0,-0.0,34.4871,0.0
39,2066.0,-0.0,34.6565,0.0
40,2067.0,-0.0,33.3245,0.0
41,2068.0,-0.0,33.033,0.0
42,2069.0,-0.0,32.5349,0.0
43,2070.0,-0.0,28.8171,0.0
