,y,Coal,Oil,Gas,Hydro,Solar PV,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2015.0,0.0,7.0,0.0,3587.89,0.0,0.0,1.08,12.38,9.31,0.0
1,2016.0,0.0,7.28,0.0,3587.89,0.0,0.0,1.08,0.0,10.47,0.0
2,2017.0,0.0,7.0,0.0,3834.24,0.0,0.0,1.08,12.63,10.1,0.0
3,2018.0,0.0,7.0,0.0,3834.24,0.0,0.0,1.08,24.47,9.91,0.0
4,2019.0,0.0,7.0,0.0,3834.24,0.0,0.0,1.08,19.57,9.65,0.0
5,2020.0,0.0,7.0,0.0,3834.24,0.0,0.0,1.08,0.0,9.38,0.0
6,2021.0,0.0,28.94,6.37,3834.24,0.0,0.0,1.03,0.0,9.7,0.03
7,2022.0,0.0,29.96,6.37,3834.24,0.0,0.0,0.97,0.0,10.42,0.03
8,2023.0,0.0,10.58,6.37,3834.24,0.0,0.0,0.92,0.0,10.07,0.03
9,2024.0,0.0,5.6,6.37,4847.03,0.0,0.03,0.86,0.0,10.31,0.03
10,2025.0,0.0,5.24,6.37,6013.26,0.0,0.06,0.54,0.0,10.56,0.42
11,2026.0,0.0,4.89,0.0,6013.26,0.0,0.09,0.49,0.0,10.81,0.4
12,2027.0,0.0,4.54,0.0,6013.26,0.0,0.13,0.43,0.0,11.08,0.4
13,2028.0,0.0,4.2,0.0,6891.01,0.0,0.13,0.38,0.0,11.35,0.4
14,2029.0,0.0,3.85,0.47,6891.01,0.0,0.13,0.32,0.0,11.64,0.0
15,2030.0,0.0,3.49,0.0,9728.28,0.01,0.13,0.27,0.0,11.93,0.0
16,2031.0,0.0,3.14,0.0,9728.28,0.04,0.13,0.22,0.0,1.07,0.0
17,2032.0,0.0,2.79,0.0,9728.28,0.09,0.13,0.16,0.0,0.72,0.0
18,2033.0,0.0,2.46,0.0,9728.28,0.15,0.13,0.11,0.0,0.36,0.0
19,2034.0,0.0,2.1,1.12,9728.28,0.21,0.13,0.05,0.0,0.0,0.0
20,2035.0,0.0,1.75,3.48,9728.28,0.21,0.13,0.0,0.0,0.0,0.0
21,2036.0,1.95,1.4,6.03,9728.28,0.26,0.13,0.0,0.0,0.0,0.0
22,2037.0,7.47,1.05,6.37,9728.28,0.31,0.13,0.0,0.0,0.0,0.0
23,2038.0,11.81,0.7,6.37,9728.28,0.37,0.13,0.0,0.0,0.0,0.0
24,2039.0,16.28,0.35,6.37,9728.28,0.43,0.13,0.0,0.0,0.0,0.0
25,2040.0,16.28,0.0,6.28,9728.28,0.5,0.13,0.0,0.0,0.0,0.0
26,2041.0,16.28,0.0,6.18,9728.28,0.58,0.13,0.0,0.0,0.0,0.0
27,2042.0,16.28,0.0,6.14,9691.71,0.67,0.13,0.0,0.0,0.0,0.0
28,2043.0,16.28,0.0,6.03,9691.71,0.76,0.13,0.0,0.0,0.0,0.0
29,2044.0,16.28,0.0,5.9,9671.46,0.87,0.13,0.0,0.0,0.0,0.0
30,2045.0,16.89,0.0,5.59,9671.46,0.95,0.13,0.0,0.0,0.0,0.0
31,2046.0,18.18,0.0,5.52,9291.66,1.02,0.13,0.0,0.0,0.0,0.0
32,2047.0,19.44,0.0,5.01,9291.66,1.1,0.13,0.0,0.0,0.0,0.0
33,2048.0,20.75,0.0,3.0,9291.66,1.23,0.13,0.0,0.0,0.0,0.0
34,2049.0,21.67,0.0,2.43,9291.66,1.34,0.13,0.0,0.0,0.0,0.0
35,2050.0,23.43,0.0,3.52,9291.66,1.36,0.13,0.0,0.0,0.0,0.0
36,2051.0,23.6,0.0,0.0,9291.66,1.4,0.13,0.0,0.0,0.0,0.0
37,2052.0,24.27,0.0,0.0,9291.66,1.45,0.13,0.0,0.0,0.0,0.0
38,2053.0,24.46,0.0,2.07,9291.66,1.52,0.13,0.0,0.0,0.0,0.0
39,2054.0,24.45,0.0,2.88,9291.66,1.57,0.13,0.0,0.0,0.0,0.0
40,2055.0,23.79,0.0,2.93,9291.66,1.72,0.13,0.0,0.0,0.0,0.0
41,2056.0,23.53,0.0,3.15,9291.66,1.81,0.13,0.0,0.0,0.0,0.0
42,2057.0,23.64,0.0,3.97,9291.66,1.9,0.13,0.0,0.0,0.0,0.0
43,2058.0,23.58,0.0,4.18,9291.66,1.99,0.13,0.0,0.0,0.0,0.0
44,2059.0,23.07,0.0,4.22,9291.66,2.14,0.13,0.0,0.0,0.0,0.0
45,2060.0,22.73,0.0,4.35,9291.66,2.27,0.13,0.0,0.0,0.0,0.0
46,2061.0,22.44,0.0,4.41,9291.66,2.37,0.13,0.0,0.0,0.0,0.0
47,2062.0,22.15,0.0,4.49,9291.66,2.47,0.13,0.0,0.0,0.0,0.0
48,2063.0,21.92,0.0,4.59,9291.66,2.58,0.13,0.0,0.0,0.0,0.0
49,2064.0,21.79,0.0,4.67,9175.67,2.69,0.13,0.0,0.0,0.0,0.0
50,2065.0,21.65,0.0,4.76,9058.98,2.8,0.13,0.0,0.0,0.0,0.0
51,2066.0,20.04,0.0,4.79,9207.15,2.97,0.13,0.0,0.0,0.0,0.0
52,2067.0,19.19,0.0,4.61,9033.99,3.16,0.11,0.0,0.0,0.0,0.0
53,2068.0,19.2,0.0,4.58,9246.39,3.25,0.13,0.0,0.0,0.0,0.0
54,2069.0,18.87,0.0,4.52,9125.66,3.4,0.13,0.0,0.0,0.0,0.0
55,2070.0,18.0,0.0,4.01,9195.61,3.58,0.13,0.0,0.0,0.0,0.0
