,y,Oil,Gas,Hydro,Solar PV,Geothermal
0,2015.0,0.129,0.0,0.0,0.0,0.0
1,2017.0,0.063,0.0,0.0,0.0,0.0
2,2018.0,0.112,0.0,0.0,0.0,0.0
3,2019.0,0.112,0.0,0.0,0.0,0.0
4,2020.0,0.0,0.247,0.0,0.0,0.0
5,2021.0,0.0,0.017,0.0,0.0,0.0
6,2022.0,0.0,0.018,0.0,0.0,0.0
7,2023.0,0.0,0.007,0.0,0.0,0.0
8,2024.0,0.0,0.0,0.41,0.0,0.0
9,2034.0,0.0,0.015,0.0,0.0,0.0
10,2035.0,0.0,0.037,0.0,0.0,0.0
11,2036.0,0.0,0.039,0.0,0.0,0.0
12,2037.0,0.0,0.042,0.0,0.0,0.0
13,2038.0,0.0,0.0,0.57,0.0,0.0
14,2044.0,0.0,0.013,0.0,0.0,0.0
15,2045.0,0.0,0.082,0.0,0.0,0.002
16,2046.0,0.0,0.043,0.0,0.0,0.07
17,2047.0,0.0,0.046,0.0,0.0,0.075
18,2048.0,0.0,0.037,0.0,0.0,0.081
19,2049.0,0.0,0.032,0.0,0.0,0.087
20,2050.0,0.001,0.262,0.0,0.135,0.08
21,2051.0,0.0,0.0,0.0,0.276,0.005
22,2052.0,0.0,0.003,0.0,0.229,0.0
23,2053.0,0.0,0.004,0.0,0.244,0.0
24,2054.0,0.0,0.004,0.0,0.254,0.0
25,2055.0,0.0,0.004,0.0,0.256,0.0
26,2056.0,0.0,0.0,0.0,0.324,0.0
27,2057.0,0.0,0.0,0.0,0.336,0.0
28,2058.0,0.0,0.0,0.0,0.349,0.0
29,2059.0,0.0,0.015,0.0,0.398,0.0
30,2060.0,0.0,0.037,0.0,0.413,0.0
31,2061.0,0.0,0.043,0.0,0.27,0.0
32,2062.0,0.0,0.05,0.0,0.26,0.0
33,2063.0,0.0,0.008,0.0,0.267,0.0
34,2064.0,0.0,0.0,0.0,0.307,0.0
35,2065.0,0.0,0.0,0.0,0.315,0.0
36,2066.0,0.0,0.0,0.0,0.323,0.0
37,2067.0,0.0,0.0,0.0,0.331,0.0
38,2068.0,0.0,0.0,0.0,0.339,0.0
39,2069.0,0.0,0.013,0.0,0.347,0.0
40,2070.0,0.0,0.051,0.0,0.491,0.002
