,y,Solar PV (roof top),Solar PV with storage
0,2050.0,0.7263,0.0
1,2051.0,2.2069,0.0
2,2052.0,2.7584,1.072
3,2053.0,3.4435,2.0638
4,2054.0,4.155,3.0939
5,2055.0,4.7626,4.3105
6,2056.0,6.1605,4.8515
7,2057.0,7.612,5.4132
8,2058.0,9.119,5.9964
9,2059.0,11.2547,5.9964
10,2060.0,13.4719,5.9964
11,2061.0,14.9223,5.9964
12,2062.0,16.3182,5.9964
13,2063.0,17.7484,5.9964
14,2064.0,19.3969,5.9964
15,2065.0,21.0861,5.9964
16,2066.0,22.8172,5.9649
17,2067.0,24.5911,5.9964
18,2068.0,26.4091,5.9964
19,2069.0,28.2723,5.9964
20,2070.0,30.182,5.9964
