,y,Bedden,Lakki
0,2024.0,0.0,0.41
1,2025.0,0.0,0.41
2,2026.0,0.0,0.41
3,2027.0,0.0,0.41
4,2028.0,0.0,0.41
5,2029.0,0.0,0.41
6,2030.0,0.0,0.41
7,2031.0,0.0,0.41
8,2032.0,0.0,0.41
9,2033.0,0.0,0.41
10,2034.0,0.0,0.41
11,2035.0,0.0,0.41
12,2036.0,0.0,0.41
13,2037.0,0.0,0.41
14,2038.0,0.57,0.41
15,2039.0,0.57,0.41
16,2040.0,0.57,0.41
17,2041.0,0.57,0.41
18,2042.0,0.57,0.41
19,2043.0,0.57,0.41
20,2044.0,0.57,0.41
21,2045.0,0.57,0.41
22,2046.0,0.57,0.41
23,2047.0,0.57,0.41
24,2048.0,0.57,0.41
25,2049.0,0.57,0.41
26,2050.0,0.57,0.41
27,2051.0,0.57,0.41
28,2052.0,0.57,0.41
29,2053.0,0.57,0.41
30,2054.0,0.57,0.41
31,2055.0,0.57,0.41
32,2056.0,0.57,0.41
33,2057.0,0.57,0.41
34,2058.0,0.57,0.41
35,2059.0,0.57,0.41
36,2060.0,0.57,0.41
37,2061.0,0.57,0.41
38,2062.0,0.57,0.41
39,2063.0,0.57,0.41
40,2064.0,0.57,0.41
41,2065.0,0.57,0.41
42,2066.0,0.57,0.41
43,2067.0,0.57,0.41
44,2068.0,0.57,0.41
45,2069.0,0.57,0.41
46,2070.0,0.57,0.41
