,y,Bedden,Lakki
0,2015,0.0,0.0
1,2016,0.0,0.0
2,2017,0.0,0.0
3,2018,0.0,0.0
4,2019,0.0,0.0
5,2020,0.0,0.0
6,2021,0.0,0.0
7,2022,0.0,0.0
8,2023,0.0,0.0
9,2024,0.0,242.2884
10,2025,0.0,254.0423
11,2026,0.0,266.4811
12,2027,0.0,279.1512
13,2028,0.0,288.9666
14,2029,0.0,297.1961
15,2030,0.0,304.6627
16,2031,0.0,310.7878
17,2032,0.0,311.0374
18,2033,0.0,311.0374
19,2034,0.0,311.0374
20,2035,0.0,311.0374
21,2036,0.0,311.0374
22,2037,0.0,311.0374
23,2038,385.7108,170.0181
24,2039,431.821,150.591
25,2040,429.9461,179.9272
26,2041,378.9158,266.9106
27,2042,368.7002,311.0374
28,2043,431.821,273.3904
29,2044,431.821,294.4979
30,2045,431.821,311.0374
31,2046,431.821,311.0374
32,2047,431.821,311.0374
33,2048,431.821,311.0374
34,2049,431.821,311.0374
35,2050,431.821,309.3152
36,2051,431.821,311.0374
37,2052,431.821,311.0374
38,2053,431.821,311.0374
39,2054,431.821,311.0374
40,2055,431.821,311.0374
41,2056,431.821,311.0374
42,2057,431.821,311.0374
43,2058,431.821,311.0374
44,2059,431.821,311.0374
45,2060,431.821,311.0374
46,2061,431.821,311.0374
47,2062,431.821,311.0374
48,2063,431.821,311.0374
49,2064,431.821,307.7149
50,2065,431.821,304.3102
51,2066,422.6613,311.0374
52,2067,431.821,295.5514
53,2068,431.821,289.0681
54,2069,431.821,311.0374
55,2070,431.821,275.6126
