,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass,Geothermal,Backstop,power_trade,gas_trade
0,2015.0,0.0,51.76,437.88,42.58,0.0,0.0,0.07,9.92,11.96,0.0,0.0,5.09,0.0
1,2016.0,0.0,40.46,451.22,42.58,0.0,0.0,0.27,12.43,15.92,0.0,0.0,5.09,0.0
2,2017.0,0.0,29.17,471.23,42.58,0.0,0.0,0.27,12.43,15.92,0.0,0.0,5.09,0.0
3,2018.0,0.0,7.57,499.09,43.06,0.0,0.0,0.6,16.69,15.92,0.0,0.0,2.61,0.0
4,2019.0,0.0,7.57,507.66,43.06,0.0,0.0,0.6,16.69,15.92,0.0,0.0,2.74,0.0
5,2020.0,0.0,7.57,515.57,43.06,0.0,0.0,1.27,16.69,15.92,0.0,0.0,2.87,0.0
6,2021.0,0.0,7.19,387.53,43.06,0.0,11.72,4.59,19.48,19.83,0.0,0.0,103.82,0.0
7,2022.0,0.0,6.83,460.85,43.06,0.0,17.54,7.08,25.48,23.76,0.0,0.0,64.08,0.0
8,2023.0,0.0,6.44,526.67,54.29,0.0,17.54,7.08,28.27,26.09,0.0,0.0,43.0,0.0
9,2024.0,0.0,6.06,547.52,54.29,0.0,17.54,7.08,31.06,28.43,0.0,0.0,21.44,0.0
10,2025.0,66.53,5.68,486.31,54.29,0.0,17.54,7.08,33.85,27.77,0.0,0.0,18.41,0.0
11,2026.0,0.0,5.3,565.48,54.29,0.0,17.54,7.08,36.64,30.11,0.0,0.0,5.09,0.0
12,2027.0,0.0,4.92,564.79,54.29,0.0,17.54,7.08,39.43,32.44,0.0,0.0,5.09,0.0
13,2028.0,0.0,4.55,562.4,54.29,0.0,17.54,8.74,42.22,34.77,0.0,0.0,5.09,0.0
14,2029.0,0.0,4.17,560.01,54.29,0.0,17.54,10.41,45.01,37.12,0.0,0.0,5.09,0.0
15,2030.0,0.0,3.79,557.6,54.29,0.0,17.54,12.08,47.8,39.45,0.0,0.0,5.09,0.0
16,2031.0,0.0,3.4,549.52,65.52,0.0,17.54,20.1,53.73,38.85,0.0,0.0,5.09,0.0
17,2032.0,0.0,3.02,550.16,69.27,0.0,17.54,27.02,59.65,38.25,0.0,0.0,5.09,0.0
18,2033.0,0.0,2.65,557.59,69.27,0.0,17.54,31.17,65.58,37.66,0.0,0.0,5.09,0.0
19,2034.0,1.84,2.28,561.6,69.27,0.0,17.54,35.34,71.5,37.06,0.0,0.0,6.63,0.0
20,2035.0,7.45,1.9,544.0,69.27,0.0,17.54,39.5,77.43,36.46,0.0,0.0,25.96,0.0
21,2036.0,12.11,1.53,510.43,69.27,0.0,17.54,43.65,83.36,36.46,0.0,0.0,61.59,0.0
22,2037.0,9.76,1.13,473.09,69.27,0.0,17.54,47.82,89.28,36.46,0.0,0.0,107.96,0.0
23,2038.0,7.83,0.76,433.83,69.27,8.1,17.54,51.99,95.21,36.46,0.0,0.0,147.72,0.0
24,2039.0,7.25,0.37,390.52,69.27,21.5,17.54,56.14,101.13,36.46,0.0,0.0,184.82,0.0
25,2040.0,0.0,0.0,394.16,69.27,34.9,17.54,60.25,104.05,36.46,0.0,0.0,184.7,0.0
26,2041.0,3.53,0.0,378.51,80.5,48.25,17.54,65.87,110.95,39.39,0.0,0.0,184.76,0.0
27,2042.0,0.0,0.0,378.33,80.5,61.65,17.54,71.71,120.35,42.32,0.0,0.0,184.83,0.0
28,2043.0,2.87,0.0,376.23,80.5,67.01,17.54,77.2,135.11,43.79,0.0,0.0,184.85,0.0
29,2044.0,1.01,0.0,381.03,80.5,67.01,17.54,83.02,154.15,43.79,0.0,0.0,184.85,0.0
30,2045.0,1.13,0.0,384.48,80.5,67.01,17.54,88.2,173.19,43.79,0.0,0.0,184.85,0.0
31,2046.0,0.47,0.0,404.5,80.5,67.01,5.82,92.36,189.08,43.79,0.0,0.0,184.85,0.0
32,2047.0,0.0,0.0,422.68,80.5,67.01,0.0,96.52,201.77,43.79,0.0,0.0,183.74,0.0
33,2048.0,35.35,0.0,372.59,80.5,67.01,19.47,102.35,217.66,43.79,0.0,0.0,184.85,0.0
34,2049.0,26.4,0.0,374.73,80.5,67.01,32.08,108.18,233.56,43.79,0.0,0.0,184.85,0.0
35,2050.0,21.27,0.0,366.11,80.5,67.01,51.55,114.01,249.46,43.79,0.0,0.0,184.85,0.0
36,2051.0,24.17,0.0,364.18,80.5,80.22,51.55,119.84,265.35,46.72,0.0,0.0,176.86,0.0
37,2052.0,25.21,0.0,363.15,80.5,89.27,51.55,125.67,281.25,49.66,0.0,0.0,174.85,0.0
38,2053.0,25.66,0.0,361.59,80.5,93.82,56.7,129.84,297.14,51.12,0.0,0.0,177.37,0.0
39,2054.0,25.18,0.0,359.68,80.5,93.82,69.41,134.0,313.05,51.12,0.0,0.0,180.56,0.0
40,2055.0,13.33,0.0,384.71,80.5,93.82,69.41,138.16,328.95,51.12,0.0,0.0,181.86,0.0
41,2056.0,0.0,0.0,424.24,80.5,93.82,69.41,140.65,341.7,47.16,0.0,0.0,179.9,0.0
