,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Geothermal,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction,Uranium extraction,Transmission & Distribution,Backstop,Biofuel and Biomass production,Biomass exports,Coal exports,Crude oil exports,HFO exports,LFO exports
0,2015.0,0.0,28.28,66.41,5323.27,0.0,0.0,0.0,0.0,0.0,3.77,0.16,105.01,64.28,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,8.89,67.82,5323.27,0.0,0.0,0.0,0.0,0.0,5.02,0.15,99.57,61.75,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,5.72,69.92,5323.27,0.0,0.0,0.0,0.0,0.0,5.02,0.19,94.05,60.64,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,2.45,80.7,5383.21,0.0,0.0,0.0,0.0,0.0,5.02,0.19,97.53,61.23,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,2.45,82.59,5383.21,0.0,0.0,0.0,0.0,0.0,5.02,0.21,96.46,60.34,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,2.45,75.2,5383.21,0.0,0.0,0.01,0.0,0.0,5.02,0.23,95.4,59.45,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,2.33,61.7,5383.21,0.0,0.32,0.03,0.01,0.0,6.26,0.23,95.13,59.54,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,2.19,67.38,5383.21,0.0,0.48,0.05,0.01,0.0,7.5,0.22,94.82,59.63,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,0.0,2.08,72.36,6787.97,0.0,0.48,0.05,0.01,0.0,8.24,0.22,94.59,59.72,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024.0,0.0,1.96,73.04,6787.97,0.0,0.48,0.05,0.01,0.0,8.97,0.22,94.37,59.81,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2025.0,7.95,1.84,65.9,6787.97,0.0,0.48,0.05,0.01,0.0,8.77,2.69,94.16,59.9,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2026.0,0.0,1.71,69.76,6787.97,0.0,0.48,0.05,0.01,0.0,9.5,0.21,93.97,59.98,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2027.0,0.0,1.58,68.6,6787.97,0.0,0.48,0.05,0.01,0.0,10.24,0.15,91.59,58.21,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2028.0,0.0,1.46,67.99,6787.97,0.0,0.48,0.06,0.01,0.0,10.97,0.15,82.34,50.58,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2029.0,0.0,1.35,66.63,6787.97,0.0,0.48,0.07,0.01,0.0,11.71,0.15,73.1,42.94,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2030.0,0.0,1.21,65.29,6787.97,0.0,0.48,0.08,0.01,0.0,12.44,0.15,63.86,35.31,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2031.0,0.0,1.1,63.34,8192.72,0.0,0.48,0.13,0.01,0.0,12.25,0.13,20.82,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2032.0,0.0,0.98,62.31,8660.97,0.0,0.48,0.17,0.02,0.0,12.07,0.11,17.2,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2033.0,0.0,0.85,62.0,8660.97,0.0,0.48,0.2,0.02,0.0,11.88,0.1,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2034.0,0.22,0.73,61.32,8660.97,0.0,0.48,0.23,0.02,0.0,11.69,0.15,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2035.0,0.89,0.61,58.37,8660.97,0.0,0.48,0.25,0.02,0.0,11.5,0.32,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2036.0,1.45,0.49,53.75,8660.97,0.0,0.48,0.28,0.02,0.0,11.5,0.28,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2037.0,1.17,0.37,48.58,8660.97,0.0,0.48,0.31,0.02,0.0,11.5,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2038.0,0.93,0.24,43.96,8660.97,0.0,0.48,0.33,0.03,0.0,11.5,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2039.0,0.87,0.11,38.51,8660.97,0.0,0.48,0.35,0.03,0.0,11.5,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2040.0,0.0,0.0,47.7,8660.97,0.0,0.48,0.38,0.03,0.0,11.5,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2041.0,0.42,0.0,44.77,10065.72,0.0,0.48,0.42,0.03,0.0,12.43,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2042.0,0.0,0.0,45.79,10065.72,0.0,0.48,0.46,0.03,0.0,13.36,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2043.0,0.34,0.0,50.35,10065.72,0.0,0.48,0.5,0.03,0.0,13.82,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2044.0,0.12,0.0,58.35,10065.72,0.0,0.48,0.53,0.05,0.0,13.82,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2045.0,0.13,0.0,67.65,10065.72,0.0,0.48,0.57,0.05,0.0,13.82,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2046.0,0.06,0.0,81.74,10065.72,0.0,0.16,0.59,0.05,0.0,13.82,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2047.0,0.0,0.0,95.65,10065.72,0.0,0.0,0.62,0.05,0.0,13.82,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2048.0,4.22,0.0,103.04,10065.72,0.0,0.53,0.65,0.06,0.0,13.82,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2049.0,3.15,0.0,103.26,10065.72,0.0,0.87,0.68,0.07,0.0,13.82,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2050.0,2.54,0.0,102.44,10065.72,0.0,1.4,0.73,0.07,0.0,13.82,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2051.0,2.89,0.0,102.25,10065.72,0.0,1.4,0.77,0.07,0.0,14.74,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2052.0,3.01,0.0,102.15,10065.72,0.0,1.4,0.8,0.08,0.0,15.67,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2053.0,3.06,0.0,102.0,10065.72,0.0,1.54,0.83,0.08,0.0,16.13,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2054.0,3.01,0.0,101.82,10065.72,0.0,1.89,0.85,0.08,0.0,16.13,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2055.0,1.59,0.0,104.2,10065.72,0.0,1.89,0.88,0.09,0.0,16.13,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2056.0,0.0,0.0,109.07,10065.72,0.0,1.89,0.9,0.1,0.0,14.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2057.0,0.0,0.0,110.71,10065.72,0.0,2.01,0.91,0.1,0.0,14.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2058.0,0.0,0.0,111.88,10065.72,0.0,2.31,0.92,0.1,0.0,14.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2059.0,0.0,0.0,113.11,10065.72,0.0,2.62,0.96,0.11,0.0,14.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2060.0,0.0,0.0,112.86,10065.72,0.0,3.36,0.97,0.11,0.0,14.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2061.0,0.0,0.0,112.93,10065.72,0.0,3.9,0.99,0.11,0.0,14.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2062.0,0.0,0.0,112.99,10065.72,0.0,4.46,1.02,0.12,0.0,13.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2063.0,0.0,0.0,113.01,10065.72,0.0,5.05,1.04,0.13,0.0,13.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2064.0,0.0,0.0,112.97,10065.72,0.0,5.67,1.07,0.13,0.0,13.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2065.0,0.0,0.0,112.95,10065.72,0.0,6.33,1.09,0.14,0.0,13.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
