,y,Natural gas extraction
0,2021.0,3.25
1,2022.0,3.25
2,2023.0,3.25
3,2024.0,3.25
4,2025.0,3.25
5,2026.0,3.25
6,2027.0,3.25
7,2028.0,3.25
8,2029.0,3.25
9,2030.0,3.25
10,2031.0,3.25
11,2032.0,3.25
12,2033.0,3.25
13,2034.0,3.25
14,2035.0,3.25
15,2036.0,3.25
16,2037.0,3.25
17,2038.0,3.25
18,2040.0,2.7596
19,2041.0,16.388
20,2042.0,31.1449
21,2043.0,44.4113
22,2044.0,43.0909
23,2045.0,45.2593
24,2046.0,39.8695
25,2047.0,36.5847
26,2048.0,37.0719
27,2049.0,39.9382
28,2050.0,47.2084
29,2051.0,43.1451
30,2052.0,40.8269
31,2053.0,38.7137
32,2054.0,35.7236
33,2055.0,30.495
34,2056.0,29.7794
35,2057.0,29.2742
36,2058.0,29.0212
37,2059.0,28.2414
38,2060.0,27.7518
39,2061.0,26.5844
40,2062.0,22.8652
41,2063.0,20.2973
42,2064.0,24.9592
43,2065.0,16.7657
44,2066.0,16.8818
45,2067.0,17.0066
46,2068.0,10.6232
47,2069.0,10.9603
48,2070.0,11.3745
