,y,Biomass extraction/production/refining
0,2015.0,305.9566
1,2016.0,307.9545
2,2017.0,309.9655
3,2018.0,311.99
4,2019.0,314.0279
5,2020.0,316.0793
6,2021.0,319.8499
7,2022.0,323.6289
8,2023.0,327.4153
9,2024.0,331.2079
10,2025.0,333.6901
11,2026.0,337.4667
12,2027.0,341.2397
13,2028.0,345.0131
14,2029.0,348.7909
15,2030.0,352.5765
16,2031.0,359.5842
17,2032.0,365.8465
18,2033.0,371.4691
19,2034.0,376.5383
20,2035.0,375.5355
21,2036.0,375.4971
22,2037.0,375.4414
23,2038.0,375.3697
24,2039.0,375.2832
25,2040.0,375.1832
26,2041.0,371.9761
27,2042.0,368.7854
28,2043.0,365.613
29,2044.0,362.4609
30,2045.0,359.3307
31,2046.0,356.1334
32,2047.0,352.9663
33,2048.0,349.8295
34,2049.0,346.7234
35,2050.0,343.6478
36,2051.0,340.3839
37,2052.0,337.1508
38,2053.0,333.9482
39,2054.0,330.7755
40,2055.0,327.6323
41,2056.0,324.518
42,2057.0,321.432
43,2058.0,318.3735
44,2059.0,315.3415
45,2060.0,312.3352
46,2061.0,309.123
47,2062.0,305.9403
48,2063.0,302.7866
49,2064.0,299.6614
50,2065.0,296.5642
51,2066.0,293.4949
52,2067.0,290.4532
53,2068.0,287.4391
54,2069.0,284.4526
55,2070.0,281.4936
