,y,CO2
0,2015,1.8822
1,2016,1.5837
2,2017,2.1337
3,2018,2.6837
4,2019,3.2337
5,2020,2.0387
6,2021,2.1137
7,2022,2.1938
8,2023,2.2972
9,2024,2.2485
10,2025,2.2814
11,2026,2.3147
12,2027,2.3484
13,2028,2.3824
14,2029,2.4166
15,2030,2.4507
16,2031,2.3614
17,2032,2.2744
18,2033,2.1889
19,2034,2.1048
20,2035,2.0221
21,2036,2.02
22,2037,2.0426
23,2038,2.074
24,2039,2.1103
25,2040,2.1531
26,2041,2.1719
27,2042,2.2076
28,2043,2.1478
29,2044,2.052
30,2045,1.9628
31,2046,1.8787
32,2047,1.7912
33,2048,1.7063
34,2049,1.6253
35,2050,1.5643
36,2051,1.5043
37,2052,1.4496
38,2053,1.3936
39,2054,1.3402
40,2055,1.2687
41,2056,1.2174
42,2057,1.1773
43,2058,1.1457
44,2059,1.1169
45,2060,1.09
46,2061,1.0658
47,2062,1.0431
48,2063,1.0205
49,2064,1.0004
50,2065,1.0032
51,2066,1.0083
52,2067,1.0195
53,2068,1.0341
54,2069,1.0458
55,2070,1.0367
