,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,power_trade
0,2015.0,0.0,50.96,437.88,136.28,0.0,0.0,0.21000000000000002,0.0,13.25,18.200000000000003,0.21,0.0
1,2016.0,0.0,46.190000000000005,451.22,136.28,0.0,0.0,0.42000000000000004,0.0,15.76,22.16,0.21,0.0
2,2017.0,0.0,22.92,471.23,161.49,0.0,0.0,0.44,0.0,15.76,19.61,0.21,0.0
3,2018.0,0.0,22.890000000000004,478.42,167.05,0.0,0.0,0.77,0.0,20.020000000000003,20.48,0.21,8.881784197001252e-16
4,2019.0,0.0,29.83,496.47,167.86,0.0,0.0,0.77,0.0,20.020000000000003,22.16,0.21,4.440892098500626e-16
5,2020.0,0.0,19.380000000000003,575.49,167.86,0.0,0.0,1.44,0.0,20.020000000000003,22.16,3.43,5.551115123125783e-17
6,2021.0,0.0,53.45,589.87,167.86,0.0,11.72,4.74,0.0,22.72,25.759999999999998,7.98,0.0
7,2022.0,0.0,54.339999999999996,630.69,167.86,0.0,11.72,7.23,0.0,25.419999999999998,29.34,10.66,0.0
8,2023.0,0.0,29.72,596.57,231.66,0.0,11.72,7.23,0.0,28.119999999999997,31.36,16.03,-7.105427357601002e-15
9,2024.0,0.0,15.49,593.8100000000001,250.28,0.0,11.72,7.22,0.0,30.82,33.39,25.41,0.0
10,2025.0,80.04,14.53,501.49,274.22,0.0,11.72,7.21,0.0,33.53,30.01,33.45,0.0
11,2026.0,30.94,13.77,558.44,274.88,0.0,11.72,7.21,0.0,36.23,32.88,36.12,0.0
12,2027.0,0.0,12.83,589.56,287.63000000000005,0.0,11.72,7.21,0.0,38.93,34.22,38.79,0.0
13,2028.0,0.0,11.88,588.6299999999999,298.66999999999996,0.0,11.72,8.86,0.0,41.629999999999995,36.79,42.26,-1.7763568394002505e-15
14,2029.0,0.0,10.93,595.0,298.95,0.0,11.72,11.52,0.0,44.33,38.96,48.96,0.0
15,2030.0,0.0,9.950000000000001,567.5100000000001,329.4,0.0,11.72,19.59,0.0,47.03,40.97,55.65,0.0
16,2031.0,0.0,9.04,593.4000000000001,329.54,0.0,11.72,34.64,0.0,52.88,40.050000000000004,62.339999999999996,0.0
