,y,CSP (with storage),CSP (without storage),Solar FPV,Solar PV (roof top),Solar PV (utility),Solar PV with storage
0,2015.0,0.0,0.0,0.0,0.0723,0.127,0.0
1,2016.0,0.0,0.0,0.0,0.0911,0.3272,0.0
2,2017.0,0.0,0.0,0.0,0.1034,0.3272,0.0
3,2018.0,0.0,0.0,0.0,0.1034,0.6609,0.0
4,2019.0,0.0,0.0,0.0,0.1034,0.6609,0.0
5,2020.0,0.0,0.0,0.0,0.101,1.3255000000000001,0.0
6,2021.0,6.5328,5.1926,0.0,0.766,2.991,0.9828
7,2022.0,6.5328,5.1926,0.0,1.0973000000000002,4.6566,1.4742
8,2023.0,6.5328,5.1926,0.0,1.0949000000000002,4.6535,1.4742
9,2024.0,6.5328,5.1926,0.0,1.0925,4.650399999999999,1.4742
10,2025.0,6.5328,5.1926,0.0,1.0901,4.6475,1.4742
11,2026.0,6.5328,5.1926,0.0,1.0877000000000001,4.6444,1.4742
12,2027.0,6.5328,5.1926,0.0,1.0853000000000002,4.6415,1.4742
13,2028.0,6.5328,5.1926,0.0,1.0829000000000002,6.3069999999999995,1.4742
14,2029.0,6.5328,5.1926,0.0,2.0817,7.9726,1.4742
15,2030.0,6.5328,5.1926,0.0,3.7478,9.6381,6.2009
16,2031.0,6.5328,5.1926,0.0,8.962,12.972199999999999,12.7061
17,2032.0,6.5328,5.1926,0.0,15.4513,16.3062,17.737099999999998
18,2033.0,6.5328,5.1926,0.0,23.041700000000002,19.6403,22.7682
19,2034.0,6.5328,5.1926,0.0,32.583299999999994,22.9744,27.7992
20,2035.0,6.5328,5.1926,2.1004,40.9554,26.308500000000002,28.2906
21,2036.0,6.5328,5.1926,4.2008,50.137499999999996,29.6426,33.3215
22,2037.0,6.5328,5.1926,10.1588,60.5926,32.976699999999994,38.3525
23,2038.0,6.5328,5.1926,12.2592,74.05990000000001,36.3108,43.3835
24,2039.0,6.5328,5.1926,14.3596,87.46489999999999,39.6449,48.414500000000004
25,2040.0,6.5328,5.1926,16.46,104.1179,42.9153,53.4456
26,2041.0,6.5328,5.1926,18.5604,125.3339,47.7207,58.4766
27,2042.0,6.5328,5.1926,18.5604,147.8568,52.7263,63.5076
28,2043.0,6.5328,5.1926,18.5604,175.2299,57.3983,68.5386
29,2044.0,6.5328,5.1926,18.5604,197.2147,62.404,73.5696
30,2045.0,6.5328,5.1926,18.5604,218.3885,66.7421,78.6006
31,2046.0,0.0,0.0,18.5604,243.16519999999997,70.0792,83.63159999999999
32,2047.0,0.0,0.0,18.5604,268.45250000000004,73.4164,88.6626
33,2048.0,0.0,0.8031,18.5604,300.9248,78.422,98.49779999999998
34,2049.0,0.0,0.8031,18.5604,330.7622,83.4277,108.333
35,2050.0,0.0,13.5033,18.5604,359.4006,88.4333,113.06
36,2051.0,0.0,32.9754,30.7716,374.2376,93.439,113.55140000000002
37,2052.0,0.0,52.4475,35.4483,400.3229999999999,98.4447,114.04280000000001
38,2053.0,4.8996,71.9197,39.555800000000005,426.15810000000005,101.7818,117.30990000000001
39,2054.0,29.3978,90.8699,39.555800000000005,454.4741,105.1189,122.60560000000001
40,2055.0,53.896,93.4662,39.555800000000005,475.65009999999995,108.456,132.4408
41,2056.0,78.3941,96.0625,42.095600000000005,505.7812,110.1245,137.7364
42,2057.0,102.8923,98.6587,43.4735,534.3593000000001,111.7931,143.45940000000002
43,2058.0,127.3905,101.255,48.5283,558.9403,113.4616,148.755
44,2059.0,130.6569,103.8513,48.5283,585.0976999999999,115.1302,153.8449
45,2060.0,133.9233,106.4476,53.951600000000006,608.0692,124.20909999999999,159.1268
46,2061.0,137.1898,109.0439,59.4268,625.9493000000001,129.80360000000002,163.916
47,2062.0,140.4562,111.6402,60.301,641.4765,136.5524,169.9375
48,2063.0,143.7226,114.2364,66.643,654.3216,144.43470000000002,173.97539999999998
49,2064.0,146.989,116.8327,70.4465,671.3689,153.3643,179.2154
50,2065.0,150.2554,119.429,75.7253,689.2548999999999,161.21359999999999,183.7256
51,2066.0,153.5219,122.0253,74.08930000000001,703.5953,180.65900000000002,188.35050000000004
52,2067.0,156.7883,124.6216,75.897,717.5883,182.32760000000002,193.10160000000002
53,2068.0,160.0547,127.2179,77.3409,724.4088000000002,201.30870000000002,194.31670000000003
54,2069.0,163.3211,129.8141,79.7936,733.9403000000001,220.1044,197.3332
55,2070.0,166.5876,132.4104,83.09620000000001,743.0695000000001,238.8157,200.7281
