,y,Biomass extraction/production/refining
0,2015.0,87.2249
1,2016.0,92.8549
2,2017.0,92.3945
3,2018.0,91.8323
4,2019.0,91.3499
5,2020.0,90.8674
6,2021.0,100.7674
7,2022.0,110.5542
8,2023.0,117.8982
9,2024.0,125.1828
10,2025.0,127.8114
11,2026.0,134.9792
12,2027.0,142.0893
13,2028.0,149.1423
14,2029.0,156.1388
15,2030.0,184.0119
16,2031.0,192.8592
17,2032.0,201.7065
18,2033.0,210.5537
19,2034.0,219.401
20,2035.0,228.2483
21,2036.0,238.015
22,2037.0,247.7817
23,2038.0,257.5484
24,2039.0,267.3152
25,2040.0,277.0819
26,2041.0,302.9829
27,2042.0,328.884
28,2043.0,350.2024
29,2044.0,366.9383
30,2045.0,383.6742
31,2046.0,400.4101
32,2047.0,417.146
33,2048.0,433.8819
34,2049.0,450.6178
35,2050.0,467.3536
36,2051.0,493.8488
37,2052.0,521.2279
38,2053.0,544.9532
39,2054.0,567.5081
40,2055.0,591.089
41,2056.0,609.6588
42,2057.0,635.4515
43,2058.0,662.4355
44,2059.0,690.6714
45,2060.0,720.223
46,2061.0,748.7218
47,2062.0,778.7269
48,2063.0,812.6425
49,2064.0,848.1636
50,2065.0,885.372
51,2066.0,924.3539
52,2067.0,965.1995
53,2068.0,1008.0041
54,2069.0,1050.4317
55,2070.0,1095.0231
