,y,CO2
0,2015,10.5725
1,2016,11.5943
2,2017,12.5691
3,2018,13.9777
4,2019,17.2676
5,2020,22.6216
6,2021,23.5358
7,2022,24.8992
8,2023,20.522
9,2024,20.9047
10,2025,22.1817
11,2026,23.7416
12,2027,25.074
13,2028,27.0414
14,2029,29.2269
15,2030,31.6573
16,2031,31.4713
17,2032,31.554
18,2033,31.2957
19,2034,31.2473
20,2035,31.7082
21,2036,31.7408
22,2037,31.8425
23,2038,31.8644
24,2039,32.106
25,2040,32.2525
26,2041,31.1512
27,2042,30.1835
28,2043,29.1437
29,2044,28.2961
30,2045,27.5647
31,2046,26.8117
32,2047,26.1308
33,2048,25.4522
34,2049,25.6144
35,2050,25.8462
36,2051,25.2996
37,2052,24.7738
38,2053,24.256
39,2054,23.7034
40,2055,23.2421
41,2056,22.8319
42,2057,22.4271
43,2058,21.8754
44,2059,21.5676
45,2060,21.0605
46,2061,20.6278
47,2062,20.3615
48,2063,20.1685
49,2064,19.9186
50,2065,19.632
51,2066,19.0616
52,2067,18.5676
53,2068,18.4863
54,2069,17.6818
55,2070,17.3961
