,y,Ethiopia - Djibouti NG planned trade link,Natural gas extraction
0,2020.0,0.0,116.9616
1,2021.0,-3.2175,124.1874
2,2022.0,-3.2175,132.6371
3,2023.0,-3.2175,32.3849
4,2024.0,-3.2175,20.3386
5,2025.0,0.0,9.1125
6,2026.0,0.0,14.1933
7,2027.0,0.0,10.5015
8,2028.0,0.0,14.1315
9,2029.0,0.0,16.0522
10,2030.0,0.0,14.5266
11,2031.0,0.0,15.6402
12,2032.0,0.0,21.1082
13,2033.0,0.0,18.9606
14,2034.0,0.0,20.3602
15,2035.0,0.0,24.4194
16,2036.0,0.0,25.2515
17,2037.0,0.0,26.7882
18,2038.0,0.0,26.0924
19,2039.0,0.0,29.1435
20,2040.0,0.0,29.7045
21,2041.0,0.0,28.4279
22,2042.0,0.0,28.0089
23,2043.0,0.0,24.5791
24,2044.0,0.0,23.5888
25,2045.0,0.0,23.699
26,2046.0,0.0,22.3176
27,2047.0,0.0,21.439
28,2048.0,0.0,19.786
29,2049.0,0.0,19.1754
