,y,Coal,Oil,Gas,Hydro,Solar PV,Wind,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2015.0,0.0,1.57,0.0,755.81,0.0,0.0,0.0,103.84,0.0,0.0,0.0
1,2016.0,0.0,1.75,0.0,755.81,0.0,0.0,0.0,103.84,0.0,0.0,0.0
2,2017.0,0.0,0.86,0.0,1290.41,0.0,0.0,0.0,9.86,0.0,0.0,0.0
3,2018.0,0.0,0.86,0.0,1399.63,0.0,0.0,0.0,41.87,0.0,0.0,0.0
4,2019.0,0.0,4.31,0.0,1418.92,0.0,0.0,0.0,103.84,0.0,0.0,0.0
5,2020.0,0.0,0.86,17.62,1418.92,0.0,0.0,0.06,103.84,0.0,0.0,0.06
6,2021.0,0.0,0.82,17.78,1418.92,0.0,0.0,0.15,98.64,0.0,0.0,0.07
7,2022.0,0.0,1.55,18.12,1418.92,0.0,0.0,0.2,93.45,0.0,0.0,0.07
8,2023.0,0.0,0.73,4.47,2929.22,0.0,0.0,0.3,88.26,0.0,0.0,0.02
9,2024.0,0.0,0.69,2.63,2929.22,0.0,0.0,0.43,83.07,0.0,0.0,0.01
10,2025.0,0.0,0.65,1.4,3193.02,0.0,0.0,0.53,20.93,0.15,12.78,0.0
11,2026.0,0.0,0.86,2.19,3198.72,0.0,0.0,0.53,46.73,0.0,13.16,0.01
12,2027.0,0.0,0.83,1.62,3490.77,0.0,0.0,0.53,16.75,0.0,13.56,0.01
13,2028.0,0.0,0.79,2.19,3522.81,0.0,0.0,0.59,31.54,0.0,13.96,0.01
14,2029.0,0.0,0.74,2.49,3522.81,0.0,0.0,0.72,31.15,0.0,13.96,0.01
15,2030.0,0.0,0.66,2.25,3522.81,0.0,0.0,0.85,25.96,0.0,13.96,0.01
16,2031.0,0.0,0.66,2.43,3522.81,0.01,0.0,0.97,20.77,0.0,14.28,0.01
17,2032.0,0.0,0.67,3.29,3522.81,0.02,0.0,1.1,15.58,0.0,14.58,0.01
18,2033.0,0.0,0.65,2.96,3522.81,0.04,0.0,1.23,10.38,0.0,14.83,0.01
19,2034.0,0.0,0.61,3.18,3522.81,0.06,0.0,1.34,5.19,0.0,14.9,0.01
20,2035.0,0.0,0.53,3.82,3522.81,0.11,0.0,1.41,0.0,0.0,14.9,0.01
21,2036.0,0.0,0.46,3.96,3522.81,0.14,0.0,1.53,0.0,0.0,14.9,0.01
22,2037.0,0.0,0.4,4.21,3522.81,0.17,0.0,1.65,0.0,0.0,14.9,0.01
23,2038.0,0.0,0.35,4.1,3522.81,0.22,0.0,1.75,0.0,0.0,14.9,0.01
24,2039.0,0.0,0.28,4.59,3522.81,0.26,0.0,1.87,0.0,0.0,14.9,0.02
25,2040.0,0.0,0.23,4.69,3522.81,0.32,0.0,2.0,0.0,0.0,14.9,0.02
26,2041.0,0.0,0.3,4.49,3522.81,0.41,0.0,2.0,0.0,0.0,14.9,0.02
27,2042.0,0.0,0.37,4.44,3522.81,0.5,0.0,2.0,0.0,0.0,14.9,0.01
28,2043.0,0.0,0.44,3.9,3476.88,0.62,0.0,2.01,0.0,0.0,14.9,0.01
29,2044.0,0.0,0.5,3.75,3436.71,0.7,0.0,2.14,0.0,0.0,14.9,0.01
30,2045.0,0.0,0.57,3.77,3418.65,0.8,0.0,2.17,0.0,0.0,14.9,0.01
31,2046.0,0.0,0.63,3.56,3370.03,0.93,0.0,2.19,0.0,0.0,14.9,0.01
32,2047.0,0.0,0.69,3.42,3288.38,1.05,0.0,2.27,0.0,0.0,14.9,0.01
33,2048.0,0.0,0.75,3.16,3184.12,1.21,0.0,2.29,0.0,0.0,14.9,0.01
34,2049.0,0.29,0.81,3.07,3165.82,1.36,0.0,2.22,0.0,0.0,14.9,0.01
35,2050.0,0.95,0.9,0.0,3500.11,1.49,0.0,2.12,0.0,0.0,14.9,0.0
36,2051.0,0.95,0.9,0.0,3421.14,1.61,0.0,2.12,0.0,0.0,14.73,0.0
37,2052.0,0.95,0.91,0.0,3349.31,1.72,0.0,2.12,0.0,0.0,14.45,0.0
38,2053.0,0.95,0.91,0.0,3272.1,1.85,0.0,2.08,0.0,0.0,14.17,0.0
