,y,Biomass extraction/production/refining
0,2015.0,305.9566
1,2016.0,307.9545
2,2017.0,309.9655
3,2018.0,311.99
4,2019.0,314.0279
5,2020.0,316.0793
6,2021.0,319.7526
7,2022.0,323.4318
8,2023.0,327.1159
9,2024.0,330.8038
10,2025.0,333.1788
11,2026.0,336.8458
12,2027.0,340.5067
13,2028.0,344.1655
14,2029.0,347.8263
15,2030.0,351.4923
16,2031.0,355.3917
17,2032.0,358.4627
18,2033.0,360.8284
19,2034.0,362.5892
20,2035.0,361.6138
21,2036.0,358.455
22,2037.0,355.3075
23,2038.0,352.1725
24,2039.0,349.0515
25,2040.0,345.9457
26,2041.0,345.1547
27,2042.0,344.3552
28,2043.0,343.549
29,2044.0,342.7381
30,2045.0,341.9241
31,2046.0,341.0219
32,2047.0,340.1238
33,2048.0,339.2301
34,2049.0,338.3415
35,2050.0,337.4581
36,2051.0,336.5709
37,2052.0,335.6858
38,2053.0,334.8029
39,2054.0,333.9218
40,2055.0,333.0423
41,2056.0,332.1642
42,2057.0,331.287
43,2058.0,330.4102
44,2059.0,329.533
45,2060.0,328.6549
46,2061.0,327.7693
47,2062.0,326.8824
48,2063.0,325.9939
49,2064.0,325.1035
50,2065.0,324.2108
51,2066.0,323.3159
52,2067.0,322.419
53,2068.0,321.5201
54,2069.0,320.6196
55,2070.0,319.7177
