,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Geothermal
0,2015.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0
1,2016.0,0.0,0.011,0.0,0.0,0.001,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.32,0.001,0.0,0.0
3,2021.0,0.0,0.0,1.149,0.0,0.0,0.0,0.0
4,2024.0,0.0,0.0,0.0,0.36,0.0,0.0,0.1
5,2025.0,0.0,0.0,0.0,0.42,0.0,0.0,0.1
6,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
7,2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
8,2028.0,0.0,0.0,0.0,0.312,0.0,0.0,0.0
9,2030.0,0.0,0.0,0.0,1.165,0.25,0.0,0.0
10,2031.0,0.0,0.0,0.0,0.0,1.021,0.0,0.0
11,2032.0,0.0,0.0,0.0,0.0,1.259,0.0,0.0
12,2033.0,0.0,0.0,0.0,0.0,1.352,0.0,0.0
13,2034.0,0.0,0.0,0.0,0.0,1.453,0.0,0.0
14,2035.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0
15,2036.0,0.034,0.0,0.0,0.0,1.144,0.0,0.0
16,2037.0,0.765,0.0,0.0,0.0,1.361,0.0,0.0
17,2038.0,1.656,0.0,0.0,0.0,1.47,0.0,0.0
18,2039.0,1.046,0.0,0.0,0.0,1.588,0.0,0.0
19,2040.0,1.256,0.0,0.0,0.0,1.713,0.0,0.0
20,2041.0,0.144,0.0,0.0,0.0,1.698,0.0,0.0
21,2042.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0
22,2043.0,0.0,0.0,0.0,0.0,1.949,0.0,0.0
23,2044.0,0.0,0.0,0.0,0.0,2.039,0.0,0.0
24,2045.0,0.36,0.0,0.0,0.0,1.281,0.0,0.0
25,2046.0,0.627,0.0,0.0,0.0,1.357,0.0,0.0
26,2047.0,0.291,0.0,0.0,0.0,1.443,0.0,0.0
27,2048.0,0.016,0.0,0.0,0.0,2.656,0.0,0.0
28,2049.0,0.184,0.0,0.0,0.0,2.211,0.0,0.1
29,2050.0,0.232,0.0,0.0,0.0,1.905,0.0,0.1
30,2051.0,0.392,0.0,0.684,0.0,0.5,1.738,0.1
31,2052.0,0.0,0.0,0.079,0.0,2.397,0.673,0.1
32,2053.0,0.0,0.0,0.217,0.0,2.533,0.591,0.0
33,2054.0,0.0,0.0,0.201,0.0,3.274,0.0,0.0
34,2055.0,0.0,0.0,0.0,0.0,1.867,0.0,0.0
35,2056.0,0.0,0.0,0.0,0.0,3.5,0.367,0.0
36,2057.0,0.0,0.0,0.082,0.0,3.5,0.128,0.0
37,2058.0,0.0,0.0,0.248,0.0,3.254,0.0,0.0
38,2059.0,0.112,0.0,0.129,0.0,3.5,0.0,0.0
39,2060.0,0.0,0.0,0.0,0.0,4.751,0.0,0.0
40,2061.0,0.0,0.0,0.0,0.0,3.881,0.0,0.0
41,2062.0,0.0,0.0,0.0,0.0,4.076,0.0,0.0
42,2063.0,0.0,0.0,0.0,0.0,4.267,0.01,0.0
43,2064.0,0.0,0.0,0.0,0.0,4.444,0.0,0.0
44,2065.0,0.0,0.0,0.0,0.0,4.261,0.0,0.0
45,2066.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0
46,2067.0,1.555,0.0,0.0,0.0,3.5,0.0,0.0
47,2068.0,1.735,0.0,1.444,0.0,6.5,0.0,0.0
48,2069.0,0.679,0.0,0.383,0.0,6.5,0.0,0.0
49,2070.0,0.715,0.0,0.498,0.0,6.5,0.339,0.0
