,y,Natural gas extraction
0,2020.0,10.6016
1,2021.0,11.2922
2,2022.0,12.2132
3,2023.0,12.9273
4,2024.0,0.1271
5,2025.0,0.3344
6,2026.0,0.553
7,2027.0,0.8117
8,2028.0,1.2885
9,2029.0,1.9076
10,2030.0,2.6677
11,2031.0,3.7306
12,2032.0,5.0585
13,2033.0,6.534
14,2034.0,8.0921
15,2035.0,9.8501
16,2036.0,11.7787
17,2037.0,13.9524
18,2038.0,16.2348
19,2039.0,1.0199
20,2040.0,1.5138
21,2041.0,2.0785
22,2042.0,3.0478
23,2043.0,4.5689
24,2044.0,6.4883
25,2045.0,8.4606
26,2046.0,8.7905
27,2047.0,9.0985
28,2048.0,9.4734
29,2049.0,9.8801
30,2050.0,10.2911
31,2051.0,10.543
32,2052.0,10.1924
33,2053.0,9.9016
34,2054.0,9.6884
35,2055.0,9.4433
36,2056.0,9.1807
37,2057.0,8.9426
38,2058.0,8.7728
39,2059.0,8.5317
40,2060.0,8.3588
41,2061.0,8.2328
42,2062.0,8.0823
43,2063.0,7.9608
44,2064.0,8.1173
45,2065.0,8.2767
46,2066.0,8.4177
47,2067.0,8.473
48,2068.0,8.5188
49,2069.0,8.5652
50,2070.0,8.7213
