,y,Oil,Gas,Hydro,Solar PV,Geothermal
0,2015.0,0.161,0.0,0.0,0.0,0.0
1,2016.0,0.161,0.0,0.0,0.0,0.0
2,2017.0,0.225,0.0,0.0,0.0,0.0
3,2018.0,0.337,0.0,0.0,0.0,0.0
4,2019.0,0.449,0.0,0.0,0.0,0.0
5,2020.0,0.449,0.251,0.0,0.0,0.0
6,2021.0,0.447,0.265,0.0,0.0,0.0
7,2022.0,0.446,0.284,0.0,0.0,0.0
8,2023.0,0.444,0.292,0.0,0.0,0.0
9,2024.0,0.443,0.292,0.41,0.0,0.0
10,2025.0,0.311,0.292,0.41,0.0,0.0
11,2026.0,0.309,0.292,0.41,0.0,0.0
12,2027.0,0.245,0.292,0.41,0.0,0.0
13,2028.0,0.131,0.292,0.41,0.0,0.0
14,2029.0,0.02,0.292,0.41,0.0,0.0
15,2030.0,0.018,0.292,0.41,0.0,0.0
16,2031.0,0.016,0.292,0.41,0.0,0.0
17,2032.0,0.016,0.292,0.41,0.0,0.0
18,2033.0,0.014,0.292,0.41,0.0,0.0
19,2034.0,0.014,0.327,0.41,0.0,0.0
20,2035.0,0.013,0.367,0.41,0.0,0.0
21,2036.0,0.012,0.41,0.41,0.0,0.0
22,2037.0,0.012,0.456,0.41,0.0,0.0
23,2038.0,0.013,0.503,0.41,0.0,0.0
24,2039.0,0.012,0.503,0.98,0.0,0.0
25,2040.0,0.01,0.503,0.98,0.0,0.0
26,2041.0,0.01,0.503,0.98,0.0,0.0
27,2042.0,0.016,0.503,0.98,0.0,0.0
28,2043.0,0.016,0.503,0.98,0.0,0.0
29,2044.0,0.016,0.503,0.98,0.0,0.0
30,2045.0,0.016,0.506,0.98,0.0,0.008
31,2046.0,0.016,0.527,0.98,0.0,0.067
32,2047.0,0.017,0.55,0.98,0.0,0.129
33,2048.0,0.017,0.575,0.98,0.0,0.194
34,2049.0,0.017,0.601,0.98,0.0,0.263
35,2050.0,0.017,0.619,0.98,0.114,0.318
36,2051.0,0.017,0.632,0.98,0.118,0.366
37,2052.0,0.017,0.632,0.98,0.361,0.371
38,2053.0,0.017,0.633,0.98,0.612,0.375
39,2054.0,0.015,0.635,0.98,0.871,0.378
40,2055.0,0.015,0.635,0.98,1.14,0.396
41,2056.0,0.015,0.635,0.98,1.424,0.4
42,2057.0,0.014,0.635,0.98,1.705,0.4
43,2058.0,0.013,0.635,0.98,2.021,0.4
44,2059.0,0.012,0.625,0.98,2.349,0.4
45,2060.0,0.011,0.626,0.98,2.687,0.4
46,2061.0,0.01,0.627,0.98,2.927,0.4
47,2062.0,0.01,0.628,0.98,3.172,0.4
48,2063.0,0.007,0.63,0.98,3.421,0.4
49,2064.0,0.007,0.637,0.98,3.649,0.4
50,2065.0,0.007,0.644,0.98,3.882,0.4
51,2066.0,0.007,0.649,0.98,4.126,0.4
52,2067.0,0.001,0.655,0.98,4.4,0.4
53,2068.0,0.001,0.655,0.98,4.68,0.4
54,2069.0,0.001,0.655,0.98,4.967,0.4
55,2070.0,0.001,0.655,0.98,5.261,0.4
