,y,CO2
0,2015,212.5071
1,2016,209.9166
2,2017,208.8481
3,2018,205.648
4,2019,205.9337
5,2020,206.1694
6,2021,196.0062
7,2022,203.8478
8,2023,214.8861
9,2024,219.0128
10,2025,233.7659
11,2026,249.5529
12,2027,253.5456
13,2028,257.5311
14,2029,261.5095
15,2030,265.3129
16,2031,271.608
17,2032,276.8244
18,2033,279.0734
19,2034,284.9291
20,2035,294.744
21,2036,304.1431
22,2037,313.4421
23,2038,322.7569
24,2039,331.6187
25,2040,326.6455
26,2041,304.0699
27,2042,309.7528
28,2043,317.3451
29,2044,323.9786
30,2045,330.4723
31,2046,336.8363
32,2047,342.532
33,2048,348.1651
34,2049,355.6385
35,2050,362.5503
36,2051,370.1147
37,2052,377.7141
38,2053,385.4549
39,2054,393.46
40,2055,391.5566
41,2056,391.4957
42,2057,403.2313
43,2058,415.1902
44,2059,427.8538
45,2060,440.9097
46,2061,449.5493
47,2062,458.648
48,2063,467.8625
49,2064,476.8015
50,2065,484.8173
51,2066,492.4068
52,2067,500.2167
53,2068,509.5916
54,2069,520.3567
55,2070,530.311
