,y,Biomass extraction/production/refining
0,2015.0,86.6077
1,2016.0,88.313
2,2017.0,83.9279
3,2018.0,79.4411
4,2019.0,75.0339
5,2020.0,70.6267
6,2021.0,72.1431
7,2022.0,73.6594
8,2023.0,75.1757
9,2024.0,74.2562
10,2025.0,68.7395
11,2026.0,67.82
12,2027.0,66.9005
13,2028.0,65.9811
14,2029.0,65.0616
15,2030.0,64.1421
16,2031.0,67.6298
17,2032.0,71.1175
18,2033.0,74.6052
19,2034.0,78.0929
20,2035.0,81.5806
21,2036.0,85.9878
22,2037.0,90.3949
23,2038.0,94.8021
24,2039.0,99.2092
25,2040.0,103.6164
26,2041.0,103.6164
27,2042.0,103.6164
28,2043.0,103.6164
29,2044.0,103.6164
30,2045.0,103.6164
31,2046.0,103.6164
32,2047.0,103.6164
33,2048.0,103.6164
34,2049.0,103.6164
35,2050.0,103.6164
36,2051.0,106.2607
37,2052.0,108.9843
38,2053.0,111.7896
39,2054.0,114.6791
40,2055.0,117.6553
41,2056.0,114.6313
42,2057.0,117.7887
43,2058.0,121.0409
44,2059.0,124.3906
45,2060.0,127.8408
46,2061.0,128.9587
47,2062.0,130.1832
48,2063.0,131.5176
49,2064.0,135.4008
50,2065.0,139.4006
51,2066.0,143.5203
52,2067.0,147.7636
53,2068.0,152.1342
54,2069.0,156.6359
55,2070.0,161.2727
