,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Geothermal,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction,Uranium extraction,Transmission & Distribution,Backstop,Biofuel and Biomass production,Biomass exports,Coal exports,Crude oil exports,HFO exports,LFO exports
0,2015.0,0.0,911.16,4934.32,5323.27,0.0,0.0,0.0,0.01,0.0,440.32,0.16,105.36,64.49,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,253.58,5060.65,5323.27,0.0,0.0,0.0,0.01,0.0,586.13,0.15,99.98,62.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,242.69,5250.13,5323.27,0.0,0.0,0.0,0.01,0.0,586.13,0.2,94.46,60.93,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,240.03,4890.35,5383.21,0.0,0.0,0.0,0.02,0.0,586.13,0.2,98.02,61.57,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,240.03,4892.78,5383.21,0.0,0.0,0.0,0.02,0.0,586.13,0.22,97.03,60.72,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,240.03,5662.17,5383.21,0.0,0.0,0.01,0.02,0.0,586.13,0.23,96.03,59.87,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,228.03,4489.45,5383.21,0.0,0.32,0.03,0.02,0.0,622.44,0.23,97.38,61.02,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,216.02,4857.41,5383.21,0.0,0.48,0.05,0.02,0.0,658.75,0.24,98.72,62.16,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,0.0,204.03,5501.68,6787.97,0.0,0.58,0.06,0.04,0.0,695.05,0.24,100.06,63.3,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024.0,0.0,192.03,5536.48,6787.97,0.0,0.58,0.08,0.04,0.0,673.04,0.24,101.4,64.44,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2025.0,2279.76,180.02,4923.91,6787.97,0.0,0.58,0.09,0.04,0.0,540.94,3.25,102.75,65.58,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2026.0,4559.52,168.02,4382.71,6787.97,0.0,0.58,0.1,0.05,0.0,518.93,1.35,103.05,65.84,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2027.0,4559.52,156.01,4434.76,6787.97,0.0,0.58,0.13,0.05,0.0,496.91,0.0,94.08,58.21,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2028.0,4559.52,144.0,4486.82,6787.97,0.0,0.58,0.14,0.05,0.0,474.89,0.0,85.1,50.58,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2029.0,4559.52,132.01,4538.87,6787.97,0.0,0.58,0.15,0.06,0.0,452.88,0.0,76.12,42.94,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2030.0,4559.52,120.0,4590.9,6787.97,0.0,0.58,0.16,0.06,0.0,430.86,0.0,54.43,24.5,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2031.0,4559.52,108.0,4764.16,7331.49,0.0,0.58,0.21,0.07,0.0,408.84,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2032.0,4559.52,96.0,5083.35,7341.7,0.0,0.58,0.23,0.07,0.0,386.83,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2033.0,4559.52,101.79,5040.67,8660.97,0.0,0.58,0.25,0.08,0.0,364.81,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2034.0,4559.52,273.33,5191.25,8660.97,0.0,0.58,0.28,0.09,0.0,342.8,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2035.0,5319.44,440.75,5164.59,8660.97,0.0,0.58,0.3,0.09,0.0,320.78,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2036.0,6079.36,517.86,5216.43,8660.97,0.0,0.58,0.33,0.1,0.0,320.78,0.0,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2037.0,6839.28,536.92,5355.92,8660.97,0.0,0.58,0.36,0.11,0.0,320.78,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2038.0,7599.2,519.63,5521.98,8660.97,0.0,0.58,0.39,0.11,0.0,320.78,0.0,0.0,4.77,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2039.0,8359.12,502.34,5548.43,8660.97,0.0,0.58,0.41,0.12,0.0,320.78,0.0,0.0,4.77,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2040.0,9119.04,214.43,5320.92,8660.97,0.0,0.58,0.44,0.12,0.0,320.78,0.0,0.0,4.77,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2041.0,10258.92,0.0,5214.33,10065.72,0.0,0.58,0.48,0.13,0.0,320.78,0.0,0.0,4.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2042.0,10638.88,0.0,5250.05,10065.72,0.0,0.58,0.51,0.14,0.0,320.78,0.0,0.0,4.77,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2043.0,11018.84,0.0,5415.1,10065.72,0.0,0.58,0.55,0.15,0.0,320.78,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2044.0,11398.8,0.0,5678.17,10065.72,0.0,0.58,0.58,0.16,0.0,320.78,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2045.0,11778.76,0.0,5895.42,10065.72,0.0,0.58,0.62,0.17,0.0,320.78,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
