,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass,Geothermal,Backstop,power_trade,gas_trade
0,2015.0,0.0,0.68,0.0,32.17,0.0,0.0,0.07,3.33,1.05,0.21,0.0,-0.6,0.0
1,2016.0,0.0,0.68,0.0,33.29,0.0,0.0,0.08,3.33,1.14,0.21,0.0,0.18,0.0
2,2017.0,0.0,0.68,0.0,43.81,0.0,0.0,0.09,3.33,0.0,0.21,0.0,-0.6,0.0
3,2018.0,0.0,0.68,0.0,52.32,0.0,0.0,0.09,3.33,0.0,0.21,0.0,-0.6,0.0
4,2019.0,0.0,0.68,0.0,5.19,0.0,0.0,0.06,1.29,0.0,0.21,0.0,57.08,0.0
5,2020.0,0.0,0.68,0.0,7.83,0.0,0.0,0.06,1.74,0.0,3.43,0.0,59.18,0.0
6,2021.0,0.0,0.65,0.0,8.55,0.0,0.0,0.05,1.67,0.0,7.98,0.0,59.15,0.0
7,2022.0,0.0,0.62,0.0,10.48,0.0,0.0,0.07,2.41,0.0,10.66,0.0,59.32,0.0
8,2023.0,0.0,0.58,0.0,11.22,0.0,0.0,0.06,2.21,0.0,16.03,0.0,59.32,0.0
9,2024.0,0.0,0.55,0.0,11.49,0.0,0.0,0.06,1.71,0.0,22.73,0.0,59.18,0.0
10,2025.0,0.0,0.51,0.0,12.74,0.0,0.0,0.05,1.8,0.0,28.09,0.0,59.23,0.0
11,2026.0,0.0,0.48,0.0,18.8,0.0,0.0,0.07,2.8,0.0,28.08,0.0,59.32,0.0
12,2027.0,0.0,0.44,0.0,26.53,0.0,0.0,0.07,2.71,0.0,28.07,0.0,59.32,0.0
13,2028.0,0.0,0.41,0.0,34.77,0.0,0.0,0.06,2.62,0.0,28.06,0.0,59.32,0.0
14,2029.0,0.0,0.38,0.0,43.57,0.0,0.0,0.06,2.53,0.0,28.05,0.0,59.32,0.0
15,2030.0,0.0,0.34,0.0,52.94,0.0,0.0,0.06,2.44,0.0,28.04,0.0,59.32,0.0
16,2031.0,0.0,0.31,0.0,63.61,0.0,0.0,0.05,2.36,0.0,28.03,0.0,59.32,0.0
17,2032.0,0.0,0.27,0.0,75.07,0.0,0.0,0.05,2.27,0.0,28.02,0.0,59.32,0.0
18,2033.0,0.0,0.24,0.0,87.38,0.0,0.0,0.05,2.18,0.0,28.01,0.0,59.32,0.0
19,2034.0,0.0,0.2,0.0,100.6,0.0,0.0,0.04,2.09,0.0,28.0,0.0,59.32,0.0
20,2035.0,0.0,0.17,0.0,117.19,0.0,0.0,0.03,2.0,0.0,27.99,0.0,59.32,0.0
21,2036.0,0.0,0.14,0.0,132.9,0.0,0.0,0.02,1.91,0.0,27.98,0.0,59.32,0.0
22,2037.0,0.0,0.1,0.0,148.49,0.0,0.0,0.01,1.83,0.0,27.97,0.0,60.53,0.0
23,2038.0,0.0,0.07,6.87,158.45,0.0,0.0,0.0,1.74,0.0,27.96,0.0,61.77,0.0
24,2039.0,0.0,0.03,15.36,168.97,0.0,0.0,0.0,1.65,0.0,27.94,0.0,62.2,0.0
25,2040.0,0.0,0.0,25.6,181.22,0.0,0.0,0.0,0.0,0.0,27.93,0.0,62.14,0.0
26,2041.0,0.0,0.0,32.18,189.51,0.0,0.0,1.87,0.0,0.0,27.92,0.0,62.53,0.0
27,2042.0,0.0,0.0,31.44,189.51,0.0,0.0,17.87,0.0,0.0,27.91,0.0,62.95,0.0
28,2043.0,0.0,0.0,30.14,188.76,0.0,0.0,36.04,0.0,0.0,27.9,0.0,63.25,0.0
29,2044.0,0.0,0.0,28.94,187.95,0.0,0.0,55.33,0.0,0.0,27.89,0.0,63.41,0.0
30,2045.0,0.0,0.0,28.5,188.58,0.0,0.0,74.69,0.0,0.0,26.6,0.0,63.81,0.0
31,2046.0,0.0,0.0,25.69,185.08,0.0,0.0,98.18,0.0,0.0,28.75,0.0,63.81,0.0
32,2047.0,0.0,0.0,22.48,180.72,0.0,0.0,122.35,0.0,0.0,32.77,0.0,63.81,0.0
33,2048.0,0.0,0.0,21.84,178.85,0.0,0.0,146.52,0.0,0.0,34.11,0.0,62.93,0.0
34,2049.0,0.0,0.0,21.82,177.87,0.0,0.0,170.68,0.0,0.0,34.11,0.0,63.45,0.0
35,2050.0,1.4,0.0,21.74,176.13,0.0,0.0,194.85,0.0,0.0,35.45,0.0,63.74,0.0
36,2051.0,1.4,0.0,20.57,172.11,0.0,0.0,215.03,0.0,0.0,35.45,0.0,63.82,0.0
37,2052.0,1.4,0.0,19.38,167.98,0.0,0.0,235.91,0.0,0.0,35.45,0.0,63.89,0.0
38,2053.0,1.4,0.0,18.17,168.43,0.0,0.0,256.29,0.0,0.0,32.17,0.0,63.95,0.0
39,2054.0,1.4,0.0,16.93,165.48,0.0,0.0,277.41,0.0,0.0,32.17,0.0,64.0,0.0
40,2055.0,1.1,0.0,16.53,154.81,0.0,0.0,303.03,0.0,0.0,35.45,0.0,63.47,0.0
41,2056.0,1.1,0.0,16.07,149.67,0.0,0.0,327.19,0.0,0.0,35.45,0.0,62.91,0.0
42,2057.0,1.1,0.0,15.7,144.18,0.0,0.0,351.37,0.0,0.0,35.83,0.0,62.94,0.0
43,2058.0,1.1,0.0,14.78,140.61,0.0,0.0,372.07,0.0,0.0,40.15,0.0,62.47,0.0
44,2059.0,1.1,0.0,13.59,138.09,0.0,0.0,399.7,0.0,0.0,46.85,0.0,51.69,0.0
45,2060.0,0.65,0.0,12.6,146.61,0.0,0.0,423.87,0.0,0.0,36.96,0.0,51.51,0.0
46,2061.0,0.6,0.0,10.41,123.8,0.0,0.0,446.18,0.0,0.0,60.26,0.0,45.47,0.0
47,2062.0,1.77,0.0,10.35,142.4,0.0,0.0,453.23,0.0,0.0,50.68,0.0,45.47,0.0
48,2063.0,3.61,0.0,10.19,139.74,0.0,0.0,458.42,0.0,0.0,66.85,0.0,45.47,0.0
49,2064.0,9.77,0.0,6.59,156.68,0.0,0.0,465.22,0.0,0.0,55.46,0.0,46.03,0.0
50,2065.0,12.82,0.0,6.58,165.5,0.0,0.0,470.02,0.0,0.0,52.03,0.0,51.51,0.0
51,2066.0,17.57,0.0,6.5,131.64,0.0,0.0,470.61,0.0,0.0,89.14,0.0,62.69,0.0
52,2067.0,22.72,0.0,6.42,151.39,0.0,0.0,470.7,0.0,0.0,84.98,0.0,62.14,0.0
53,2068.0,20.02,0.0,5.64,167.52,0.0,0.0,470.7,17.59,0.0,101.66,0.0,35.86,0.0
54,2069.0,18.92,0.49,4.42,159.58,0.0,0.0,470.7,35.54,0.0,113.87,0.0,36.42,0.0
55,2070.0,20.23,2.73,1.77,170.13,0.0,0.0,475.33,37.11,0.0,116.89,0.0,36.98,0.0
