,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass,Geothermal,Backstop,power_trade,gas_trade
0,2015.0,0.0,2.256,0.0,1.592,0.0,0.0,0.011,0.0,0.238,0.0,0.0,0.0,0.0
1,2016.0,0.0,2.267,0.0,1.592,0.0,0.0,0.012,0.0,0.238,0.0,0.0,0.0,0.0
2,2017.0,0.0,2.267,0.0,1.927,0.0,0.0,0.013,0.0,0.238,0.0,0.0,0.0,0.0
3,2018.0,0.0,2.267,0.0,1.927,0.0,0.0,0.013,0.0,0.238,0.0,0.0,0.0,0.0
4,2019.0,0.0,2.267,0.0,1.927,0.0,0.0,0.013,0.0,0.238,0.0,0.0,0.0,0.0
5,2020.0,0.0,2.267,0.0,1.927,0.0,0.0,0.013,0.0,0.238,0.0,0.0,0.0,0.0
6,2021.0,0.0,2.155,1.304,1.927,0.0,0.0,0.012,0.0,0.226,0.0,0.0,0.0,0.0
7,2022.0,0.0,2.041,1.432,1.927,0.0,0.0,0.012,0.0,0.214,0.0,0.0,0.0,0.0
8,2023.0,0.0,1.929,1.432,4.154,0.0,0.0,0.011,0.0,0.202,0.0,0.0,0.0,0.0
9,2024.0,0.0,1.816,1.432,4.154,0.0,0.0,0.011,0.0,0.19,0.1,0.0,0.0,0.0
10,2025.0,0.0,1.702,1.432,4.259,0.0,0.0,0.011,0.0,0.119,0.2,0.0,0.0,0.0
11,2026.0,0.0,1.58,1.432,4.259,0.0,0.0,0.01,0.0,0.107,0.3,0.0,0.0,0.0
12,2027.0,0.0,1.466,1.432,4.259,0.0,0.0,0.01,0.0,0.095,0.4,0.0,0.0,0.0
13,2028.0,0.0,1.354,1.432,4.259,0.0,0.0,0.009,0.0,0.083,0.4,0.0,0.0,0.0
14,2029.0,0.0,1.241,1.432,4.259,0.0,0.0,0.009,0.0,0.071,0.4,0.0,0.0,0.0
15,2030.0,0.0,1.128,1.432,4.259,0.0,0.0,0.259,0.0,0.06,0.4,0.0,0.0,0.0
16,2031.0,0.0,1.015,1.432,4.259,0.0,0.0,1.266,0.0,0.048,0.4,0.0,0.0,0.0
17,2032.0,0.0,0.902,1.432,4.259,0.0,0.0,2.77,0.0,0.036,0.4,0.0,0.0,0.0
18,2033.0,0.0,0.79,1.432,4.848,0.0,0.0,4.401,0.0,0.024,0.4,0.0,0.0,0.0
19,2034.0,0.0,0.677,1.432,4.848,0.0,0.0,6.172,0.0,0.012,0.4,0.0,0.0,0.0
20,2035.0,0.0,0.564,1.432,4.848,0.0,0.0,6.216,0.0,0.0,0.4,0.0,0.0,0.0
21,2036.0,0.0,0.451,1.432,4.848,0.0,0.0,7.817,0.0,0.0,0.4,0.0,0.0,0.0
22,2037.0,0.0,0.339,1.432,4.848,0.0,0.0,9.561,0.0,0.0,0.4,0.0,0.0,0.0
23,2038.0,0.0,0.225,1.432,4.848,0.0,0.0,11.525,0.0,0.0,0.4,0.0,0.0,0.0
24,2039.0,0.0,0.113,1.432,4.848,0.0,0.0,13.525,0.0,0.0,0.4,0.0,0.0,0.0
25,2040.0,1.086,0.0,1.432,4.848,0.0,0.0,15.525,0.0,0.0,0.4,0.0,0.0,0.0
26,2041.0,1.101,0.0,1.432,4.848,0.0,0.0,17.412,0.0,0.0,0.4,0.0,0.0,0.0
27,2042.0,2.066,0.0,1.432,4.848,0.0,0.0,19.427,0.0,0.0,0.4,0.0,0.0,0.0
28,2043.0,2.132,0.0,1.432,4.848,0.0,0.0,21.406,0.0,0.0,0.4,0.0,0.0,0.0
29,2044.0,2.132,0.0,1.432,4.848,0.0,0.0,22.721,0.0,0.0,0.4,0.0,0.0,0.0
