,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass,Geothermal,Backstop,power_trade
0,2015.0,0.0,71.21,437.88,98.36,0.0,0.0,0.21000000000000002,13.25,16.43,0.21,0.0,10.48
1,2016.0,0.0,65.79,451.22,99.47999999999999,0.0,0.0,0.42000000000000004,15.76,20.48,0.21,0.0,10.48
2,2017.0,0.0,50.36,471.23,114.91,0.0,0.0,0.44,15.76,19.34,0.21,0.0,10.48
3,2018.0,0.0,22.750000000000004,504.17,123.9,0.0,0.0,0.77,20.020000000000003,19.34,0.21,0.0,10.48
4,2019.0,0.0,23.800000000000004,513.38,76.77000000000001,0.0,0.0,0.74,17.98,19.34,0.21,0.0,68.16
5,2020.0,0.0,19.19,528.14,79.41,0.0,0.0,1.4100000000000001,18.43,19.34,3.43,0.0,70.26
6,2021.0,0.0,53.22,417.25,80.13,0.0,11.72,4.71,21.15,20.15,7.98,0.0,139.48
7,2022.0,0.0,53.49999999999999,482.9,82.06,0.0,17.59,7.22,27.89,20.97,10.66,0.0,76.42
8,2023.0,0.0,24.5,582.2400000000001,127.4,0.0,21.54,9.700000000000001,33.69,21.78,16.03,0.0,70.4
9,2024.0,0.0,15.39,600.7500000000001,127.66999999999999,0.0,21.54,12.200000000000001,35.980000000000004,21.020000000000003,26.73,0.0,70.25999999999999
10,2025.0,80.04,21.759999999999998,527.72,130.48,0.0,21.54,14.67,38.86,16.4,35.49,0.0,70.31
11,2026.0,160.08,13.45,466.65,136.54,0.0,21.54,17.189999999999998,42.65,15.629999999999999,38.93,0.0,70.4
12,2027.0,160.08,12.48,478.59,144.27,0.0,21.54,19.68,45.35,14.86,42.42,0.0,70.4
13,2028.0,160.08,11.52,493.55,152.51,0.0,21.54,22.16,48.05,14.09,43.29,0.0,70.4
14,2029.0,160.08,10.56,508.90999999999997,161.31,0.0,21.54,24.65,50.75,13.33,44.220000000000006,0.0,70.4
15,2030.0,160.08,9.61,522.15,170.68,0.0,21.54,29.41,53.449999999999996,12.559999999999999,45.21,0.0,70.4
16,2031.0,160.08,8.649999999999999,559.62,185.7,0.0,21.54,41.11,59.3,11.78,46.38,0.0,70.39999999999999
17,2032.0,160.08,7.67,598.03,197.23999999999998,0.0,21.54,55.769999999999996,65.13,11.01,47.6,0.0,70.4
18,2033.0,160.08,7.539999999999999,615.61,228.93,0.0,21.54,71.17,70.97000000000001,10.25,48.900000000000006,0.0,70.4
19,2034.0,160.08,12.63,648.5999999999999,242.14999999999998,0.0,21.54,87.39,76.8,9.48,49.44,0.0,70.4
20,2035.0,186.76,17.580000000000002,656.1500000000001,258.74,0.0,21.54,91.95,82.64,8.71,49.43,0.0,70.4
21,2036.0,213.44,19.380000000000003,665.52,274.45,0.0,21.54,107.17,88.47999999999999,8.71,49.42,0.0,70.4
22,2037.0,240.12,19.44,677.8000000000001,290.04,0.0,21.54,123.23,94.32,8.71,49.41,0.0,70.4
23,2038.0,266.79,18.32,697.76,300.0,0.0,21.54,140.61,100.16,8.71,49.4,0.0,70.4
24,2039.0,293.47,17.17,719.38,310.52,0.0,21.54,158.19,105.99000000000001,8.71,49.38,0.0,70.4
25,2040.0,349.12,6.74,727.7299999999999,322.77,0.0,21.54,175.72,107.26,8.71,49.37,0.0,70.4
26,2041.0,389.56,0.0,732.54,342.28999999999996,0.0,21.54,195.97,114.16,8.71,49.36,0.0,70.4
27,2042.0,428.63,0.0,732.82,342.28999999999996,0.0,21.54,232.76999999999998,123.56,8.71,49.35,0.0,70.4
28,2043.0,443.74,0.0,760.72,341.53999999999996,0.0,21.54,271.33,128.7,8.71,49.339999999999996,0.0,70.4
29,2044.0,457.08,0.0,790.6300000000001,340.73,0.0,21.54,307.52,138.11,8.71,49.33,0.0,70.4
30,2045.0,470.41999999999996,0.0,818.3199999999999,341.36,0.0,21.54,347.62,147.52,8.71,48.04,0.0,70.4
31,2046.0,470.41999999999996,0.0,880.9300000000001,337.86,0.0,9.81,383.59,153.79,8.71,50.19,0.0,70.4
32,2047.0,470.41999999999996,0.0,936.76,333.5,0.0,3.95,424.85999999999996,156.85,8.71,54.21,0.0,70.4
33,2048.0,582.36,0.0,867.9,331.63,0.0,0.0,475.96,159.91,8.71,55.55,0.0,70.4
