,y,CO2
0,2015,240.31390000000002
1,2016,240.7385
2,2017,239.94899999999998
3,2018,237.7251
4,2019,239.54489999999998
5,2020,239.5636
6,2021,241.1323
7,2022,250.85100000000003
8,2023,257.396
9,2024,261.3126
10,2025,313.7891
11,2026,329.99089999999995
12,2027,335.6557
13,2028,341.9295
14,2029,314.8036
15,2030,321.7293
16,2031,328.0503
17,2032,335.23720000000003
18,2033,340.8311
19,2034,348.83090000000004
20,2035,359.57570000000004
21,2036,371.0461
22,2037,382.57009999999997
23,2038,394.76509999999996
24,2039,406.7516
25,2040,411.0398
26,2041,390.3587
27,2042,403.0647
28,2043,412.25680000000006
29,2044,420.30429999999996
30,2045,428.14070000000004
31,2046,435.7417
32,2047,442.79879999999997
33,2048,466.59639999999996
34,2049,475.8103
35,2050,484.6788
36,2051,493.124
37,2052,501.9068
38,2053,510.8763
39,2054,520.1317
40,2055,519.5003999999999
41,2056,520.798
42,2057,533.9249
43,2058,546.4074
44,2059,560.6146
45,2060,575.2789999999999
46,2061,584.6923
47,2062,595.2436000000001
48,2063,605.9126
49,2064,616.1069
50,2065,625.7191
