,y,Biomass extraction/production/refining
0,2015,2028.2895
1,2016,2074.0346
2,2017,2112.8892
3,2018,2154.5080000000003
4,2019,2197.352
5,2020,2241.3709
6,2021,2266.4447
7,2022,2291.6265999999996
8,2023,2316.8825
9,2024,2339.7508999999995
10,2025,2356.7314
11,2026,2378.3190000000004
12,2027,2399.9197000000004
13,2028,2421.4904
14,2029,2442.9858
15,2030,2464.3759999999997
16,2031,2463.6637
17,2032,2462.4505
18,2033,2460.7834999999995
19,2034,2458.7102
20,2035,2474.7911
21,2036,2471.2017
22,2037,2467.4746999999998
23,2038,2463.6422
24,2039,2459.7416
25,2040,2455.8019999999997
26,2041,2438.018
27,2042,2420.2859
28,2043,2402.6285
29,2044,2385.0676
30,2045,2367.6174
31,2046,2350.1806
32,2047,2332.8652
33,2048,2315.6701000000003
34,2049,2298.592
35,2050,2281.6263000000004
36,2051,2266.7215
37,2052,2252.0074
38,2053,2237.4754
39,2054,2223.1148999999996
40,2055,2208.9184
41,2056,2188.796
42,2057,2174.9260000000004
43,2058,2161.2148
44,2059,2147.6571999999996
45,2060,2134.2522
46,2061,2117.8531999999996
47,2062,2101.6283000000003
48,2063,2085.5821
49,2064,2072.1558999999997
50,2065,2058.9213999999997
